Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12
MatLabTime,year,month,day,hour,minute,second,WatYr,Precip_raw,Precip_raw_annual,Precip_filtered,Precip_filtered_annual
n of days from January 0 0000,year n,month n,day n,hour n,minute n,second n,n starting on oct 1 of the previous calendar year (WatYr 2020 starts on 2019 oct 1),mm,mm reset every Oct 1,mm,mm reset every Oct 1
737395.6667,2018,12,1,16,0,0,2019,359,4,359,0
737395.7083,2018,12,1,17,0,0,2019,359,4,359,0
737395.75,2018,12,1,18,0,0,2019,359,4,359,0
737395.7917,2018,12,1,19,0,0,2019,359,4,359,0
737395.8333,2018,12,1,20,0,0,2019,359,4,359,0
737395.875,2018,12,1,21,0,0,2019,358,3,,
737395.9167,2018,12,1,22,0,0,2019,359,4,358,0
737395.9583,2018,12,1,23,0,0,2019,359,4,358,0
737396,2018,12,2,0,0,0,2019,359,4,358,0
737396.0417,2018,12,2,1,0,0,2019,359,4,358,0
737396.0833,2018,12,2,2,0,0,2019,359,4,358,0
737396.125,2018,12,2,3,0,0,2019,360,5,,
737396.1667,2018,12,2,4,0,0,2019,359,4,358,0
737396.2083,2018,12,2,5,0,0,2019,359,4,358,0
737396.25,2018,12,2,6,0,0,2019,359,4,358,0
737396.2917,2018,12,2,7,0,0,2019,359,4,358,0
737396.3333,2018,12,2,8,0,0,2019,359,4,358,0
737396.375,2018,12,2,9,0,0,2019,359,4,358,0
737396.4167,2018,12,2,10,0,0,2019,359,4,358,0
737396.4583,2018,12,2,11,0,0,2019,359,4,358,0
737396.5,2018,12,2,12,0,0,2019,360,5,,
737396.5417,2018,12,2,13,0,0,2019,359,4,358,0
737396.5833,2018,12,2,14,0,0,2019,359,4,358,0
737396.625,2018,12,2,15,0,0,2019,359,4,358,0
737396.6667,2018,12,2,16,0,0,2019,359,4,358,0
737396.7083,2018,12,2,17,0,0,2019,359,4,358,0
737396.75,2018,12,2,18,0,0,2019,358,3,,
737396.7917,2018,12,2,19,0,0,2019,359,4,358,0
737396.8333,2018,12,2,20,0,0,2019,359,4,358,0
737396.875,2018,12,2,21,0,0,2019,359,4,358,0
737396.9167,2018,12,2,22,0,0,2019,358,3,358,0
737396.9583,2018,12,2,23,0,0,2019,358,3,358,0
737397,2018,12,3,0,0,0,2019,358,3,358,0
737397.0417,2018,12,3,1,0,0,2019,359,4,358,0
737397.0833,2018,12,3,2,0,0,2019,359,4,358,0
737397.125,2018,12,3,3,0,0,2019,359,4,358,0
737397.1667,2018,12,3,4,0,0,2019,358,3,358,0
737397.2083,2018,12,3,5,0,0,2019,358,3,358,0
737397.25,2018,12,3,6,0,0,2019,358,3,358,0
737397.2917,2018,12,3,7,0,0,2019,359,4,358,0
737397.3333,2018,12,3,8,0,0,2019,359,4,358,0
737397.375,2018,12,3,9,0,0,2019,359,4,358,0
737397.4167,2018,12,3,10,0,0,2019,358,3,,
737397.4583,2018,12,3,11,0,0,2019,359,4,358,0
737397.5,2018,12,3,12,0,0,2019,360,5,,
737397.5417,2018,12,3,13,0,0,2019,359,4,358,0
737397.5833,2018,12,3,14,0,0,2019,358,3,,
737397.625,2018,12,3,15,0,0,2019,359,4,,
737397.6667,2018,12,3,16,0,0,2019,358,3,358,0
737397.7083,2018,12,3,17,0,0,2019,358,3,358,0
737397.75,2018,12,3,18,0,0,2019,359,4,,
737397.7917,2018,12,3,19,0,0,2019,358,3,358,0
737397.8333,2018,12,3,20,0,0,2019,358,3,358,0
737397.875,2018,12,3,21,0,0,2019,358,3,358,0
737397.9167,2018,12,3,22,0,0,2019,359,4,,
737397.9583,2018,12,3,23,0,0,2019,358,3,,
737398,2018,12,4,0,0,0,2019,359,4,358,0
737398.0417,2018,12,4,1,0,0,2019,359,4,358,0
737398.0833,2018,12,4,2,0,0,2019,358,3,,
737398.125,2018,12,4,3,0,0,2019,359,4,,
737398.1667,2018,12,4,4,0,0,2019,358,3,,
737398.2083,2018,12,4,5,0,0,2019,359,4,,
737398.25,2018,12,4,6,0,0,2019,358,3,,
737398.2917,2018,12,4,7,0,0,2019,359,4,358,0
737398.3333,2018,12,4,8,0,0,2019,359,4,358,0
737398.375,2018,12,4,9,0,0,2019,359,4,358,0
737398.4167,2018,12,4,10,0,0,2019,358,3,,
737398.4583,2018,12,4,11,0,0,2019,360,5,,
737398.5,2018,12,4,12,0,0,2019,359,4,,
737398.5417,2018,12,4,13,0,0,2019,360,5,,
737398.5833,2018,12,4,14,0,0,2019,359,4,358,0
737398.625,2018,12,4,15,0,0,2019,358,3,,
737398.6667,2018,12,4,16,0,0,2019,359,4,,
737398.7083,2018,12,4,17,0,0,2019,357,2,,
737398.75,2018,12,4,18,0,0,2019,358,3,358,0
737398.7917,2018,12,4,19,0,0,2019,358,3,358,0
737398.8333,2018,12,4,20,0,0,2019,358,3,358,0
737398.875,2018,12,4,21,0,0,2019,358,3,358,0
737398.9167,2018,12,4,22,0,0,2019,358,3,358,0
737398.9583,2018,12,4,23,0,0,2019,359,4,358,0
737399,2018,12,5,0,0,0,2019,359,4,358,0
737399.0417,2018,12,5,1,0,0,2019,358,3,358,0
737399.0833,2018,12,5,2,0,0,2019,358,3,358,0
737399.125,2018,12,5,3,0,0,2019,358,3,358,0
737399.1667,2018,12,5,4,0,0,2019,358,3,358,0
737399.2083,2018,12,5,5,0,0,2019,359,4,358,0
737399.25,2018,12,5,6,0,0,2019,359,4,358,0
737399.2917,2018,12,5,7,0,0,2019,359,4,358,0
737399.3333,2018,12,5,8,0,0,2019,358,3,358,0
737399.375,2018,12,5,9,0,0,2019,358,3,358,0
737399.4167,2018,12,5,10,0,0,2019,359,4,358,0
737399.4583,2018,12,5,11,0,0,2019,359,4,358,0
737399.5,2018,12,5,12,0,0,2019,360,5,,
737399.5417,2018,12,5,13,0,0,2019,359,4,358,0
737399.5833,2018,12,5,14,0,0,2019,359,4,358,0
737399.625,2018,12,5,15,0,0,2019,358,3,358,0
737399.6667,2018,12,5,16,0,0,2019,358,3,358,0
737399.7083,2018,12,5,17,0,0,2019,358,3,358,0
737399.75,2018,12,5,18,0,0,2019,358,3,358,0
737399.7917,2018,12,5,19,0,0,2019,358,3,358,0
737399.8333,2018,12,5,20,0,0,2019,357,2,357,0
737399.875,2018,12,5,21,0,0,2019,357,2,357,0
737399.9167,2018,12,5,22,0,0,2019,358,3,357,0
737399.9583,2018,12,5,23,0,0,2019,358,3,357,0
737400,2018,12,6,0,0,0,2019,358,3,357,0
737400.0417,2018,12,6,1,0,0,2019,358,3,357,0
737400.0833,2018,12,6,2,0,0,2019,358,3,357,0
737400.125,2018,12,6,3,0,0,2019,357,2,,
737400.1667,2018,12,6,4,0,0,2019,358,3,,
737400.2083,2018,12,6,5,0,0,2019,357,2,,
737400.25,2018,12,6,6,0,0,2019,358,3,357,0
737400.2917,2018,12,6,7,0,0,2019,358,3,357,0
737400.3333,2018,12,6,8,0,0,2019,357,2,,
737400.375,2018,12,6,9,0,0,2019,358,3,357,0
737400.4167,2018,12,6,10,0,0,2019,358,3,357,0
737400.4583,2018,12,6,11,0,0,2019,359,4,357,0
737400.5,2018,12,6,12,0,0,2019,359,4,357,0
737400.5417,2018,12,6,13,0,0,2019,357,2,,
737400.5833,2018,12,6,14,0,0,2019,358,3,357,0
737400.625,2018,12,6,15,0,0,2019,358,3,357,0
737400.6667,2018,12,6,16,0,0,2019,357,2,357,0
737400.7083,2018,12,6,17,0,0,2019,356,1,356,0
737400.75,2018,12,6,18,0,0,2019,356,1,356,0
737400.7917,2018,12,6,19,0,0,2019,356,1,356,0
737400.8333,2018,12,6,20,0,0,2019,358,3,356,0
737400.875,2018,12,6,21,0,0,2019,358,3,356,0
737400.9167,2018,12,6,22,0,0,2019,358,3,356,0
737400.9583,2018,12,6,23,0,0,2019,358,3,356,0
737401,2018,12,7,0,0,0,2019,357,2,356,0
737401.0417,2018,12,7,1,0,0,2019,357,2,356,0
737401.0833,2018,12,7,2,0,0,2019,357,2,356,0
737401.125,2018,12,7,3,0,0,2019,358,3,,
737401.1667,2018,12,7,4,0,0,2019,357,2,,
737401.2083,2018,12,7,5,0,0,2019,358,3,356,0
737401.25,2018,12,7,6,0,0,2019,358,3,356,0
737401.2917,2018,12,7,7,0,0,2019,358,3,356,0
737401.3333,2018,12,7,8,0,0,2019,357,2,356,0
737401.375,2018,12,7,9,0,0,2019,357,2,356,0
737401.4167,2018,12,7,10,0,0,2019,357,2,356,0
737401.4583,2018,12,7,11,0,0,2019,357,2,356,0
737401.5,2018,12,7,12,0,0,2019,357,2,356,0
737401.5417,2018,12,7,13,0,0,2019,358,3,,
737401.5833,2018,12,7,14,0,0,2019,357,2,356,0
737401.625,2018,12,7,15,0,0,2019,357,2,356,0
737401.6667,2018,12,7,16,0,0,2019,358,3,,
737401.7083,2018,12,7,17,0,0,2019,357,2,356,0
737401.75,2018,12,7,18,0,0,2019,357,2,356,0
737401.7917,2018,12,7,19,0,0,2019,357,2,356,0
737401.8333,2018,12,7,20,0,0,2019,356,1,356,0
737401.875,2018,12,7,21,0,0,2019,356,1,356,0
737401.9167,2018,12,7,22,0,0,2019,355,0,,
737401.9583,2018,12,7,23,0,0,2019,357,2,357,0.85691
737402,2018,12,8,0,0,0,2019,357,2,357,0.85691
737402.0417,2018,12,8,1,0,0,2019,356,1,,
737402.0833,2018,12,8,2,0,0,2019,357,2,357,0.85691
737402.125,2018,12,8,3,0,0,2019,358,3,358,1.7138
737402.1667,2018,12,8,4,0,0,2019,359,4,,
737402.2083,2018,12,8,5,0,0,2019,358,3,,
737402.25,2018,12,8,6,0,0,2019,359,4,,
737402.2917,2018,12,8,7,0,0,2019,358,3,,
737402.3333,2018,12,8,8,0,0,2019,359,4,359,2.5707
737402.375,2018,12,8,9,0,0,2019,359,4,359,2.5707
737402.4167,2018,12,8,10,0,0,2019,359,4,359,2.5707
737402.4583,2018,12,8,11,0,0,2019,359,4,359,2.5707
737402.5,2018,12,8,12,0,0,2019,359,4,359,2.5707
737402.5417,2018,12,8,13,0,0,2019,359,4,359,2.5707
737402.5833,2018,12,8,14,0,0,2019,358,3,,
737402.625,2018,12,8,15,0,0,2019,359,4,359,2.5707
737402.6667,2018,12,8,16,0,0,2019,359,4,359,2.5707
737402.7083,2018,12,8,17,0,0,2019,357,2,,
737402.75,2018,12,8,18,0,0,2019,359,4,,
737402.7917,2018,12,8,19,0,0,2019,358,3,,
737402.8333,2018,12,8,20,0,0,2019,359,4,,
737402.875,2018,12,8,21,0,0,2019,357,2,,
737402.9167,2018,12,8,22,0,0,2019,359,4,359,2.5707
737402.9583,2018,12,8,23,0,0,2019,359,4,359,2.5707
737403,2018,12,9,0,0,0,2019,359,4,359,2.5707
737403.0417,2018,12,9,1,0,0,2019,359,4,359,2.5707
737403.0833,2018,12,9,2,0,0,2019,359,4,359,2.5707
737403.125,2018,12,9,3,0,0,2019,361,6,361,4.2845
737403.1667,2018,12,9,4,0,0,2019,373,18,373,14.5674
737403.2083,2018,12,9,5,0,0,2019,375,20,375,16.2812
737403.25,2018,12,9,6,0,0,2019,383,28,383,23.1365
737403.2917,2018,12,9,7,0,0,2019,392,37,392,30.8487
737403.3333,2018,12,9,8,0,0,2019,399,44,399,36.847
737403.375,2018,12,9,9,0,0,2019,399,44,399,36.847
737403.4167,2018,12,9,10,0,0,2019,399,44,399,36.847
737403.4583,2018,12,9,11,0,0,2019,400,45,400,37.7039
737403.5,2018,12,9,12,0,0,2019,401,46,401,38.5608
737403.5417,2018,12,9,13,0,0,2019,403,48,403,40.2746
737403.5833,2018,12,9,14,0,0,2019,404,49,404,41.1315
737403.625,2018,12,9,15,0,0,2019,405,50,405,41.9884
737403.6667,2018,12,9,16,0,0,2019,406,51,406,42.8453
737403.7083,2018,12,9,17,0,0,2019,406,51,406,42.8453
737403.75,2018,12,9,18,0,0,2019,408,53,408,44.5592
737403.7917,2018,12,9,19,0,0,2019,411,56,411,47.1299
737403.8333,2018,12,9,20,0,0,2019,414,59,414,49.7006
737403.875,2018,12,9,21,0,0,2019,414,59,414,49.7006
737403.9167,2018,12,9,22,0,0,2019,413,58,,
737403.9583,2018,12,9,23,0,0,2019,414,59,414,49.7006
737404,2018,12,10,0,0,0,2019,414,59,414,49.7006
737404.0417,2018,12,10,1,0,0,2019,414,59,414,49.7006
737404.0833,2018,12,10,2,0,0,2019,413,58,,
737404.125,2018,12,10,3,0,0,2019,414,59,414,49.7006
737404.1667,2018,12,10,4,0,0,2019,415,60,415,50.5575
737404.2083,2018,12,10,5,0,0,2019,416,61,416,51.4144
737404.25,2018,12,10,6,0,0,2019,416,61,416,51.4144
737404.2917,2018,12,10,7,0,0,2019,416,61,416,51.4144
737404.3333,2018,12,10,8,0,0,2019,417,62,,
737404.375,2018,12,10,9,0,0,2019,416,61,416,51.4144
737404.4167,2018,12,10,10,0,0,2019,416,61,416,51.4144
737404.4583,2018,12,10,11,0,0,2019,417,62,,
737404.5,2018,12,10,12,0,0,2019,416,61,416,51.4144
737404.5417,2018,12,10,13,0,0,2019,416,61,416,51.4144
737404.5833,2018,12,10,14,0,0,2019,417,62,416,51.4144
737404.625,2018,12,10,15,0,0,2019,417,62,416,51.4144
737404.6667,2018,12,10,16,0,0,2019,416,61,416,51.4144
737404.7083,2018,12,10,17,0,0,2019,416,61,416,51.4144
737404.75,2018,12,10,18,0,0,2019,417,62,417,52.2713
737404.7917,2018,12,10,19,0,0,2019,417,62,417,52.2713
737404.8333,2018,12,10,20,0,0,2019,416,61,,
737404.875,2018,12,10,21,0,0,2019,419,64,,
737404.9167,2018,12,10,22,0,0,2019,418,63,418,53.1282
737404.9583,2018,12,10,23,0,0,2019,418,63,418,53.1282
737405,2018,12,11,0,0,0,2019,418,63,418,53.1282
737405.0417,2018,12,11,1,0,0,2019,420,65,420,54.842
737405.0833,2018,12,11,2,0,0,2019,420,65,420,54.842
737405.125,2018,12,11,3,0,0,2019,422,67,422,56.5559
737405.1667,2018,12,11,4,0,0,2019,428,73,428,61.6973
737405.2083,2018,12,11,5,0,0,2019,431,76,431,64.268
737405.25,2018,12,11,6,0,0,2019,434,79,434,66.8387
737405.2917,2018,12,11,7,0,0,2019,437,82,437,69.4095
737405.3333,2018,12,11,8,0,0,2019,438,83,438,70.2664
737405.375,2018,12,11,9,0,0,2019,442,87,442,73.694
737405.4167,2018,12,11,10,0,0,2019,444,89,444,75.4078
737405.4583,2018,12,11,11,0,0,2019,445,90,445,76.2647
737405.5,2018,12,11,12,0,0,2019,446,91,446,77.1216
737405.5417,2018,12,11,13,0,0,2019,446,91,446,77.1216
737405.5833,2018,12,11,14,0,0,2019,449,94,,
737405.625,2018,12,11,15,0,0,2019,448,93,,
737405.6667,2018,12,11,16,0,0,2019,449,94,449,79.6924
737405.7083,2018,12,11,17,0,0,2019,449,94,449,79.6924
737405.75,2018,12,11,18,0,0,2019,450,95,450,80.5493
737405.7917,2018,12,11,19,0,0,2019,451,96,451,81.4062
737405.8333,2018,12,11,20,0,0,2019,452,97,452,82.2631
737405.875,2018,12,11,21,0,0,2019,453,98,453,83.12
737405.9167,2018,12,11,22,0,0,2019,454,99,454,83.9769
737405.9583,2018,12,11,23,0,0,2019,456,101,456,85.6907
737406,2018,12,12,0,0,0,2019,457,102,,
737406.0417,2018,12,12,1,0,0,2019,456,101,,
737406.0833,2018,12,12,2,0,0,2019,457,102,457,86.5476
737406.125,2018,12,12,3,0,0,2019,457,102,457,86.5476
737406.1667,2018,12,12,4,0,0,2019,458,103,,
737406.2083,2018,12,12,5,0,0,2019,457,102,,
737406.25,2018,12,12,6,0,0,2019,458,103,458,87.4045
737406.2917,2018,12,12,7,0,0,2019,458,103,458,87.4045
737406.3333,2018,12,12,8,0,0,2019,458,103,458,87.4045
737406.375,2018,12,12,9,0,0,2019,458,103,458,87.4045
737406.4167,2018,12,12,10,0,0,2019,460,105,460,89.1183
737406.4583,2018,12,12,11,0,0,2019,461,106,461,89.9752
737406.5,2018,12,12,12,0,0,2019,461,106,461,89.9752
737406.5417,2018,12,12,13,0,0,2019,462,107,462,90.8321
737406.5833,2018,12,12,14,0,0,2019,463,108,463,91.689
737406.625,2018,12,12,15,0,0,2019,465,110,465,93.4029
737406.6667,2018,12,12,16,0,0,2019,465,110,465,93.4029
737406.7083,2018,12,12,17,0,0,2019,470,115,470,97.6874
737406.75,2018,12,12,18,0,0,2019,470,115,470,97.6874
737406.7917,2018,12,12,19,0,0,2019,471,116,471,98.5443
737406.8333,2018,12,12,20,0,0,2019,475,120,,
737406.875,2018,12,12,21,0,0,2019,474,119,,
737406.9167,2018,12,12,22,0,0,2019,475,120,475,101.9719
737406.9583,2018,12,12,23,0,0,2019,481,126,481,107.1134
737407,2018,12,13,0,0,0,2019,484,129,,
737407.0417,2018,12,13,1,0,0,2019,483,128,483,108.8272
737407.0833,2018,12,13,2,0,0,2019,483,128,483,108.8272
737407.125,2018,12,13,3,0,0,2019,484,129,484,109.6841
737407.1667,2018,12,13,4,0,0,2019,484,129,484,109.6841
