Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12
MatLabTime,year,month,day,hour,minute,second,WatYr,Precip_raw,Precip_raw_annual,Precip_filtered,Precip_filtered_annual
n of days from January 0 0000,year n,month n,day n,hour n,minute n,second n,n starting on oct 1 of the previous calendar year (WatYr 2020 starts on 2019 oct 1),mm,mm reset every Oct 1,mm,mm reset every Oct 1
736497.5,2016,6,16,12,0,0,2016,,,,
736497.5417,2016,6,16,13,0,0,2016,,,,
736497.5833,2016,6,16,14,0,0,2016,,,,
736497.625,2016,6,16,15,0,0,2016,,,,
736497.6667,2016,6,16,16,0,0,2016,,,,
736497.7083,2016,6,16,17,0,0,2016,,,,
736497.75,2016,6,16,18,0,0,2016,,,,
736497.7917,2016,6,16,19,0,0,2016,,,,
736497.8333,2016,6,16,20,0,0,2016,,,,
736497.875,2016,6,16,21,0,0,2016,,,,
736497.9167,2016,6,16,22,0,0,2016,,,,
736497.9583,2016,6,16,23,0,0,2016,,,,
736498,2016,6,17,0,0,0,2016,,,,
736498.0417,2016,6,17,1,0,0,2016,,,,
736498.0833,2016,6,17,2,0,0,2016,,,,
736498.125,2016,6,17,3,0,0,2016,,,,
736498.1667,2016,6,17,4,0,0,2016,,,,
736498.2083,2016,6,17,5,0,0,2016,,,,
736498.25,2016,6,17,6,0,0,2016,,,,
736498.2917,2016,6,17,7,0,0,2016,,,,
736498.3333,2016,6,17,8,0,0,2016,,,,
736498.375,2016,6,17,9,0,0,2016,,,,
736498.4167,2016,6,17,10,0,0,2016,,,,
736498.4583,2016,6,17,11,0,0,2016,,,,
736498.5,2016,6,17,12,0,0,2016,,,,
736498.5417,2016,6,17,13,0,0,2016,187,0,187,0
736498.5833,2016,6,17,14,0,0,2016,189,2,189,1.8389
736498.625,2016,6,17,15,0,0,2016,191,4,191,3.6777
736498.6667,2016,6,17,16,0,0,2016,192,5,,
736498.7083,2016,6,17,17,0,0,2016,193,6,,
736498.75,2016,6,17,18,0,0,2016,190,3,,
736498.7917,2016,6,17,19,0,0,2016,189,2,,
736498.8333,2016,6,17,20,0,0,2016,192,5,191,3.6777
736498.875,2016,6,17,21,0,0,2016,192,5,191,3.6777
736498.9167,2016,6,17,22,0,0,2016,191,4,191,3.6777
736498.9583,2016,6,17,23,0,0,2016,191,4,191,3.6777
736499,2016,6,18,0,0,0,2016,192,5,192,4.5972
736499.0417,2016,6,18,1,0,0,2016,192,5,192,4.5972
736499.0833,2016,6,18,2,0,0,2016,193,6,193,5.5166
736499.125,2016,6,18,3,0,0,2016,193,6,193,5.5166
736499.1667,2016,6,18,4,0,0,2016,192,5,,
736499.2083,2016,6,18,5,0,0,2016,193,6,193,5.5166
736499.25,2016,6,18,6,0,0,2016,194,7,194,6.436
736499.2917,2016,6,18,7,0,0,2016,197,10,197,9.1943
736499.3333,2016,6,18,8,0,0,2016,197,10,197,9.1943
736499.375,2016,6,18,9,0,0,2016,198,11,198,10.1137
736499.4167,2016,6,18,10,0,0,2016,201,14,201,12.872
736499.4583,2016,6,18,11,0,0,2016,202,15,202,13.7915
736499.5,2016,6,18,12,0,0,2016,204,17,,
736499.5417,2016,6,18,13,0,0,2016,202,15,,
736499.5833,2016,6,18,14,0,0,2016,204,17,202,13.7915
736499.625,2016,6,18,15,0,0,2016,204,17,202,13.7915
736499.6667,2016,6,18,16,0,0,2016,204,17,202,13.7915
736499.7083,2016,6,18,17,0,0,2016,203,16,202,13.7915
736499.75,2016,6,18,18,0,0,2016,202,15,202,13.7915
736499.7917,2016,6,18,19,0,0,2016,201,14,,
736499.8333,2016,6,18,20,0,0,2016,202,15,202,13.7915
736499.875,2016,6,18,21,0,0,2016,202,15,202,13.7915
736499.9167,2016,6,18,22,0,0,2016,203,16,203,14.7109
736499.9583,2016,6,18,23,0,0,2016,203,16,203,14.7109
736500,2016,6,19,0,0,0,2016,204,17,203,14.7109
736500.0417,2016,6,19,1,0,0,2016,204,17,203,14.7109
736500.0833,2016,6,19,2,0,0,2016,204,17,203,14.7109
736500.125,2016,6,19,3,0,0,2016,205,18,,
736500.1667,2016,6,19,4,0,0,2016,204,17,203,14.7109
736500.2083,2016,6,19,5,0,0,2016,203,16,203,14.7109
736500.25,2016,6,19,6,0,0,2016,203,16,203,14.7109
736500.2917,2016,6,19,7,0,0,2016,204,17,204,15.6303
736500.3333,2016,6,19,8,0,0,2016,206,19,206,17.4692
736500.375,2016,6,19,9,0,0,2016,206,19,206,17.4692
736500.4167,2016,6,19,10,0,0,2016,210,23,210,21.1469
736500.4583,2016,6,19,11,0,0,2016,212,25,211,22.0664
736500.5,2016,6,19,12,0,0,2016,213,26,211,22.0664
736500.5417,2016,6,19,13,0,0,2016,213,26,211,22.0664
736500.5833,2016,6,19,14,0,0,2016,216,29,,
736500.625,2016,6,19,15,0,0,2016,215,28,,
736500.6667,2016,6,19,16,0,0,2016,214,27,211,22.0664
736500.7083,2016,6,19,17,0,0,2016,214,27,211,22.0664
736500.75,2016,6,19,18,0,0,2016,214,27,211,22.0664
736500.7917,2016,6,19,19,0,0,2016,213,26,211,22.0664
736500.8333,2016,6,19,20,0,0,2016,211,24,211,22.0664
736500.875,2016,6,19,21,0,0,2016,211,24,211,22.0664
736500.9167,2016,6,19,22,0,0,2016,212,25,,
736500.9583,2016,6,19,23,0,0,2016,211,24,211,22.0664
736501,2016,6,20,0,0,0,2016,211,24,211,22.0664
736501.0417,2016,6,20,1,0,0,2016,211,24,211,22.0664
736501.0833,2016,6,20,2,0,0,2016,211,24,211,22.0664
736501.125,2016,6,20,3,0,0,2016,212,25,211,22.0664
736501.1667,2016,6,20,4,0,0,2016,212,25,211,22.0664
736501.2083,2016,6,20,5,0,0,2016,212,25,211,22.0664
736501.25,2016,6,20,6,0,0,2016,212,25,211,22.0664
736501.2917,2016,6,20,7,0,0,2016,212,25,211,22.0664
736501.3333,2016,6,20,8,0,0,2016,211,24,,
736501.375,2016,6,20,9,0,0,2016,214,27,211,22.0664
736501.4167,2016,6,20,10,0,0,2016,215,28,211,22.0664
736501.4583,2016,6,20,11,0,0,2016,215,28,211,22.0664
736501.5,2016,6,20,12,0,0,2016,215,28,211,22.0664
736501.5417,2016,6,20,13,0,0,2016,214,27,211,22.0664
736501.5833,2016,6,20,14,0,0,2016,214,27,211,22.0664
736501.625,2016,6,20,15,0,0,2016,214,27,211,22.0664
736501.6667,2016,6,20,16,0,0,2016,213,26,211,22.0664
736501.7083,2016,6,20,17,0,0,2016,213,26,211,22.0664
736501.75,2016,6,20,18,0,0,2016,213,26,211,22.0664
736501.7917,2016,6,20,19,0,0,2016,212,25,211,22.0664
736501.8333,2016,6,20,20,0,0,2016,211,24,211,22.0664
736501.875,2016,6,20,21,0,0,2016,210,23,210,22.0664
736501.9167,2016,6,20,22,0,0,2016,209,22,208,22.0664
736501.9583,2016,6,20,23,0,0,2016,208,21,208,22.0664
736502,2016,6,21,0,0,0,2016,208,21,208,22.0664
736502.0417,2016,6,21,1,0,0,2016,208,21,208,22.0664
736502.0833,2016,6,21,2,0,0,2016,209,22,209,22.9858
736502.125,2016,6,21,3,0,0,2016,209,22,209,22.9858
736502.1667,2016,6,21,4,0,0,2016,209,22,209,22.9858
736502.2083,2016,6,21,5,0,0,2016,209,22,209,22.9858
736502.25,2016,6,21,6,0,0,2016,210,23,210,23.9052
736502.2917,2016,6,21,7,0,0,2016,210,23,210,23.9052
736502.3333,2016,6,21,8,0,0,2016,209,22,,
736502.375,2016,6,21,9,0,0,2016,208,21,,
736502.4167,2016,6,21,10,0,0,2016,211,24,210,23.9052
736502.4583,2016,6,21,11,0,0,2016,212,25,,
736502.5,2016,6,21,12,0,0,2016,211,24,210,23.9052
736502.5417,2016,6,21,13,0,0,2016,210,23,,
736502.5833,2016,6,21,14,0,0,2016,211,24,210,23.9052
736502.625,2016,6,21,15,0,0,2016,211,24,210,23.9052
736502.6667,2016,6,21,16,0,0,2016,210,23,210,23.9052
736502.7083,2016,6,21,17,0,0,2016,210,23,210,23.9052
736502.75,2016,6,21,18,0,0,2016,210,23,210,23.9052
736502.7917,2016,6,21,19,0,0,2016,210,23,210,23.9052
736502.8333,2016,6,21,20,0,0,2016,211,24,211,24.8246
736502.875,2016,6,21,21,0,0,2016,212,25,212,25.7441
736502.9167,2016,6,21,22,0,0,2016,213,26,213,26.6635
736502.9583,2016,6,21,23,0,0,2016,214,27,214,27.5829
736503,2016,6,22,0,0,0,2016,214,27,214,27.5829
736503.0417,2016,6,22,1,0,0,2016,214,27,214,27.5829
736503.0833,2016,6,22,2,0,0,2016,214,27,214,27.5829
736503.125,2016,6,22,3,0,0,2016,214,27,214,27.5829
736503.1667,2016,6,22,4,0,0,2016,214,27,214,27.5829
736503.2083,2016,6,22,5,0,0,2016,214,27,214,27.5829
736503.25,2016,6,22,6,0,0,2016,214,27,214,27.5829
736503.2917,2016,6,22,7,0,0,2016,215,28,215,28.5024
736503.3333,2016,6,22,8,0,0,2016,216,29,216,29.4218
736503.375,2016,6,22,9,0,0,2016,216,29,216,29.4218
736503.4167,2016,6,22,10,0,0,2016,216,29,216,29.4218
736503.4583,2016,6,22,11,0,0,2016,217,30,217,30.3412
736503.5,2016,6,22,12,0,0,2016,219,32,219,32.1801
736503.5417,2016,6,22,13,0,0,2016,219,32,219,32.1801
736503.5833,2016,6,22,14,0,0,2016,219,32,219,32.1801
736503.625,2016,6,22,15,0,0,2016,220,33,220,33.0995
736503.6667,2016,6,22,16,0,0,2016,220,33,220,33.0995
736503.7083,2016,6,22,17,0,0,2016,222,35,222,34.9384
736503.75,2016,6,22,18,0,0,2016,224,37,224,36.7773
736503.7917,2016,6,22,19,0,0,2016,224,37,224,36.7773
736503.8333,2016,6,22,20,0,0,2016,224,37,224,36.7773
736503.875,2016,6,22,21,0,0,2016,224,37,224,36.7773
736503.9167,2016,6,22,22,0,0,2016,223,36,,
736503.9583,2016,6,22,23,0,0,2016,224,37,224,36.7773
736504,2016,6,23,0,0,0,2016,224,37,224,36.7773
736504.0417,2016,6,23,1,0,0,2016,224,37,224,36.7773
736504.0833,2016,6,23,2,0,0,2016,224,37,224,36.7773
736504.125,2016,6,23,3,0,0,2016,224,37,224,36.7773
736504.1667,2016,6,23,4,0,0,2016,224,37,224,36.7773
736504.2083,2016,6,23,5,0,0,2016,224,37,224,36.7773
736504.25,2016,6,23,6,0,0,2016,225,38,225,37.6967
736504.2917,2016,6,23,7,0,0,2016,226,39,226,38.6161
736504.3333,2016,6,23,8,0,0,2016,226,39,226,38.6161
736504.375,2016,6,23,9,0,0,2016,227,40,227,39.5355
736504.4167,2016,6,23,10,0,0,2016,227,40,227,39.5355
736504.4583,2016,6,23,11,0,0,2016,228,41,228,40.455
736504.5,2016,6,23,12,0,0,2016,229,42,229,41.3744
736504.5417,2016,6,23,13,0,0,2016,230,43,230,42.2938
736504.5833,2016,6,23,14,0,0,2016,232,45,232,44.1327
736504.625,2016,6,23,15,0,0,2016,233,46,233,45.0521
736504.6667,2016,6,23,16,0,0,2016,233,46,233,45.0521
736504.7083,2016,6,23,17,0,0,2016,233,46,233,45.0521
736504.75,2016,6,23,18,0,0,2016,234,47,234,45.9716
736504.7917,2016,6,23,19,0,0,2016,234,47,234,45.9716
736504.8333,2016,6,23,20,0,0,2016,234,47,234,45.9716
736504.875,2016,6,23,21,0,0,2016,234,47,234,45.9716
736504.9167,2016,6,23,22,0,0,2016,235,48,235,46.891
736504.9583,2016,6,23,23,0,0,2016,235,48,235,46.891
736505,2016,6,24,0,0,0,2016,235,48,235,46.891
736505.0417,2016,6,24,1,0,0,2016,236,49,236,47.8104
736505.0833,2016,6,24,2,0,0,2016,236,49,236,47.8104
736505.125,2016,6,24,3,0,0,2016,236,49,236,47.8104
736505.1667,2016,6,24,4,0,0,2016,236,49,236,47.8104
736505.2083,2016,6,24,5,0,0,2016,236,49,236,47.8104
736505.25,2016,6,24,6,0,0,2016,237,50,237,48.7299
736505.2917,2016,6,24,7,0,0,2016,237,50,237,48.7299
736505.3333,2016,6,24,8,0,0,2016,238,51,238,49.6493
736505.375,2016,6,24,9,0,0,2016,238,51,238,49.6493
736505.4167,2016,6,24,10,0,0,2016,239,52,238,49.6493
736505.4583,2016,6,24,11,0,0,2016,239,52,238,49.6493
736505.5,2016,6,24,12,0,0,2016,240,53,238,49.6493
736505.5417,2016,6,24,13,0,0,2016,240,53,238,49.6493
736505.5833,2016,6,24,14,0,0,2016,240,53,238,49.6493
736505.625,2016,6,24,15,0,0,2016,240,53,238,49.6493
736505.6667,2016,6,24,16,0,0,2016,239,52,238,49.6493
736505.7083,2016,6,24,17,0,0,2016,239,52,238,49.6493
736505.75,2016,6,24,18,0,0,2016,238,51,238,49.6493
736505.7917,2016,6,24,19,0,0,2016,238,51,238,49.6493
736505.8333,2016,6,24,20,0,0,2016,238,51,238,49.6493
736505.875,2016,6,24,21,0,0,2016,238,51,238,49.6493
736505.9167,2016,6,24,22,0,0,2016,238,51,238,49.6493
736505.9583,2016,6,24,23,0,0,2016,238,51,238,49.6493
736506,2016,6,25,0,0,0,2016,238,51,238,49.6493
736506.0417,2016,6,25,1,0,0,2016,239,52,239,50.5687
736506.0833,2016,6,25,2,0,0,2016,239,52,239,50.5687
736506.125,2016,6,25,3,0,0,2016,239,52,239,50.5687
736506.1667,2016,6,25,4,0,0,2016,239,52,239,50.5687
736506.2083,2016,6,25,5,0,0,2016,239,52,239,50.5687
736506.25,2016,6,25,6,0,0,2016,239,52,239,50.5687
736506.2917,2016,6,25,7,0,0,2016,239,52,239,50.5687
736506.3333,2016,6,25,8,0,0,2016,239,52,239,50.5687
736506.375,2016,6,25,9,0,0,2016,239,52,239,50.5687
736506.4167,2016,6,25,10,0,0,2016,240,53,239,50.5687
736506.4583,2016,6,25,11,0,0,2016,241,54,,
736506.5,2016,6,25,12,0,0,2016,240,53,,
736506.5417,2016,6,25,13,0,0,2016,241,54,,
736506.5833,2016,6,25,14,0,0,2016,240,53,239,50.5687
736506.625,2016,6,25,15,0,0,2016,240,53,239,50.5687
736506.6667,2016,6,25,16,0,0,2016,241,54,239,50.5687
736506.7083,2016,6,25,17,0,0,2016,241,54,239,50.5687
736506.75,2016,6,25,18,0,0,2016,240,53,239,50.5687
736506.7917,2016,6,25,19,0,0,2016,239,52,239,50.5687
736506.8333,2016,6,25,20,0,0,2016,239,52,239,50.5687
736506.875,2016,6,25,21,0,0,2016,239,52,239,50.5687
736506.9167,2016,6,25,22,0,0,2016,239,52,239,50.5687
736506.9583,2016,6,25,23,0,0,2016,239,52,239,50.5687
736507,2016,6,26,0,0,0,2016,239,52,239,50.5687
736507.0417,2016,6,26,1,0,0,2016,239,52,239,50.5687
736507.0833,2016,6,26,2,0,0,2016,239,52,239,50.5687
736507.125,2016,6,26,3,0,0,2016,239,52,239,50.5687
736507.1667,2016,6,26,4,0,0,2016,239,52,239,50.5687
736507.2083,2016,6,26,5,0,0,2016,239,52,239,50.5687
736507.25,2016,6,26,6,0,0,2016,239,52,239,50.5687
736507.2917,2016,6,26,7,0,0,2016,239,52,239,50.5687
736507.3333,2016,6,26,8,0,0,2016,240,53,239,50.5687
736507.375,2016,6,26,9,0,0,2016,241,54,239,50.5687
736507.4167,2016,6,26,10,0,0,2016,242,55,,
736507.4583,2016,6,26,11,0,0,2016,241,54,,
736507.5,2016,6,26,12,0,0,2016,242,55,239,50.5687
736507.5417,2016,6,26,13,0,0,2016,242,55,239,50.5687
736507.5833,2016,6,26,14,0,0,2016,241,54,239,50.5687
736507.625,2016,6,26,15,0,0,2016,241,54,239,50.5687
736507.6667,2016,6,26,16,0,0,2016,241,54,239,50.5687
736507.7083,2016,6,26,17,0,0,2016,240,53,239,50.5687
736507.75,2016,6,26,18,0,0,2016,240,53,239,50.5687
736507.7917,2016,6,26,19,0,0,2016,239,52,239,50.5687
736507.8333,2016,6,26,20,0,0,2016,239,52,239,50.5687
736507.875,2016,6,26,21,0,0,2016,238,51,238,50.5687
736507.9167,2016,6,26,22,0,0,2016,238,51,238,50.5687
736507.9583,2016,6,26,23,0,0,2016,239,52,238,50.5687
736508,2016,6,27,0,0,0,2016,239,52,238,50.5687
736508.0417,2016,6,27,1,0,0,2016,239,52,238,50.5687
736508.0833,2016,6,27,2,0,0,2016,239,52,238,50.5687
736508.125,2016,6,27,3,0,0,2016,239,52,238,50.5687
736508.1667,2016,6,27,4,0,0,2016,239,52,238,50.5687
736508.2083,2016,6,27,5,0,0,2016,239,52,238,50.5687
736508.25,2016,6,27,6,0,0,2016,239,52,238,50.5687
736508.2917,2016,6,27,7,0,0,2016,240,53,238,50.5687
736508.3333,2016,6,27,8,0,0,2016,241,54,238,50.5687
736508.375,2016,6,27,9,0,0,2016,241,54,238,50.5687
736508.4167,2016,6,27,10,0,0,2016,242,55,,
736508.4583,2016,6,27,11,0,0,2016,241,54,238,50.5687
736508.5,2016,6,27,12,0,0,2016,241,54,238,50.5687
736508.5417,2016,6,27,13,0,0,2016,240,53,238,50.5687
