"station_name","month_num","mean_all_years_value","max_all_years_value","min_all_years_value","lower_5th_percentile","upper_95th_percentile","name"
"apelake","01",-4.08024220677282,10.3,-29.7,-17.9,3.8,"Air_Temp"
"apelake","01",631.505551958243,877.362787330317,393.853665158371,446.868509803921,837.694737556561,"PC_accumulated_wtr_yr"
"apelake","01",637.116894772268,898,373,481,891,"SWE"
"apelake","01",200.314016129032,251,117.67,149.5985,242.1035,"Snow_Depth"
"apelake","02",-6.98524185587364,9.1,-28.7,-18.9,1.3,"Air_Temp"
"apelake","02",812.516214668841,1095.99140271493,580.172850678731,624.965005027652,1057.82642533937,"PC_accumulated_wtr_yr"
"apelake","02",774.81040433925,1058,615,623,1003,"SWE"
"apelake","02",240.830597718254,340,171.47,187.17,310.545,"Snow_Depth"
"apelake","03",-3.37577458464302,12.9,-21.8,-11.7,3.9,"Air_Temp"
"apelake","03",998.489939307768,1354.92063348416,713.902081447963,753.023438914024,1300.70891402715,"PC_accumulated_wtr_yr"
"apelake","03",899.196124551971,1232,649,655,1171.85,"SWE"
"apelake","03",274.557781785392,364.4,192.37,202.7,341.325,"Snow_Depth"
"apelake","04",-0.34650462962963,15.5,-14.1,-7.5,6.80500000000002,"Air_Temp"
"apelake","04",1126.52476438354,1496.30162895928,834.273846153845,871.882013574659,1452.69858823529,"PC_accumulated_wtr_yr"
"apelake","04",1004.75844907407,1287,685,727.95,1263.05,"SWE"
"apelake","04",278.81461231203,388.4,190.8,197.775,354.55,"Snow_Depth"
"apelake","05",4.60389784946237,18.7,-5.8,-2,13.3,"Air_Temp"
"apelake","05",1212.45405070064,1610.71194570136,953.101809954749,975.342809954748,1564.93391402715,"PC_accumulated_wtr_yr"
"apelake","05",870.060595878136,1282,263,381.15,1242.85,"SWE"
"apelake","05",205.190038662725,328.7,38.9,82.98,314.8,"Snow_Depth"
"apelake","06",6.758109360519,26.8,-1.6,0.8,16.4,"Air_Temp"
"apelake","06",1297.16734439417,1776.57402714932,1008.76352941176,1022.85241628959,1707.99588687783,"PC_accumulated_wtr_yr"
"apelake","06",378.045717592593,982,0,0,871,"SWE"
"apelake","06",75.0262833534829,263.8,0,0,215.26,"Snow_Depth"
"apelake","07",10.3615177368657,25.6,1,4.3,19.1,"Air_Temp"
"apelake","07",1387.38065887245,1923.83194570136,1076.42733031674,1087.56746606335,1881.29528054299,"PC_accumulated_wtr_yr"
"apelake","07",15.0137768817204,405,0,0,136,"SWE"
"apelake","07",2.75953718265558,91.7,0,0,19.1,"Snow_Depth"
"apelake","08",11.0370071684588,26.2,1.4,4.6,20.2,"Air_Temp"
"apelake","08",1470.75105988853,2099.24760180996,1133.48235294118,1150.7,2069.96469683258,"PC_accumulated_wtr_yr"
"apelake","08",0,0,0,0,0,"SWE"
"apelake","08",0,0,0,0,0,"Snow_Depth"
"apelake","09",7.49337962962963,23.3,-4.9,0.7,15.4,"Air_Temp"
"apelake","09",1567.58460201862,2266.12461538462,1190.46199095022,1227.1,2198.58487782805,"PC_accumulated_wtr_yr"
"apelake","09",0,0,0,0,0,"SWE"
"apelake","09",0,0,0,0,0,"Snow_Depth"
"apelake","10",2.41090130426319,20.2,-13.4,-3.5,11.7,"Air_Temp"
"apelake","10",61.7225311603839,269.298280542983,0,0,207.01221040724,"PC_accumulated_wtr_yr"
"apelake","10",36.3964244073066,249.5,0,0,129.75,"SWE"
"apelake","10",17.3789113699142,100.2,0,0.279,56,"Snow_Depth"
"apelake","11",-1.8453622611465,12.1,-23.9,-11.085,5.1,"Air_Temp"
"apelake","11",255.982341591741,503.418280542985,74.8191855203568,102.669426344896,440.796457013575,"PC_accumulated_wtr_yr"
"apelake","11",161.12629070691,495,0,0,419,"SWE"
"apelake","11",65.7181278331822,219.6,0,1.6,157.135,"Snow_Depth"
"apelake","12",-6.03112136949413,11,-30.4,-18.2,2.9,"Air_Temp"
"apelake","12",433.667403525595,667.548144796378,230.102262443441,259.608805429866,623.845199095022,"PC_accumulated_wtr_yr"
"apelake","12",422.415802611367,671,39,154,658,"SWE"
"apelake","12",149.750078219013,248.1,19.2,55.4,222.275,"Snow_Depth"
