"station_name","month_num","mean_all_years_value","max_all_years_value","min_all_years_value","lower_5th_percentile","upper_95th_percentile","name"
"claytonfalls","01",-2.42181695373185,13.6,-27.4,-13.3,4.8,"Air_Temp"
"claytonfalls","01",390.150576509329,1130.11330316742,0,0,1035.01097285068,"PC_accumulated_wtr_yr"
"claytonfalls","01",579.361962365591,869,237,308,852,"SWE"
"claytonfalls","01",191.565123513266,304.4,117.2,124.2,292.2,"Snow_Depth"
"claytonfalls","02",-4.39023481177786,14.4,-28.6,-15.8,3.9,"Air_Temp"
"claytonfalls","02",512.450423239054,1351.02615384615,0,0,1271.44502262443,"PC_accumulated_wtr_yr"
"claytonfalls","02",730.318101153505,1038,465,512,979,"SWE"
"claytonfalls","02",226.576533948836,501.3,124,134.6,326.03,"Snow_Depth"
"claytonfalls","03",-1.71071006915163,14.9,-20.5,-9.2,5.5,"Air_Temp"
"claytonfalls","03",651.169137933177,1590.13647058824,0,0,1483.23659276018,"PC_accumulated_wtr_yr"
"claytonfalls","03",886.259892328398,1326,603,620,1230.6,"SWE"
"claytonfalls","03",262.209470702779,504.8,122.5,132.4,451.7,"Snow_Depth"
"claytonfalls","04",0.788034782608696,17.8,-14,-5.655,8.65500000000002,"Air_Temp"
"claytonfalls","04",762.679305197279,1785.23628959276,0,0,1711.78424886878,"PC_accumulated_wtr_yr"
"claytonfalls","04",976.74625,1633,636,693,1542.05,"SWE"
"claytonfalls","04",255.194752736882,499.2,132.5,147.77,429.4,"Snow_Depth"
"claytonfalls","05",5.63970390309556,19.4,-4.7,-1.2,14.0849999999999,"Air_Temp"
"claytonfalls","05",843.957187895319,1902.4534841629,0,0,1868.43885067873,"PC_accumulated_wtr_yr"
"claytonfalls","05",649.293595263724,1523,0,0,1234.25,"SWE"
"claytonfalls","05",178.414025974026,415,0,0,374.62,"Snow_Depth"
"claytonfalls","06",7.86243045897079,30.3,-1.1,1.3,17.6,"Air_Temp"
"claytonfalls","06",920.257490416038,2025.93502262444,0,0,1990.34281447964,"PC_accumulated_wtr_yr"
"claytonfalls","06",180.688888888889,763,0,0,647,"SWE"
"claytonfalls","06",50.1651081131029,289.8,0,0,222.95,"Snow_Depth"
"claytonfalls","07",11.2551343080585,26.8,2.1,5,20.4,"Air_Temp"
"claytonfalls","07",996.073869070209,2136.9571040724,0,0,2084.11511312217,"PC_accumulated_wtr_yr"
"claytonfalls","07",0,0,0,0,0,"SWE"
"claytonfalls","07",0.0149696561024949,18.8,0,0,0,"Snow_Depth"
"claytonfalls","08",11.734850016852,27.1,2.4,5.2,20.5,"Air_Temp"
"claytonfalls","08",1062.43940883022,2281.42153846154,0,0,2225.18309049774,"PC_accumulated_wtr_yr"
"claytonfalls","08",0,0,0,0,0,"SWE"
"claytonfalls","08",0,0,0,0,0,"Snow_Depth"
"claytonfalls","09",7.8644785600847,24.4,-2.9,1.4,16.3,"Air_Temp"
"claytonfalls","09",1146.22510718797,2499.3,0,0,2394.57919909502,"PC_accumulated_wtr_yr"
"claytonfalls","09",0,0,0,0,0,"SWE"
"claytonfalls","09",0,0,0,0,0,"Snow_Depth"
"claytonfalls","10",3.62346298619824,20.8,-11.7,-2,13.7,"Air_Temp"
"claytonfalls","10",53.1141715650253,335.015384615385,0,0,223.741850678733,"PC_accumulated_wtr_yr"
"claytonfalls","10",30.3213007159905,244,0,0,100,"SWE"
"claytonfalls","10",9.7919695481336,146.4,0,0,41.8,"Snow_Depth"
"claytonfalls","11",-1.03880852387619,11.5,-22,-8.9,6.3,"Air_Temp"
"claytonfalls","11",170.793945677094,626.5,0,0,490.860760180997,"PC_accumulated_wtr_yr"
"claytonfalls","11",182.304959598774,455,0,0,363,"SWE"
"claytonfalls","11",61.5118658280922,230,0,0.6,166.92,"Snow_Depth"
"claytonfalls","12",-4.03466786624681,13.4,-27.3,-14.6,4.2,"Air_Temp"
"claytonfalls","12",293.864175085424,823.61113122172,0,0,755.145791855203,"PC_accumulated_wtr_yr"
"claytonfalls","12",410.42418899859,690,173,235.65,620,"SWE"
"claytonfalls","12",142.238907563025,260.5,13.3,45.1,228.3,"Snow_Depth"
