"station_name","year","month_num","mean_monthly","max_monthly","min_monthly","lower_5th_percentile","upper_95th_percentile","name"
"claytonfalls","2014","11",-1.64797202797203,9.1,-21.5,-13.23,6.2,"Air_Temp"
"claytonfalls","2014","11",0,0,0,0,0,"PC_accumulated_wtr_yr"
"claytonfalls","2014","11",NA,-Inf,Inf,NA,NA,"SWE"
"claytonfalls","2014","11",25.6618973561431,139.2,0,0.8,116.15,"Snow_Depth"
"claytonfalls","2014","12",-1.57743243243243,7.1,-15.7,-6.905,3.905,"Air_Temp"
"claytonfalls","2014","12",0,0,0,0,0,"PC_accumulated_wtr_yr"
"claytonfalls","2014","12",NA,-Inf,Inf,NA,NA,"SWE"
"claytonfalls","2014","12",92.8200825309491,176.1,44.9,50.6,163.21,"Snow_Depth"
"claytonfalls","2015","01",-0.122010869565217,9.1,-16.7,-7.55,5.225,"Air_Temp"
"claytonfalls","2015","01",0,0,0,0,0,"PC_accumulated_wtr_yr"
"claytonfalls","2015","01",NA,-Inf,Inf,NA,NA,"SWE"
"claytonfalls","2015","01",131.230410183876,172.6,117.2,119.3,167.67,"Snow_Depth"
"claytonfalls","2015","02",0.799107142857143,10.6,-5.9,-3.1,5.84499999999999,"Air_Temp"
"claytonfalls","2015","02",0,0,0,0,0,"PC_accumulated_wtr_yr"
"claytonfalls","2015","02",NA,-Inf,Inf,NA,NA,"SWE"
"claytonfalls","2015","02",136.419309262166,161.7,124,126.5,150.9,"Snow_Depth"
"claytonfalls","2015","03",0.591756756756757,7.4,-7.8,-3.805,4.905,"Air_Temp"
"claytonfalls","2015","03",0,0,0,0,0,"PC_accumulated_wtr_yr"
"claytonfalls","2015","03",NA,-Inf,Inf,NA,NA,"SWE"
"claytonfalls","2015","03",135.313443072702,157.4,122.5,124.1,153.56,"Snow_Depth"
"claytonfalls","2015","04",0.151666666666667,10.7,-6,-4.505,6.705,"Air_Temp"
"claytonfalls","2015","04",0,0,0,0,0,"PC_accumulated_wtr_yr"
"claytonfalls","2015","04",NA,-Inf,Inf,NA,NA,"SWE"
"claytonfalls","2015","04",172.527259475219,214.4,141.6,145.1,205.425,"Snow_Depth"
"claytonfalls","2015","05",7.6880376344086,16.3,-3.8,-1,14.4,"Air_Temp"
"claytonfalls","2015","05",0,0,0,0,0,"PC_accumulated_wtr_yr"
"claytonfalls","2015","05",NA,-Inf,Inf,NA,NA,"SWE"
"claytonfalls","2015","05",107.366030013643,209.1,0,0,199.04,"Snow_Depth"
"claytonfalls","2015","06",9.96819444444444,24.6,-0.2,3,17.6,"Air_Temp"
"claytonfalls","2015","06",0,0,0,0,0,"PC_accumulated_wtr_yr"
"claytonfalls","2015","06",NA,-Inf,Inf,NA,NA,"SWE"
"claytonfalls","2015","06",0,0,0,0,0,"Snow_Depth"
"claytonfalls","2015","07",12.1672043010753,25.4,3.6,5.1,21.9,"Air_Temp"
"claytonfalls","2015","07",0,0,0,0,0,"PC_accumulated_wtr_yr"
"claytonfalls","2015","07",NA,-Inf,Inf,NA,NA,"SWE"
"claytonfalls","2015","07",0,0,0,0,0,"Snow_Depth"
"claytonfalls","2015","08",10.1474462365591,21.7,2.4,4.7,16.485,"Air_Temp"
"claytonfalls","2015","08",0,0,0,0,0,"PC_accumulated_wtr_yr"
"claytonfalls","2015","08",NA,-Inf,Inf,NA,NA,"SWE"
"claytonfalls","2015","08",0,0,0,0,0,"Snow_Depth"
"claytonfalls","2015","09",5.36064425770308,17.1,-0.3,0.6,12,"Air_Temp"
"claytonfalls","2015","09",0,0,0,0,0,"PC_accumulated_wtr_yr"
"claytonfalls","2015","09",NA,-Inf,Inf,NA,NA,"SWE"
"claytonfalls","2015","09",0,0,0,0,0,"Snow_Depth"
"claytonfalls","2015","10",5.38481182795699,17.3,-1.2,0,12.3,"Air_Temp"
"claytonfalls","2015","10",0,0,0,0,0,"PC_accumulated_wtr_yr"
"claytonfalls","2015","10",6.2258064516129,83,0,0,51.15,"SWE"
"claytonfalls","2015","10",3.13018181818182,26.4,0,0,19.355,"Snow_Depth"
"claytonfalls","2015","11",-1.36657342657343,8.2,-10.3,-7.2,5.8,"Air_Temp"
"claytonfalls","2015","11",0,0,0,0,0,"PC_accumulated_wtr_yr"
"claytonfalls","2015","11",220.025694444444,371,62,65,365,"SWE"
"claytonfalls","2015","11",101.671723122239,193.4,8.3,16.2,186.38,"Snow_Depth"
"claytonfalls","2015","12",-3.74354838709677,3.9,-12.2,-9.655,1.085,"Air_Temp"
