"station_name","month_num","mean_all_years_value","max_all_years_value","min_all_years_value","lower_5th_percentile","upper_95th_percentile","name"
"lowercain","01",-0.559643817204301,12.9,-16.6,-7.925,5.5,"Air_Temp"
"lowercain","01",555.221803620203,881.526696832578,0,0,852.820610859728,"PC_accumulated_wtr_yr"
"lowercain","01",379.230026929982,562,106,144,556,"SWE"
"lowercain","01",119.521209268646,172.06,41.9,71,162.655,"Snow_Depth"
"lowercain","02",-3.20546318289786,13.4,-16.6,-10.2,3.4,"Air_Temp"
"lowercain","02",719.725188553638,1145.42669683258,0,0,1092.06914027149,"PC_accumulated_wtr_yr"
"lowercain","02",568.466421568627,902,372,402.95,832.05,"SWE"
"lowercain","02",154.071996746645,244.36,118.9,124.2,208.68,"Snow_Depth"
"lowercain","03",-0.704469086021505,17.2,-13.5,-7.125,7.4,"Air_Temp"
"lowercain","03",876.335429392911,1320.18371040724,0,0,1289.23126696833,"PC_accumulated_wtr_yr"
"lowercain","03",765.572580645161,1074,384,407,1051,"SWE"
"lowercain","03",192.065416384563,268.06,114.6,124.7,250.76,"Snow_Depth"
"lowercain","04",1.48163194444444,18.8,-8.6,-5.305,10.2,"Air_Temp"
"lowercain","04",1006.48065850122,1446.10832579186,0,0,1429.47137556561,"PC_accumulated_wtr_yr"
"lowercain","04",857.981712962963,1093,495,637.9,1086.05,"SWE"
"lowercain","04",190.542520469918,271.16,107.5,113.1,254.32,"Snow_Depth"
"lowercain","05",5.53837365591398,22.4,-5.3,-1.5,15,"Air_Temp"
"lowercain","05",1122.01140253248,1602.59230769231,0,0,1590.8921040724,"PC_accumulated_wtr_yr"
"lowercain","05",640.120170709793,935,0,236,911,"SWE"
"lowercain","05",120.19449346982,248.86,0,0,232.376,"Snow_Depth"
"lowercain","06",8.62423611111111,34.4,-1.2,1.6,20.7,"Air_Temp"
"lowercain","06",1231.47408531297,1743.77411764706,0,0,1729.83190497737,"PC_accumulated_wtr_yr"
"lowercain","06",125.745817843866,604,0,0,459.9,"SWE"
"lowercain","06",28.7991773049645,178.36,0,0,143.6,"Snow_Depth"
"lowercain","07",12.2055311973019,29.7,1.2,5.6,21.78,"Air_Temp"
"lowercain","07",1325.63499598599,1882.3992760181,0,0,1864.00875565611,"PC_accumulated_wtr_yr"
"lowercain","07",0,0,0,0,0,"SWE"
"lowercain","07",0.00044685172647258,0.76,0,0,0,"Snow_Depth"
"lowercain","08",12.4766767778901,30.7,1.4,5.3,22.3,"Air_Temp"
"lowercain","08",1410.41349863767,2003.0628959276,0,0,1985.84511312217,"PC_accumulated_wtr_yr"
"lowercain","08",0,0,0,0,0,"SWE"
"lowercain","08",0,0,0,0,0,"Snow_Depth"
"lowercain","09",10.0551041666667,27.1,-0.3,3,19.1,"Air_Temp"
"lowercain","09",1506.90984580819,2138.16714932127,0,0,2115.21373303167,"PC_accumulated_wtr_yr"
"lowercain","09",0,0,0,0,0,"SWE"
"lowercain","09",0,0,0,0,0,"Snow_Depth"
"lowercain","10",4.66952861952862,22.9,-5.6,-1.7,16,"Air_Temp"
"lowercain","10",77.6599576247991,249.674660633485,0,1.82669683257882,214.816176470589,"PC_accumulated_wtr_yr"
"lowercain","10",3.93783602150538,52,0,0,24,"SWE"
"lowercain","10",5.21984693857143,26.1,0,0,15.175,"Snow_Depth"
"lowercain","11",0.647818559556787,17.2,-12.5,-6.3,8.4,"Air_Temp"
"lowercain","11",270.205242795259,494.348325791856,0,95.5119909502255,434.356470588235,"PC_accumulated_wtr_yr"
"lowercain","11",49.4230501392758,163,0,0,147,"SWE"
"lowercain","11",22.4176288188782,73.06,0,1.9,55.4,"Snow_Depth"
"lowercain","12",-2.06136793728035,9.8,-18.7,-10.2,4,"Air_Temp"
"lowercain","12",392.029316690309,681.243167420815,0,0,647.973171945701,"PC_accumulated_wtr_yr"
"lowercain","12",163.688825311343,376,0,7,328,"SWE"
"lowercain","12",62.8631753697555,144.6,0,8.06,132.66,"Snow_Depth"
