"station_name","year","month_num","mean_monthly","max_monthly","min_monthly","lower_5th_percentile","upper_95th_percentile","name"
"lowercain","2018","12",-1.24910096818811,6.6,-6.8,-5.2,2.7,"Air_Temp"
"lowercain","2018","12",0,0,0,0,0,"PC_accumulated_wtr_yr"
"lowercain","2018","12",NA,-Inf,Inf,NA,NA,"SWE"
"lowercain","2018","12",71.6341127922971,144.6,3.9,7.06,136.8,"Snow_Depth"
"lowercain","2019","01",1.4005376344086,11.5,-8.8,-5.085,6.485,"Air_Temp"
"lowercain","2019","01",0,0,0,0,0,"PC_accumulated_wtr_yr"
"lowercain","2019","01",NA,-Inf,Inf,NA,NA,"SWE"
"lowercain","2019","01",122.117959183673,144.6,107.1,108.8,140.63,"Snow_Depth"
"lowercain","2019","02",-6.14002976190476,1.7,-16.6,-13.5,-0.155000000000007,"Air_Temp"
"lowercain","2019","02",0,0,0,0,0,"PC_accumulated_wtr_yr"
"lowercain","2019","02",NA,-Inf,Inf,NA,NA,"SWE"
"lowercain","2019","02",132.906174698795,152.1,118.9,123.4,148.5,"Snow_Depth"
"lowercain","2019","03",0.94489247311828,17.2,-10,-8,11.7,"Air_Temp"
"lowercain","2019","03",0,0,0,0,0,"PC_accumulated_wtr_yr"
"lowercain","2019","03",NA,-Inf,Inf,NA,NA,"SWE"
"lowercain","2019","03",137.924489795918,159.7,114.6,118.71,157.63,"Snow_Depth"
"lowercain","2019","04",1.81625,11.2,-4.4,-2.205,7.8,"Air_Temp"
"lowercain","2019","04",0,0,0,0,0,"PC_accumulated_wtr_yr"
"lowercain","2019","04",NA,-Inf,Inf,NA,NA,"SWE"
"lowercain","2019","04",124.265457184325,150.6,107.5,110.5,139.56,"Snow_Depth"
"lowercain","2019","05",8.98965053763441,22.4,-1.7,2.03,18.785,"Air_Temp"
"lowercain","2019","05",0,0,0,0,0,"PC_accumulated_wtr_yr"
"lowercain","2019","05",NA,-Inf,Inf,NA,NA,"SWE"
"lowercain","2019","05",34.057972972973,108,0,0,102.91,"Snow_Depth"
"lowercain","2019","06",8.41430555555556,23.8,0.1,1.8,16.405,"Air_Temp"
"lowercain","2019","06",0,0,0,0,0,"PC_accumulated_wtr_yr"
"lowercain","2019","06",NA,-Inf,Inf,NA,NA,"SWE"
"lowercain","2019","06",0,0,0,0,0,"Snow_Depth"
"lowercain","2019","07",10.7364247311828,20.9,3.1,5.6,16.4,"Air_Temp"
"lowercain","2019","07",0,0,0,0,0,"PC_accumulated_wtr_yr"
"lowercain","2019","07",NA,-Inf,Inf,NA,NA,"SWE"
"lowercain","2019","07",0,0,0,0,0,"Snow_Depth"
"lowercain","2019","08",12.3690121786198,24.3,3.5,6.8,21.12,"Air_Temp"
"lowercain","2019","08",0,0,0,0,0,"PC_accumulated_wtr_yr"
"lowercain","2019","08",NA,-Inf,Inf,NA,NA,"SWE"
"lowercain","2019","08",0,0,0,0,0,"Snow_Depth"
"lowercain","2019","09",8.37027777777778,20.6,-0.3,2.1,15.91,"Air_Temp"
"lowercain","2019","09",0,0,0,0,0,"PC_accumulated_wtr_yr"
"lowercain","2019","09",NA,-Inf,Inf,NA,NA,"SWE"
"lowercain","2019","09",0,0,0,0,0,"Snow_Depth"
"lowercain","2019","10",2.97227456258412,12.3,-4.3,-1.1,7.99,"Air_Temp"
"lowercain","2019","10",83.4079544348757,172.494117647059,0,1.63135294117647,165.564977375566,"PC_accumulated_wtr_yr"
"lowercain","2019","10",0.00403225806451613,1,0,0,0,"SWE"
"lowercain","2019","10",7.32857142857143,26.1,0,0,23.02,"Snow_Depth"
"lowercain","2019","11",2.81103351955307,11.6,-7.9,-6.725,9.3,"Air_Temp"
"lowercain","2019","11",246.904031611362,330.822171945701,172.673303167421,176.205972850679,326.205294117647,"PC_accumulated_wtr_yr"
"lowercain","2019","11",2.57638888888889,16,0,0,13,"SWE"
"lowercain","2019","11",6.84425087108014,15.9,0,0.7,14.235,"Snow_Depth"
"lowercain","2019","12",-0.375537634408602,9.4,-6.8,-5.2,3.685,"Air_Temp"
