"station_name","month_num","mean_all_years_value","max_all_years_value","min_all_years_value","lower_5th_percentile","upper_95th_percentile","name"
"machmellkliniklini","01",-3.28809417040359,13.5,-25.3,-12.2,3.5,"Air_Temp"
"machmellkliniklini","01",589.061135230519,867.735837104073,305.933445378156,335.770318681322,768.596923076922,"PC_accumulated_wtr_yr"
"machmellkliniklini","01",540.597356630824,684,316,326,673,"SWE"
"machmellkliniklini","01",234.725174825175,302.9,141.3,152.7,285.2,"Snow_Depth"
"machmellkliniklini","02",-6.13177662466024,9.8,-26.6,-15.2,0.8,"Air_Temp"
"machmellkliniklini","02",787.284564641913,1082.26751131222,461.239418228834,484.786612798971,1028.91970588235,"PC_accumulated_wtr_yr"
"machmellkliniklini","02",666.343885601578,808,441,465,765,"SWE"
"machmellkliniklini","02",263.759335989376,356.3,185.4,194.2,319.06,"Snow_Depth"
"machmellkliniklini","03",-3.29126039092339,15.3,-20.7,-10.2,4.8,"Air_Temp"
"machmellkliniklini","03",972.513141701661,1240.56751131222,569.763762120236,623.378395604397,1192.84436199095,"PC_accumulated_wtr_yr"
"machmellkliniklini","03",747.45230734767,920,517,539,871,"SWE"
"machmellkliniklini","03",281.25214384509,372.5,194.8,209.7,349.515,"Snow_Depth"
"machmellkliniklini","04",-0.428240740740741,16.3,-13,-7.4,7.4,"Air_Temp"
"machmellkliniklini","04",1085.08083525592,1318.97761951603,687.486205559149,735.99520555915,1273.15097285068,"PC_accumulated_wtr_yr"
"machmellkliniklini","04",829.840856481482,995,662,682,963,"SWE"
"machmellkliniklini","04",279.221231422505,396.7,201.1,207.89,358.2,"Snow_Depth"
"machmellkliniklini","05",4.64097222222222,18.9,-6,-2.6,13.5,"Air_Temp"
"machmellkliniklini","05",1168.91505557408,1421.5392760181,831.222042663219,854.001884292181,1394.90339819004,"PC_accumulated_wtr_yr"
"machmellkliniklini","05",731.72773297491,1071,245.9,348,1049,"SWE"
"machmellkliniklini","05",205.340365523466,352.4,47.6,88.2,339.8,"Snow_Depth"
"machmellkliniklini","06",6.84089538390165,28.9,-1.9,0.3,17.7,"Air_Temp"
"machmellkliniklini","06",1245.7160137198,1583.76751131222,894.305029088559,903.522042663222,1505.4931719457,"PC_accumulated_wtr_yr"
"machmellkliniklini","06",337.692337962963,1001,0,0,873.05,"SWE"
"machmellkliniklini","06",85.4732189043028,296.1,0,0,255.9,"Snow_Depth"
"machmellkliniklini","07",10.608374717833,25.9,0.4,4.1,19.8,"Air_Temp"
"machmellkliniklini","07",1326.35289680223,1708.44099547511,934.605391079511,949.913268907565,1680.55007692308,"PC_accumulated_wtr_yr"
"machmellkliniklini","07",41.1507616487455,539,0,0,380,"SWE"
"machmellkliniklini","07",8.53297126046617,140.9,0,0,88.4,"Snow_Depth"
"machmellkliniklini","08",11.3371863799283,26.7,0.3,4.2,20.6,"Air_Temp"
"machmellkliniklini","08",1399.39278645743,1865.97312217195,980.922042663222,988.822042663222,1835.35600452489,"PC_accumulated_wtr_yr"
"machmellkliniklini","08",0,0,0,0,0,"SWE"
"machmellkliniklini","08",0,0,0,0,0,"Snow_Depth"
"machmellkliniklini","09",7.67407321594069,23.8,-3.6,0.675,16.9,"Air_Temp"
"machmellkliniklini","09",1486.36330103526,2035.86751131222,1008.52204266322,1036.32204266322,1947.21928959276,"PC_accumulated_wtr_yr"
"machmellkliniklini","09",0,0,0,0,0,"SWE"
"machmellkliniklini","09",0,0,0,0,0,"Snow_Depth"
"machmellkliniklini","10",2.64693203883495,20.4,-9.5,-3.6,13.3,"Air_Temp"
"machmellkliniklini","10",55.8714394663198,215.980633484163,0,0,185.48359276018,"PC_accumulated_wtr_yr"
"machmellkliniklini","10",40.3003096574415,183,0,0,109.7,"SWE"
"machmellkliniklini","10",49.1658814589666,203.5,0,0.2,200.6,"Snow_Depth"
"machmellkliniklini","11",-1.70204730669847,12.8,-22.2,-8.55,5.6,"Air_Temp"
"machmellkliniklini","11",221.826669523964,451.033393665159,38.6310924369773,61.7716263736294,388.10492760181,"PC_accumulated_wtr_yr"
"machmellkliniklini","11",160.183531746032,393,47,60,328.05,"SWE"
"machmellkliniklini","11",96.3345240786796,251.9,5.9,13.3,203.9,"Snow_Depth"
"machmellkliniklini","12",-4.64129765113593,13.9,-25.9,-12.7,3.4,"Air_Temp"
"machmellkliniklini","12",395.918916025716,618.387149321266,166.848739495803,191.271182934717,557.977647058823,"PC_accumulated_wtr_yr"
"machmellkliniklini","12",354.479761904762,536,137,168,510,"SWE"
"machmellkliniklini","12",166.371837805124,259.6,54.8,91.5,238.9,"Snow_Depth"
