"station_name","year","month_num","mean_monthly","max_monthly","min_monthly","lower_5th_percentile","upper_95th_percentile","name"
"machmellkliniklini","2016","10",1.71180654338549,9.2,-3.7,-1.6,5.2,"Air_Temp"
"machmellkliniklini","2016","10",48.5151971833705,99.2852488687783,0,0.5,96.3537556561086,"PC_accumulated_wtr_yr"
"machmellkliniklini","2016","10",37.3229018492176,71,0,0,70,"SWE"
"machmellkliniklini","2016","10",199.857232704403,203.5,195.3,197.4,202.3,"Snow_Depth"
"machmellkliniklini","2016","11",-0.710833333333333,7.7,-8.2,-5.005,5.1,"Air_Temp"
"machmellkliniklini","2016","11",248.649499622926,346.143800904977,99.3171945701357,105.215859728507,341.991447963801,"PC_accumulated_wtr_yr"
"machmellkliniklini","2016","11",102.870833333333,144,59,65,142,"SWE"
"machmellkliniklini","2016","11",201.554558204769,207.5,194.5,197.2,204.84,"Snow_Depth"
"machmellkliniklini","2016","12",-7.34621621621622,-1,-14.4,-11.905,-3.595,"Air_Temp"
"machmellkliniklini","2016","12",422.258713204885,509.030588235294,346.221809954751,357.637470588235,506.2,"PC_accumulated_wtr_yr"
"machmellkliniklini","2016","12",206.764784946237,316,144,158,308,"SWE"
"machmellkliniklini","2016","12",198.033693972179,211.6,188.1,194.2,206.8,"Snow_Depth"
"machmellkliniklini","2017","01",-4.90403225806452,3.2,-15.3,-13.785,0.885000000000002,"Air_Temp"
"machmellkliniklini","2017","01",588.56466975624,682.348054298642,509.177737556561,517.795692307692,671.868307692307,"PC_accumulated_wtr_yr"
"machmellkliniklini","2017","01",371.490591397849,475,316,318,468,"SWE"
"machmellkliniklini","2017","01",198.037674418605,242.3,183.3,190.72,231.08,"Snow_Depth"
"machmellkliniklini","2017","02",-6.76889880952381,9.8,-18.1,-15.1,2.34499999999999,"Air_Temp"
"machmellkliniklini","2017","02",804.004115048156,927.033212669683,682.640633484163,697.422714932127,912.152990950226,"PC_accumulated_wtr_yr"
"machmellkliniklini","2017","02",483.510416666667,517,441,442,514,"SWE"
"machmellkliniklini","2017","02",197.136708860759,222.2,185.4,188.4,215.345,"Snow_Depth"
"machmellkliniklini","2017","03",-4.6864247311828,3,-13.2,-11.385,0.6,"Air_Temp"
"machmellkliniklini","2017","03",1025.7674982241,1112.89882352941,927.13701357466,936.739380090498,1094.68719457014,"PC_accumulated_wtr_yr"
"machmellkliniklini","2017","03",570.490591397849,659,517,526,637,"SWE"
"machmellkliniklini","2017","03",228.982551319648,265.5,194.8,202.1,250.495,"Snow_Depth"
"machmellkliniklini","2017","04",-0.453888888888889,8.3,-8.4,-4.71,5,"Air_Temp"
"machmellkliniklini","2017","04",1151.68530417295,1186.27040723982,1113.78208144796,1119.41397285068,1182.36230316742,"PC_accumulated_wtr_yr"
"machmellkliniklini","2017","04",690.548611111111,712,662,670,708,"SWE"
"machmellkliniklini","2017","04",240.435252808989,274.4,214.4,216,267.64,"Snow_Depth"
"machmellkliniklini","2017","05",4.62876344086022,17.8,-5.8,-2.9,14.585,"Air_Temp"
"machmellkliniklini","2017","05",1241.35027088503,1275.69674208145,1186.41375565611,1189.7201040724,1272.25053393665,"PC_accumulated_wtr_yr"
"machmellkliniklini","2017","05",622.912634408602,718,386,422.15,712,"SWE"
"machmellkliniklini","2017","05",175.556989247312,220.2,104.1,111.56,216.3,"Snow_Depth"
"machmellkliniklini","2017","06",6.85625,20.4,-1.1,0.6,16.605,"Air_Temp"
"machmellkliniklini","2017","06",1316.61269821518,1358.13936651584,1275.73149321267,1279.25635746606,1354.87318099547,"PC_accumulated_wtr_yr"
"machmellkliniklini","2017","06",158.3,385,0,0,372,"SWE"
"machmellkliniklini","2017","06",45.5180555555556,104.9,0,0,98.52,"Snow_Depth"
"machmellkliniklini","2017","07",9.1119623655914,20.1,0.9,3.8,16.185,"Air_Temp"
