"station_name","month_num","mean_all_years_value","max_all_years_value","min_all_years_value","lower_5th_percentile","upper_95th_percentile","name"
"mountarrowsmith","01",-2.20984657659721,12.8,-15.5,-9.6,5.2,"Air_Temp"
"mountarrowsmith","01",556.244416632506,1162.56443438914,0,0,1096.72623076923,"PC_accumulated_wtr_yr"
"mountarrowsmith","01",584.46935483871,893,168,242,812,"SWE"
"mountarrowsmith","01",179.858408714184,333.9,51.4,109.87,294.9,"Snow_Depth"
"mountarrowsmith","02",-4.00809025866813,11,-22.6,-11.5,2.3,"Air_Temp"
"mountarrowsmith","02",709.628462393035,1341.89683257918,0,0,1282.1286877828,"PC_accumulated_wtr_yr"
"mountarrowsmith","02",823.661517797179,1173,616,630,1128,"SWE"
"mountarrowsmith","02",211.254305637982,320.5,138.7,166.2,295.8,"Snow_Depth"
"mountarrowsmith","03",-1.9180465562755,14.4,-13.5,-7.7,5.5,"Air_Temp"
"mountarrowsmith","03",801.457717806015,1502.77556561086,0,0,1465.24456108597,"PC_accumulated_wtr_yr"
"mountarrowsmith","03",971.968595521954,1259,743,777,1224,"SWE"
"mountarrowsmith","03",256.488722618755,335.6,177.4,184.61,323.4,"Snow_Depth"
"mountarrowsmith","04",0.47993497445425,21,-9.3,-6,9.4,"Air_Temp"
"mountarrowsmith","04",895.039133499779,1666.27556561086,0,0,1629.39251583711,"PC_accumulated_wtr_yr"
"mountarrowsmith","04",1074.89930555556,1401,779,819,1351,"SWE"
"mountarrowsmith","04",267.353558368495,349.8,154.3,172.025,341.4,"Snow_Depth"
"mountarrowsmith","05",5.70314465408805,23.8,-6.1,-2.2,16.4,"Air_Temp"
"mountarrowsmith","05",1005.68097934811,1792.27556561086,0,0,1745.90694117647,"PC_accumulated_wtr_yr"
"mountarrowsmith","05",820.2625,1265,0,196,1225.05,"SWE"
"mountarrowsmith","05",186.613799728752,347.43,0,37.515,318.03,"Snow_Depth"
"mountarrowsmith","06",7.8058905380334,31.4,-2,0.5,20.1,"Air_Temp"
"mountarrowsmith","06",1140.37055951559,1978.76371040724,0,0,1942.94921945701,"PC_accumulated_wtr_yr"
"mountarrowsmith","06",286.777083333333,1128,0,0,971.05,"SWE"
"mountarrowsmith","06",67.8429208734445,278.8,0,0,230.38,"Snow_Depth"
"mountarrowsmith","07",12.0265228141155,28,0.5,4.8,21.4,"Air_Temp"
"mountarrowsmith","07",1156.64981832992,2042.16443438914,0,0,2028.7894841629,"PC_accumulated_wtr_yr"
"mountarrowsmith","07",18.669623655914,440,0,0,181.099999999999,"SWE"
"mountarrowsmith","07",5.46143017512348,108.83,0,0,60.7999999999999,"Snow_Depth"
"mountarrowsmith","08",13.2909946236559,29,1.9,5.7,22.8849999999999,"Air_Temp"
"mountarrowsmith","08",1207.35709429175,2085.30380090498,0,0,2068.83816289593,"PC_accumulated_wtr_yr"
"mountarrowsmith","08",0,0,0,0,0,"SWE"
"mountarrowsmith","08",0,0,0,0,0,"Snow_Depth"
"mountarrowsmith","09",9.01458091478988,25.4,-1.7,2.1,18.9,"Air_Temp"
"mountarrowsmith","09",1316.5311279082,2133.29737556561,0,0,2114.41501357466,"PC_accumulated_wtr_yr"
"mountarrowsmith","09",0,0,0,0,0,"SWE"
"mountarrowsmith","09",0,0,0,0,0,"Snow_Depth"
"mountarrowsmith","10",3.82421134120379,21.6,-8.9,-2.3,15.1,"Air_Temp"
"mountarrowsmith","10",42.5466197387031,196.794811463045,0,0,168.992800904977,"PC_accumulated_wtr_yr"
"mountarrowsmith","10",6.50900090009001,77,0,0,42,"SWE"
"mountarrowsmith","10",4.654566398784,616.83,0,0,11.6,"Snow_Depth"
"mountarrowsmith","11",-0.433179260450161,15.4,-12.2,-7,7.025,"Air_Temp"
"mountarrowsmith","11",177.95414511324,461.227963800905,0,0,375.060742081448,"PC_accumulated_wtr_yr"
"mountarrowsmith","11",53.7009259259259,204,0,0,177,"SWE"
"mountarrowsmith","11",31.0951576326383,146.7,0,0.3,124.8,"Snow_Depth"
"mountarrowsmith","12",-3.7536848534202,12.2,-18.4,-11.4,3.2,"Air_Temp"
"mountarrowsmith","12",335.446524513038,790.87556561086,0,0,638.383065610859,"PC_accumulated_wtr_yr"
"mountarrowsmith","12",218.031892523364,481,14,39,428,"SWE"
"mountarrowsmith","12",97.0109212064531,186.3,0,18.2,169.13,"Snow_Depth"
