"station_name","year","month_num","mean_monthly","max_monthly","min_monthly","lower_5th_percentile","upper_95th_percentile","name"
"mountarrowsmith","2016","08",NA,-Inf,Inf,NA,NA,"Air_Temp"
"mountarrowsmith","2016","08",0,0,0,0,0,"PC_accumulated_wtr_yr"
"mountarrowsmith","2016","08",NA,-Inf,Inf,NA,NA,"SWE"
"mountarrowsmith","2016","08",NA,-Inf,Inf,NA,NA,"Snow_Depth"
"mountarrowsmith","2016","09",NA,-Inf,Inf,NA,NA,"Air_Temp"
"mountarrowsmith","2016","09",0,0,0,0,0,"PC_accumulated_wtr_yr"
"mountarrowsmith","2016","09",NA,-Inf,Inf,NA,NA,"SWE"
"mountarrowsmith","2016","09",NA,-Inf,Inf,NA,NA,"Snow_Depth"
"mountarrowsmith","2016","10",1.71912568306011,6.7,-3,-0.3,4.3,"Air_Temp"
"mountarrowsmith","2016","10",0,0,0,0,0,"PC_accumulated_wtr_yr"
"mountarrowsmith","2016","10",NA,-Inf,Inf,NA,NA,"SWE"
"mountarrowsmith","2016","10",5.12708333333333,10.1,0,0,9.1,"Snow_Depth"
"mountarrowsmith","2016","11",0.095049504950495,8.4,-5.9,-4.1,6.1,"Air_Temp"
"mountarrowsmith","2016","11",0,0,0,0,0,"PC_accumulated_wtr_yr"
"mountarrowsmith","2016","11",NA,-Inf,Inf,NA,NA,"SWE"
"mountarrowsmith","2016","11",40.4667334669339,138.7,0,0.69,128.8,"Snow_Depth"
"mountarrowsmith","2016","12",-6.49959404600812,0,-14,-12,-2.1,"Air_Temp"
"mountarrowsmith","2016","12",0,0,0,0,0,"PC_accumulated_wtr_yr"
"mountarrowsmith","2016","12",NA,-Inf,Inf,NA,NA,"SWE"
"mountarrowsmith","2016","12",124.692753623188,177.9,89.1,100.76,169,"Snow_Depth"
"mountarrowsmith","2017","01",-4.9898211829436,2.5,-15,-13.4,0.5,"Air_Temp"
"mountarrowsmith","2017","01",0,0,0,0,0,"PC_accumulated_wtr_yr"
"mountarrowsmith","2017","01",NA,-Inf,Inf,NA,NA,"SWE"
"mountarrowsmith","2017","01",144.45173370319,167.2,129.9,136,159.6,"Snow_Depth"
"mountarrowsmith","2017","02",-4.85527108433735,7.6,-11.8,-10.3,1.8,"Air_Temp"
"mountarrowsmith","2017","02",0,0,0,0,0,"PC_accumulated_wtr_yr"
"mountarrowsmith","2017","02",NA,-Inf,Inf,NA,NA,"SWE"
"mountarrowsmith","2017","02",172.452241112828,195.3,138.7,139.53,190.11,"Snow_Depth"
"mountarrowsmith","2017","03",-2.99142857142857,6.8,-12.1,-8.8,1.4,"Air_Temp"
"mountarrowsmith","2017","03",0,0,0,0,0,"PC_accumulated_wtr_yr"
"mountarrowsmith","2017","03",NA,-Inf,Inf,NA,NA,"SWE"
"mountarrowsmith","2017","03",238.139682539683,304.1,179.8,184.7,289.62,"Snow_Depth"
"mountarrowsmith","2017","04",-0.445972222222222,7.7,-6.9,-4.2,3.705,"Air_Temp"
"mountarrowsmith","2017","04",0,0,0,0,0,"PC_accumulated_wtr_yr"
"mountarrowsmith","2017","04",NA,-Inf,Inf,NA,NA,"SWE"
"mountarrowsmith","2017","04",288.407616361072,318.8,262.6,265.52,307.02,"Snow_Depth"
"mountarrowsmith","2017","05",6.01554054054054,23.5,-4.6,-2.105,19.005,"Air_Temp"
"mountarrowsmith","2017","05",0,0,0,0,0,"PC_accumulated_wtr_yr"
"mountarrowsmith","2017","05",NA,-Inf,Inf,NA,NA,"SWE"
"mountarrowsmith","2017","05",233.759591836735,286.4,161.4,166.61,284.13,"Snow_Depth"
"mountarrowsmith","2017","06",8.19622905027933,25.3,-0.7,0.775,19.3,"Air_Temp"
"mountarrowsmith","2017","06",0,0,0,0,0,"PC_accumulated_wtr_yr"
"mountarrowsmith","2017","06",NA,-Inf,Inf,NA,NA,"SWE"
"mountarrowsmith","2017","06",90.1254545454545,161.2,0,0,155.2,"Snow_Depth"
"mountarrowsmith","2017","07",11.203247631935,21.2,2.8,5.3,18.1,"Air_Temp"
"mountarrowsmith","2017","07",0,0,0,0,0,"PC_accumulated_wtr_yr"
"mountarrowsmith","2017","07",NA,-Inf,Inf,NA,NA,"SWE"
"mountarrowsmith","2017","07",0,0,0,0,0,"Snow_Depth"
"mountarrowsmith","2017","08",15.1310483870968,26.9,1.9,6.115,24.185,"Air_Temp"
"mountarrowsmith","2017","08",0,0,0,0,0,"PC_accumulated_wtr_yr"
"mountarrowsmith","2017","08",NA,-Inf,Inf,NA,NA,"SWE"
"mountarrowsmith","2017","08",0,0,0,0,0,"Snow_Depth"
"mountarrowsmith","2017","09",9.90513888888889,25.4,-0.7,0.8,21.705,"Air_Temp"
"mountarrowsmith","2017","09",0,0,0,0,0,"PC_accumulated_wtr_yr"
"mountarrowsmith","2017","09",NA,-Inf,Inf,NA,NA,"SWE"
"mountarrowsmith","2017","09",0,0,0,0,0,"Snow_Depth"
"mountarrowsmith","2017","10",3.92688172043011,17.3,-3.8,-2.1,12.9,"Air_Temp"
"mountarrowsmith","2017","10",11.3255504062667,53.0039819004525,0,0,47.7372036199095,"PC_accumulated_wtr_yr"
"mountarrowsmith","2017","10",0,0,0,0,0,"SWE"
"mountarrowsmith","2017","10",7.88650927487352,15.8,0,0.6,13.94,"Snow_Depth"
"mountarrowsmith","2017","11",-2.30952380952381,6.3,-11,-9.28,3.85999999999999,"Air_Temp"
"mountarrowsmith","2017","11",145.749537845651,283.074570135747,53.3945701357466,66.0117420814479,263.8,"PC_accumulated_wtr_yr"
"mountarrowsmith","2017","11",63.9472222222222,203,0,0,158,"SWE"
"mountarrowsmith","2017","11",67.5753894080997,146.7,4.5,9.4,138.565,"Snow_Depth"
"mountarrowsmith","2017","12",-1.52756756756757,12.2,-12.7,-8.905,8.4,"Air_Temp"
"mountarrowsmith","2017","12",360.268087748747,435.079457013574,283.242081447964,296.771212669683,420.319122171946,"PC_accumulated_wtr_yr"
"mountarrowsmith","2017","12",290.129032258065,378,206,263,376,"SWE"
"mountarrowsmith","2017","12",148.519027777778,180.9,130.8,133.8,173.605,"Snow_Depth"
"mountarrowsmith","2018","01",-1.14958904109589,11.7,-7.6,-6.1,6.6,"Air_Temp"
"mountarrowsmith","2018","01",517.852786028803,645.345610859728,435.137013574661,439.506859728507,639.467932126697,"PC_accumulated_wtr_yr"
"mountarrowsmith","2018","01",554.621639784946,893,365,370,884,"SWE"
"mountarrowsmith","2018","01",218.693951612903,333.9,149.4,152.6,319.14,"Snow_Depth"
"mountarrowsmith","2018","02",-4.61691616766467,3.9,-15.9,-12.4,1.7,"Air_Temp"
"mountarrowsmith","2018","02",719.887563294548,782.77221719457,645.445701357466,651.844755656108,779.691778280543,"PC_accumulated_wtr_yr"
"mountarrowsmith","2018","02",1058.52380952381,1173,886,893,1159.45,"SWE"
"mountarrowsmith","2018","02",278.846726190476,320.5,252.8,254.8,302.8,"Snow_Depth"
"mountarrowsmith","2018","03",-2.16075268817204,8.4,-8.5,-7,4.085,"Air_Temp"
"mountarrowsmith","2018","03",833.359958400233,884.3,782.92036199095,793.78136199095,883.817348416289,"PC_accumulated_wtr_yr"
"mountarrowsmith","2018","03",1192.93817204301,1233,1162,1163,1226,"SWE"
"mountarrowsmith","2018","03",309.971020408163,331.9,291.2,294.2,326.73,"Snow_Depth"
"mountarrowsmith","2018","04",0.859776536312849,21,-8.6,-5.6,12.15,"Air_Temp"
"mountarrowsmith","2018","04",947.245022498743,1002.95954751131,884.3,888.236244343891,996.177452488687,"PC_accumulated_wtr_yr"
"mountarrowsmith","2018","04",1297.17222222222,1401,1209,1213,1388,"SWE"
"mountarrowsmith","2018","04",326.447361111111,349.8,302,306,348.2,"Snow_Depth"
"mountarrowsmith","2018","05",8.63413978494624,23.8,-0.7,1.115,18.97,"Air_Temp"
"mountarrowsmith","2018","05",1096.90372271282,1203.95239819004,1003.11846153846,1010.41045701357,1192.56389140271,"PC_accumulated_wtr_yr"
"mountarrowsmith","2018","05",947.143817204301,1265,558,590,1249.85,"SWE"
"mountarrowsmith","2018","05",206.028897849462,307.1,115.8,123.03,298.805,"Snow_Depth"
"mountarrowsmith","2018","06",6.96201117318436,25.1,-1.5,0,20.4,"Air_Temp"
"mountarrowsmith","2018","06",1288.85496313654,1390.22271493213,1204.34669683258,1212.28795475113,1378.47926244344,"PC_accumulated_wtr_yr"
"mountarrowsmith","2018","06",262.668055555556,556,0,0,541,"SWE"
"mountarrowsmith","2018","06",55.7712078651685,118.4,0,0,113.89,"Snow_Depth"
"mountarrowsmith","2018","07",13.8387096774194,25.7,0.5,5.1,23.3,"Air_Temp"
"mountarrowsmith","2018","07",1492.96457070787,1584.81674208145,1390.57366515837,1412.98732643827,1572.8015760181,"PC_accumulated_wtr_yr"
"mountarrowsmith","2018","07",0,0,0,0,0,"SWE"
"mountarrowsmith","2018","07",0,0,0,0,0,"Snow_Depth"
"mountarrowsmith","2018","08",14.1481182795699,25.8,5.1,6.4,23.1,"Air_Temp"
"mountarrowsmith","2018","08",1691.71903093425,1794.90733031674,1585.1163800905,1604.24330316742,1778.50684033613,"PC_accumulated_wtr_yr"
"mountarrowsmith","2018","08",0,0,0,0,0,"SWE"
"mountarrowsmith","2018","08",0,0,0,0,0,"Snow_Depth"
"mountarrowsmith","2018","09",6.89775280898876,21.6,0.5,2.5,15.1,"Air_Temp"
"mountarrowsmith","2018","09",1884.23646494627,2002.0628959276,1795.08334841629,1800.00680378445,1987.36431674208,"PC_accumulated_wtr_yr"
"mountarrowsmith","2018","09",0,0,0,0,0,"SWE"
"mountarrowsmith","2018","09",0,0,0,0,0,"Snow_Depth"
"mountarrowsmith","2018","10",5.30994550408719,18.8,-3.7,-0.535,14,"Air_Temp"
"mountarrowsmith","2018","10",42.4146951175009,85.3358371040727,0.495203619909262,7.29305347593633,82.6116063348417,"PC_accumulated_wtr_yr"
"mountarrowsmith","2018","10",4.79375848032564,43,0,0,42,"SWE"
"mountarrowsmith","2018","10",4.28755244755245,13.8,0,0.4,9.2,"Snow_Depth"
"mountarrowsmith","2018","11",1.49527777777778,12.3,-4.4,-2.6,7.105,"Air_Temp"
"mountarrowsmith","2018","11",150.870762506284,230.345158371041,85.6803619909501,97.9582805429868,227.413045248869,"PC_accumulated_wtr_yr"
"mountarrowsmith","2018","11",9.7625,50,0,0,43,"SWE"
"mountarrowsmith","2018","11",8.43059440559441,29.6,0,0.61,28.1,"Snow_Depth"
"mountarrowsmith","2018","12",-2.8464135021097,2.8,-8.9,-7.2,0.8,"Air_Temp"
"mountarrowsmith","2018","12",379.923144417895,586.566515837103,230.364434389141,234.948859728506,579.797837104072,"PC_accumulated_wtr_yr"
"mountarrowsmith","2018","12",200.081989247312,410,37,39,402,"SWE"
"mountarrowsmith","2018","12",78.6665420560748,167.3,13.3,17.97,162.73,"Snow_Depth"
"mountarrowsmith","2019","01",0.023265306122449,10.7,-10,-6.43,6.4,"Air_Temp"
"mountarrowsmith","2019","01",707.824068372013,787.714027149321,586.785610859728,594.491685197155,779.414230769231,"PC_accumulated_wtr_yr"
"mountarrowsmith","2019","01",562.165322580645,681,402,403,671,"SWE"
"mountarrowsmith","2019","01",175.012167832168,201.7,141.4,147.97,195.7,"Snow_Depth"
"mountarrowsmith","2019","02",-5.95149253731343,2.2,-22.6,-15.13,-0.5,"Air_Temp"
"mountarrowsmith","2019","02",825.03123001695,854.730448610213,787.847088989442,793.258782805429,853.453175500969,"PC_accumulated_wtr_yr"
"mountarrowsmith","2019","02",724,787,681,697.45,779,"SWE"
"mountarrowsmith","2019","02",208.042424242424,217.7,185.2,199.175,215.685,"Snow_Depth"
"mountarrowsmith","2019","03",1.84553376906318,14.4,-8.9,-5.9,10.9,"Air_Temp"
