"station_name","month_num","mean_all_years_value","max_all_years_value","min_all_years_value","lower_5th_percentile","upper_95th_percentile","name"
"mountcayley","01",-3.18007309097903,14.5,-20.9,-10.41,3.1,"Air_Temp"
"mountcayley","01",267.740888978278,375.8,169.9,197.5,325.145,"Snow_Depth"
"mountcayley","02",-5.37011179076144,14.6,-21.3,-14,2.2,"Air_Temp"
"mountcayley","02",309.941253381425,370.2,257.7,278.975,350.5,"Snow_Depth"
"mountcayley","03",-2.46424720831729,16.4,-17.3,-9.4,5.3,"Air_Temp"
"mountcayley","03",349.823325499412,463.2,270,282.9,424,"Snow_Depth"
"mountcayley","04",0.815914064054108,19.8,-11.4,-6.4,10.3,"Air_Temp"
"mountcayley","04",348.594206701655,452.6,264.7,282,435.235,"Snow_Depth"
"mountcayley","05",5.88199115894676,20.9,-5.6,-1.8,15.5,"Air_Temp"
"mountcayley","05",269.148922326149,413.9,110.4,173.4,375.115,"Snow_Depth"
"mountcayley","06",7.98940476190476,31.9,-2.3,0.9,19.7,"Air_Temp"
"mountcayley","06",127.453314189998,309.6,0,0,264.4,"Snow_Depth"
"mountcayley","07",11.8271241830065,27,1.6,5,21.1,"Air_Temp"
"mountcayley","07",9.10201752598329,139.3,0,0,76.97,"Snow_Depth"
"mountcayley","08",13.0541474654378,27.8,1.6,5.9,22,"Air_Temp"
"mountcayley","08",0,0,0,0,0,"Snow_Depth"
"mountcayley","09",8.42507936507936,25.7,-2.5,1.5,18.1,"Air_Temp"
"mountcayley","09",0,0,0,0,0,"Snow_Depth"
"mountcayley","10",3.32658355795148,20.9,-10.2,-3.2,14.3,"Air_Temp"
"mountcayley","10",29.2880677237302,225.2,0,0.5,187.2,"Snow_Depth"
"mountcayley","11",-1.36254423908769,13.1,-14.8,-7.5,5.7,"Air_Temp"
"mountcayley","11",98.9341262364578,226.5,1,14.7,223,"Snow_Depth"
"mountcayley","12",-4.82128645933939,13.7,-24.4,-12.32,2.6,"Air_Temp"
"mountcayley","12",184.848374239564,284.7,52.6,73.4,258.67,"Snow_Depth"
