"station_name","year","month_num","mean_monthly","max_monthly","min_monthly","lower_5th_percentile","upper_95th_percentile","name"
"plummerhut","2019","10",-4.44166665693485,7.40000009536743,-16.5,-11,2.90000009536743,"Air_Temp"
"plummerhut","2019","10",NA,-Inf,Inf,NA,NA,"Snow_Depth_qaqc"
"plummerhut","2019","11",-4.92624999543445,6,-22.1000003814697,-17.7050006866455,2.79999995231628,"Air_Temp"
"plummerhut","2019","11",NA,-Inf,Inf,NA,NA,"Snow_Depth_qaqc"
"plummerhut","2019","12",-8.80188172777254,1.10000002384186,-14.1999998092651,-12.8999996185303,-3.40000009536743,"Air_Temp"
"plummerhut","2019","12",NA,-Inf,Inf,NA,NA,"Snow_Depth_qaqc"
"plummerhut","2020","01",-12.6275537568395,-4.40000009536743,-30.2000007629395,-24.4849999427795,-6.19999980926514,"Air_Temp"
"plummerhut","2020","01",NA,-Inf,Inf,NA,NA,"Snow_Depth_qaqc"
"plummerhut","2020","02",-10.1662356414158,1.10000002384186,-19.8999996185303,-17.5250000953674,-2.79999995231628,"Air_Temp"
"plummerhut","2020","02",NA,-Inf,Inf,NA,NA,"Snow_Depth_qaqc"
"plummerhut","2020","03",-11.1040322736847,2.70000004768372,-27.2000007629395,-18.3849995613098,-3,"Air_Temp"
"plummerhut","2020","03",NA,-Inf,Inf,NA,NA,"Snow_Depth_qaqc"
"plummerhut","2020","04",-6.32680555639995,2.29999995231628,-18.3999996185303,-15.2049998283386,0.300000011920929,"Air_Temp"
"plummerhut","2020","04",NA,-Inf,Inf,NA,NA,"Snow_Depth_qaqc"
"plummerhut","2020","05",-2.5173387094551,7.19999980926514,-12.5,-9.5,3.55499991178513,"Air_Temp"
"plummerhut","2020","05",NA,-Inf,Inf,NA,NA,"Snow_Depth_qaqc"
"plummerhut","2020","06",-1.22041666923712,8.69999980926514,-7.5,-6.30000019073486,5.10499989986419,"Air_Temp"
"plummerhut","2020","06",NA,-Inf,Inf,NA,NA,"Snow_Depth_qaqc"
"plummerhut","2020","07",3.29690860263923,13.6999998092651,-5.19999980926514,-2.88500007390976,11,"Air_Temp"
"plummerhut","2020","07",NA,-Inf,Inf,NA,NA,"Snow_Depth_qaqc"
"plummerhut","2020","08",2.27325269132252,11.6000003814697,-4,-2.48500001430511,8.60000038146973,"Air_Temp"
"plummerhut","2020","08",NA,-Inf,Inf,NA,NA,"Snow_Depth_qaqc"
"plummerhut","2020","09",4.5388888893442,15,-7.09999990463257,-4.41000008583069,11.8999996185303,"Air_Temp"
"plummerhut","2020","09",NA,-Inf,Inf,NA,NA,"Snow_Depth_qaqc"
"plummerhut","2020","10",-2.99321237936496,14.3000001907349,-17.3999996185303,-12.6849998950958,8.36999964714051,"Air_Temp"
"plummerhut","2020","10",NA,-Inf,Inf,NA,NA,"Snow_Depth_qaqc"
"plummerhut","2020","11",-9.03972222882633,3.79999995231628,-18.8999996185303,-14.1999998092651,-2.29999995231628,"Air_Temp"
"plummerhut","2020","11",NA,-Inf,Inf,NA,NA,"Snow_Depth_qaqc"
"plummerhut","2020","12",-7.70143836078374,4.69999980926514,-15.3000001907349,-12.8549998760223,-0.545000010728841,"Air_Temp"
"plummerhut","2020","12",NA,-Inf,Inf,NA,NA,"Snow_Depth_qaqc"
"plummerhut","2021","01",-10.4408602035174,-2.40000009536743,-18.2999992370605,-15.8999996185303,-5.31500017642975,"Air_Temp"
"plummerhut","2021","01",NA,-Inf,Inf,NA,NA,"Snow_Depth_qaqc"
"plummerhut","2021","02",-13.3775297843275,-4.59999990463257,-24.7999992370605,-21.8449994087219,-7.30000019073486,"Air_Temp"
"plummerhut","2021","02",NA,-Inf,Inf,NA,NA,"Snow_Depth_qaqc"
"plummerhut","2021","03",-10.0380758929059,-1.5,-17.5,-15.0150000572205,-4.19999980926514,"Air_Temp"
"plummerhut","2021","03",NA,-Inf,Inf,NA,NA,"Snow_Depth_qaqc"
"plummerhut","2021","04",-5.73881944023694,11.3000001907349,-18.7999992370605,-14.8000001907349,3.09999990463257,"Air_Temp"
"plummerhut","2021","04",NA,-Inf,Inf,NA,NA,"Snow_Depth_qaqc"
"plummerhut","2021","05",-3.27029570246175,8.39999961853027,-12.6000003814697,-10.5,3.68500002622605,"Air_Temp"
"plummerhut","2021","05",NA,-Inf,Inf,NA,NA,"Snow_Depth_qaqc"
"plummerhut","2021","06",3.24680554482879,19.5,-7.90000009536743,-6.40500009059906,17.3999996185303,"Air_Temp"
"plummerhut","2021","06",NA,-Inf,Inf,NA,NA,"Snow_Depth_qaqc"
"plummerhut","2021","07",5.62329700690687,13.8000001907349,-3.5,-0.600000023841858,11.6000003814697,"Air_Temp"
"plummerhut","2021","07",NA,-Inf,Inf,NA,NA,"Snow_Depth_qaqc"
"plummerhut","2021","08",4.84341397845457,16.3999996185303,-5,-2,13.5850003242493,"Air_Temp"
"plummerhut","2021","08",NA,-Inf,Inf,NA,NA,"Snow_Depth_qaqc"
"plummerhut","2021","09",-0.612569445319888,8.30000019073486,-8.39999961853027,-5.90500009059906,5.90000009536743,"Air_Temp"
"plummerhut","2021","09",NA,-Inf,Inf,NA,NA,"Snow_Depth_qaqc"
"plummerhut","2021","10",-6.77983873246378,3.29999995231628,-12.8999996185303,-10.6999998092651,-2.01499998569488,"Air_Temp"
"plummerhut","2021","10",NA,-Inf,Inf,NA,NA,"Snow_Depth_qaqc"
"plummerhut","2021","11",-8.66069445728014,1.60000002384186,-16.1000003814697,-14.3000001907349,-2.19500004053116,"Air_Temp"
"plummerhut","2021","11",NA,-Inf,Inf,NA,NA,"Snow_Depth_qaqc"
"plummerhut","2021","12",-14.1585349280347,-3.29999995231628,-29.3999996185303,-25.2000007629395,-5.80000019073486,"Air_Temp"
"plummerhut","2021","12",NA,-Inf,Inf,NA,NA,"Snow_Depth_qaqc"
"plummerhut","2022","01",-7.34610215858907,2.59999990463257,-20.3999996185303,-17.7000007629395,-0.0150000002235151,"Air_Temp"
"plummerhut","2022","01",NA,-Inf,Inf,NA,NA,"Snow_Depth_qaqc"
"plummerhut","2022","02",-7.36428571410388,2.90000009536743,-24.2999992370605,-18.3449994087219,0.200000002980232,"Air_Temp"
"plummerhut","2022","02",NA,-Inf,Inf,NA,NA,"Snow_Depth_qaqc"
"plummerhut","2022","03",-8.73602149607514,0.899999976158142,-19.7000007629395,-14.309999704361,-2,"Air_Temp"
"plummerhut","2022","03",NA,-Inf,Inf,NA,NA,"Snow_Depth_qaqc"
"plummerhut","2022","04",-11.6312499933773,-2,-18.7000007629395,-17.2999992370605,-5.69499981403351,"Air_Temp"
"plummerhut","2022","04",NA,-Inf,Inf,NA,NA,"Snow_Depth_qaqc"
"plummerhut","2022","05",-6.5644489200285,1.60000002384186,-13.3000001907349,-11.1999998092651,-1.7150000333786,"Air_Temp"
"plummerhut","2022","05",NA,-Inf,Inf,NA,NA,"Snow_Depth_qaqc"
"plummerhut","2022","06",-0.324999988596472,12.6999998092651,-7.69999980926514,-5,8.10000038146973,"Air_Temp"
"plummerhut","2022","06",NA,-Inf,Inf,NA,NA,"Snow_Depth_qaqc"
"plummerhut","2022","07",5.61061828295069,17.2999992370605,-2,-0.800000011920929,14.884999704361,"Air_Temp"
"plummerhut","2022","07",NA,-Inf,Inf,NA,NA,"Snow_Depth_qaqc"
"plummerhut","2022","08",7.00994622849569,15.8000001907349,-2.5,-0.400000005960464,12.3999996185303,"Air_Temp"
"plummerhut","2022","08",NA,-Inf,Inf,NA,NA,"Snow_Depth_qaqc"
"plummerhut","2022","09",3.85263888974571,18.5,-6.40000009536743,-3.5,11.110000371933,"Air_Temp"
"plummerhut","2022","09",NA,-Inf,Inf,NA,NA,"Snow_Depth_qaqc"
"plummerhut","2022","10",0.596975796565574,12.6000003814697,-15.3000001907349,-10.5,9.68499989509583,"Air_Temp"
"plummerhut","2022","10",NA,-Inf,Inf,NA,NA,"Snow_Depth_qaqc"
"plummerhut","2022","11",-8.71729166655698,5.69999980926514,-23.3999996185303,-20.1200003623962,2.5,"Air_Temp"
"plummerhut","2022","11",NA,-Inf,Inf,NA,NA,"Snow_Depth_qaqc"
"plummerhut","2022","12",-9.54610215840481,31.8999996185303,-28.8999996185303,-23,0.485000000894072,"Air_Temp"
"plummerhut","2022","12",NA,-Inf,Inf,NA,NA,"Snow_Depth_qaqc"
"plummerhut","2023","01",-7.07856182376504,15.3000001907349,-18.3999996185303,-14.3999996185303,-0.515000003576276,"Air_Temp"
"plummerhut","2023","01",NA,-Inf,Inf,NA,NA,"Snow_Depth_qaqc"
"plummerhut","2023","02",-11.7395833571042,35.2999992370605,-31.2000007629395,-23,-4.40000009536743,"Air_Temp"
"plummerhut","2023","02",NA,-Inf,Inf,NA,NA,"Snow_Depth_qaqc"
"plummerhut","2023","03",-10.9673387251634,0,-18,-16.3849995613098,-5.21499986648559,"Air_Temp"
"plummerhut","2023","03",NA,-Inf,Inf,NA,NA,"Snow_Depth_qaqc"
"plummerhut","2023","04",-7.63444444796898,21.6000003814697,-16,-14.3999996185303,3.50499999523162,"Air_Temp"
"plummerhut","2023","04",NA,-Inf,Inf,NA,NA,"Snow_Depth_qaqc"
"plummerhut","2023","05",3.4208333461936,13,-7.19999980926514,-4.09999990463257,11.3000001907349,"Air_Temp"
"plummerhut","2023","05",NA,-Inf,Inf,NA,NA,"Snow_Depth_qaqc"
"plummerhut","2023","06",2.61180555668349,12.8999996185303,-8.69999980926514,-5.40500009059906,8.89999961853027,"Air_Temp"
"plummerhut","2023","06",NA,-Inf,Inf,NA,NA,"Snow_Depth_qaqc"
"plummerhut","2023","07",4.77715054385725,14.3999996185303,-2.90000009536743,-0.899999976158142,9.98499994277954,"Air_Temp"
"plummerhut","2023","07",NA,-Inf,Inf,NA,NA,"Snow_Depth_qaqc"
"plummerhut","2023","08",5.91478494569779,16,-1.39999997615814,0.200000002980232,13.3000001907349,"Air_Temp"
"plummerhut","2023","08",NA,-Inf,Inf,NA,NA,"Snow_Depth_qaqc"
"plummerhut","2023","09",2.06590277728521,44,-6.19999980926514,-5,11.3000001907349,"Air_Temp"
"plummerhut","2023","09",NA,-Inf,Inf,NA,NA,"Snow_Depth_qaqc"
"plummerhut","2023","10",-0.417473110129997,14.1999998092651,-17.7000007629395,-11.8000001907349,9.39999961853027,"Air_Temp"
"plummerhut","2023","10",NA,-Inf,Inf,NA,NA,"Snow_Depth_qaqc"
"plummerhut","2023","11",-4.27187499471216,39,-14.1999998092651,-12.2049998283386,5.50499999523162,"Air_Temp"
"plummerhut","2023","11",NA,-Inf,Inf,NA,NA,"Snow_Depth_qaqc"
"plummerhut","2023","12",-4.6571236549406,10.8000001907349,-16.1000003814697,-12.6000003814697,3.20000004768372,"Air_Temp"
"plummerhut","2023","12",NA,-Inf,Inf,NA,NA,"Snow_Depth_qaqc"
