"station_name","month_num","mean_all_years_value","max_all_years_value","min_all_years_value","lower_5th_percentile","upper_95th_percentile","name"
"rennellpass","01",1.59166533430233,10.051,-17.424,-5.295,6.382,"Air_Temp"
"rennellpass","01",20.2655559888572,274.170013427734,0,0,52.0999984741211,"Snow_Depth_qaqc"
"rennellpass","02",1.2804536163522,10.149,-11.397,-4.926,6.179,"Air_Temp"
"rennellpass","02",15.6979889881222,55.6199989318848,0,0,43,"Snow_Depth_qaqc"
"rennellpass","03",1.27550334417932,16.796,-11.577,-3.747,5.796,"Air_Temp"
"rennellpass","03",34.3987749388206,126.599998474121,0,0,84.2069969177246,"Snow_Depth_qaqc"
"rennellpass","04",3.62299404525605,18.485,-5.018,-1.128,9.583,"Air_Temp"
"rennellpass","04",4.06562745700734,215.800003051758,0,0,41.0999984741211,"Snow_Depth_qaqc"
"rennellpass","05",7.11709499177052,22.369,-0.648,2.503,13.1706,"Air_Temp"
"rennellpass","05",0,0,0,0,0,"Snow_Depth_qaqc"
"rennellpass","06",9.78785588451187,33.105,2.93,5.898,15.629,"Air_Temp"
"rennellpass","06",0.00273417723329761,4.80000019073486,0,0,0,"Snow_Depth_qaqc"
"rennellpass","07",12.0217843583903,28.493,5.128,8.27,17.7396,"Air_Temp"
"rennellpass","07",0,0,0,0,0,"Snow_Depth_qaqc"
"rennellpass","08",12.7918102674565,27.21,4.792,9.1015,18.152,"Air_Temp"
"rennellpass","08",0,0,0,0,0,"Snow_Depth_qaqc"
"rennellpass","09",10.6395654783558,24.557,2.823,5.616,15.581,"Air_Temp"
"rennellpass","09",0,0,0,0,0,"Snow_Depth_qaqc"
"rennellpass","10",6.68849745762712,20.174,-4.439,0.687,12.703,"Air_Temp"
"rennellpass","10",4.31133600635266,129.699996948242,0,0,28.3449997901917,"Snow_Depth_qaqc"
"rennellpass","11",3.28718047821815,13.064,-8.797,-2.015,8.93475,"Air_Temp"
"rennellpass","11",7.92643188006391,253.039993286133,0,0,30.7000007629395,"Snow_Depth_qaqc"
"rennellpass","12",1.25555759557344,10.369,-13.163,-5.542,7.268,"Air_Temp"
"rennellpass","12",12.7484875374442,267.549987792969,0,0,46.5960006713867,"Snow_Depth_qaqc"
