"station_name","month_num","mean_all_years_value","max_all_years_value","min_all_years_value","lower_5th_percentile","upper_95th_percentile","name"
"steph2","01",-0.908481208372978,11.58,-15.76,-7.9525,6.20649999999999,"Air_Temp"
"steph2","02",-3.53466521850243,10.57,-15.76,-9.564,2.03,"Air_Temp"
"steph2","03",-1.10999758512437,14.37,-13.31,-6.62,5.68,"Air_Temp"
"steph2","04",1.46618243243243,15.02,-7.75,-4.32,8.7885,"Air_Temp"
"steph2","05",5.23236773350751,20.8,-4.1,-1.1695,14.8385,"Air_Temp"
"steph2","06",8.74829776158251,32.55,0.14,2.3105,18.9285,"Air_Temp"
"steph2","07",11.6184615384615,28.22,3.19,5.77,19.86,"Air_Temp"
"steph2","08",13.0672811059908,28.45,2.66,6.1335,21.89,"Air_Temp"
"steph2","09",9.42636111111111,27.3,0.68,3.2995,17.72,"Air_Temp"
"steph2","10",4.70042242703533,19.77,-4.56,-0.84,15.4465,"Air_Temp"
"steph2","11",0.855732142857143,12.8,-11.06,-5.2405,7.9105,"Air_Temp"
"steph2","12",-1.8792036199095,12.83,-18.54,-8.2,5.76,"Air_Temp"
