"station_name","month_num","mean_all_years_value","max_all_years_value","min_all_years_value","lower_5th_percentile","upper_95th_percentile","name"
"tetrahedron","01",-1.66340804752903,11.7,-15.8,-7.9,5.4,"Air_Temp"
"tetrahedron","01",955.603680779352,1773.34297855597,0,0,1444.01955656109,"PC_accumulated_wtr_yr"
"tetrahedron","01",735.285772029103,1112,76,168,1004.5,"SWE"
"tetrahedron","01",276.464511691884,403.6,131.6,179.2,370.13,"Snow_Depth"
"tetrahedron","02",-4.65936018957346,12.5,-16.2,-11.7,1.525,"Air_Temp"
"tetrahedron","02",1239.72775005867,1994.54389140271,0,0,1928.75052036199,"PC_accumulated_wtr_yr"
"tetrahedron","02",1059.91962174941,1457,596,827.15,1352.85,"SWE"
"tetrahedron","02",338.089844760673,420.1,275.4,291.1,402.945,"Snow_Depth"
"tetrahedron","03",-1.72251259445844,15.9,-11.1,-7.6,5.7,"Air_Temp"
"tetrahedron","03",1460.06511738194,2499.9,0,0,2499.9,"PC_accumulated_wtr_yr"
"tetrahedron","03",1305.62307692308,1839,905.5,915.5,1792,"SWE"
"tetrahedron","03",397.989801505818,532.9,303.4,311.805,503.495,"Snow_Depth"
"tetrahedron","04",0.5896875,19,-9.2,-5.7,9.60499999999997,"Air_Temp"
"tetrahedron","04",1614.58821671978,2499.9,0,0,2499.9,"PC_accumulated_wtr_yr"
"tetrahedron","04",1360.59205020921,1849,977.5,1007.9,1577.6,"SWE"
"tetrahedron","04",432.529116179615,536.1,301.7,316.825,524.475,"Snow_Depth"
"tetrahedron","05",6.01209225700165,20.8,-4.1,-1.3,15.23,"Air_Temp"
"tetrahedron","05",1718.58365640533,2499.9,0,0,2499.9,"PC_accumulated_wtr_yr"
"tetrahedron","05",1210.9026128266,1689,632.5,774.5,1606,"SWE"
"tetrahedron","05",355.242101762554,496,143.6,203.9,465.9,"Snow_Depth"
"tetrahedron","06",8.26602777777778,33.4,-0.8,1.4,20.4,"Air_Temp"
"tetrahedron","06",1816.46951757583,2499.9,0,0,2499.9,"PC_accumulated_wtr_yr"
"tetrahedron","06",806.186790668348,1469,0,72.5,1391,"SWE"
"tetrahedron","06",195.621530553969,404.6,0,20.1,363.285,"Snow_Depth"
"tetrahedron","07",12.7836290322581,28.1,1.4,5.7,22.4,"Air_Temp"
"tetrahedron","07",1898.17147470361,2499.9,0,0,2499.9,"PC_accumulated_wtr_yr"
"tetrahedron","07",232.142010239828,1191,0,0,1013,"SWE"
"tetrahedron","07",33.7650705052879,238.9,0,0,176.085,"Snow_Depth"
"tetrahedron","08",13.5050268817204,28.8,2.1,6.4,22.4,"Air_Temp"
"tetrahedron","08",1963.73550971762,2499.9,0,0,2499.9,"PC_accumulated_wtr_yr"
"tetrahedron","08",0.00806451612903226,9,0,0,0,"SWE"
"tetrahedron","08",0,0,0,0,0,"Snow_Depth"
"tetrahedron","09",9.32233201581028,25.4,-0.7,2.635,18.2,"Air_Temp"
"tetrahedron","09",2042.56823173705,2499.9,0,0,2499.9,"PC_accumulated_wtr_yr"
"tetrahedron","09",0,0,0,0,0,"SWE"
"tetrahedron","09",0,0,0,0,0,"Snow_Depth"
"tetrahedron","10",4.66927374301676,21.3,-5.8,-2.1,16.7,"Air_Temp"
"tetrahedron","10",101.029470147081,431.579185520361,0,0,275.663692307695,"PC_accumulated_wtr_yr"
"tetrahedron","10",12.742828328104,116,0,0,75,"SWE"
"tetrahedron","10",6.71829896907216,31.6,0,0.1,22.5,"Snow_Depth"
"tetrahedron","11",-0.314319084326092,14.4,-11.7,-6.6,6.9,"Air_Temp"
"tetrahedron","11",323.49390370909,824.684615384615,0,0,684.899999999996,"PC_accumulated_wtr_yr"
"tetrahedron","11",139.887022016222,588,0,0,475,"SWE"
"tetrahedron","11",47.6335336918697,610.9,0,0.5,154,"Snow_Depth"
"tetrahedron","12",-3.13134598012647,12.3,-21.8,-10.8,4.46499999999996,"Air_Temp"
"tetrahedron","12",584.24075835944,1216.34526696833,0,0,1162.71797696421,"PC_accumulated_wtr_yr"
"tetrahedron","12",386.941625505164,746,5,15,707,"SWE"
"tetrahedron","12",147.559405074366,610.9,8.2,19.02,233.4,"Snow_Depth"
