"station_name","month_num","mean_all_years_value","max_all_years_value","min_all_years_value","lower_5th_percentile","upper_95th_percentile","name"
"upperskeena","01",-9.82930107526882,0.6,-29.4,-26.3,-2.2,"Air_Temp"
"upperskeena","01",265.366676762516,306.36886877828,215.683619909502,218.26363800905,303.286981900452,"PC_accumulated_wtr_yr"
"upperskeena","01",614.412634408602,671,555,564.15,671,"SWE"
"upperskeena","01",170.935483870968,196.5,150.1,154.8,190.4,"Snow_Depth"
"upperskeena","02",-7.06979166666667,0.5,-22.6,-20.1,-1.6,"Air_Temp"
"upperskeena","02",353.981240169144,397.09294117647,306.429321266968,310.854162895928,394.593674208145,"PC_accumulated_wtr_yr"
"upperskeena","02",820.266369047619,921,670,674.55,920,"SWE"
"upperskeena","03",-5.01061827956989,1.8,-14.3,-9.285,-1.515,"Air_Temp"
"upperskeena","03",446.868829367975,487.873755656108,397.109049773755,405.101692307692,483.405959276018,"PC_accumulated_wtr_yr"
"upperskeena","03",964.799731182796,1010,912,921,1001.85,"SWE"
"upperskeena","03",269.320576131687,284.5,254.9,258.74,281.96,"Snow_Depth"
"upperskeena","04",-4.74902234636872,3.3,-17.2,-12.45,0.8,"Air_Temp"
"upperskeena","04",546.403170437406,594.333574660633,487.919004524887,490.768660633484,592.69528959276,"PC_accumulated_wtr_yr"
"upperskeena","04",1058.17361111111,1097,1010,1013,1096,"SWE"
"upperskeena","04",285.38059914408,316.6,271.2,275.1,305.9,"Snow_Depth"
"upperskeena","05",1.59341397849462,12.6,-5.1,-3.5,8.1,"Air_Temp"
"upperskeena","05",620.655999367489,644.914841628959,594.370859728507,597.385171945701,642.76842081448,"PC_accumulated_wtr_yr"
"upperskeena","05",1117.83333333333,1145,1069,1088.15,1143,"SWE"
"upperskeena","05",258.731317204301,288.8,212.7,220.605,278.3,"Snow_Depth"
"upperskeena","06",8.34888888888889,21.3,-0.3,1.5,16.305,"Air_Temp"
"upperskeena","06",667.855860734037,682.763800904977,644.987330316742,646.298823529411,681.483968325791,"PC_accumulated_wtr_yr"
"upperskeena","06",837.214285714286,1108,391,473,1087,"SWE"
"upperskeena","06",139.26581920904,214.1,46.4,56.905,207.295,"Snow_Depth"
"upperskeena","07",10.0995967741935,24.4,1.9,4,18.67,"Air_Temp"
"upperskeena","07",706.554777648032,729.69294117647,682.802986425339,683.834986425339,727.705882352941,"PC_accumulated_wtr_yr"
"upperskeena","07",61.6962365591398,390,0,0,323.4,"SWE"
"upperskeena","07",3.20752688172043,46.5,0,0,27.97,"Snow_Depth"
"upperskeena","08",12.0801075268817,23.4,3.3,5.1,20.685,"Air_Temp"
"upperskeena","08",535.847608720837,787.75868226465,0,0,776.067330316742,"PC_accumulated_wtr_yr"
"upperskeena","08",0,0,0,0,0,"SWE"
"upperskeena","08",0,0,0,0,0,"Snow_Depth"
"upperskeena","09",6.88986111111111,17.1,-0.4,1.99,12.305,"Air_Temp"
"upperskeena","09",408.19920526156,838.860542986425,0,0,837.169461538461,"PC_accumulated_wtr_yr"
"upperskeena","09",0,0,0,0,0,"SWE"
"upperskeena","09",0,0,0,0,0,"Snow_Depth"
"upperskeena","10",-0.510689170182841,13.3,-11.1,-7,8.9,"Air_Temp"
"upperskeena","10",22.2696824064614,53.3970135746606,0,0.240049773755754,50.5617601809954,"PC_accumulated_wtr_yr"
"upperskeena","10",60.9677871148459,144,0,4,142,"SWE"
"upperskeena","10",24.088603988604,50.3,0,0.2,46.04,"Snow_Depth"
"upperskeena","11",-7.64756944444444,0.8,-24.9,-19.505,-1.4,"Air_Temp"
"upperskeena","11",82.6260206346899,134.903797468354,45.2038009049775,51.6770497737558,131.84364556962,"PC_accumulated_wtr_yr"
"upperskeena","11",199.900694444444,464,110,115,419,"SWE"
"upperskeena","11",72.5699636363636,146,26.9,37.7,131.93,"Snow_Depth"
"upperskeena","12",-14.04375,-1.9,-30.6,-27.065,-3.8,"Air_Temp"
"upperskeena","12",146.944061529793,215.525429864253,99.6085067873304,106.53736199095,209.951366515837,"PC_accumulated_wtr_yr"
"upperskeena","12",413.485887096774,554,241,250,547,"SWE"
"upperskeena","12",126.098575305292,178.3,87.1,91.3,161.635,"Snow_Depth"
