"station_name","year","month_num","mean_monthly","max_monthly","min_monthly","lower_5th_percentile","upper_95th_percentile","name"
"upperskeena","2021","09",NA,-Inf,Inf,NA,NA,"Air_Temp"
"upperskeena","2021","09",0,0,0,0,0,"PC_accumulated_wtr_yr"
"upperskeena","2021","09",NA,-Inf,Inf,NA,NA,"SWE"
"upperskeena","2021","09",NA,-Inf,Inf,NA,NA,"Snow_Depth"
"upperskeena","2021","10",-3.57684365781711,1.8,-9.5,-7.515,0.4,"Air_Temp"
"upperskeena","2021","10",25.5159605653676,53.3970135746606,0,0,52.2059230769231,"PC_accumulated_wtr_yr"
"upperskeena","2021","10",101.590643274854,144,55,56,144,"SWE"
"upperskeena","2021","10",31.0902668759812,49.6,12.4,15.88,46.82,"Snow_Depth"
"upperskeena","2021","11",-5.94430555555556,-0.1,-13.2,-10.505,-1.3,"Air_Temp"
"upperskeena","2021","11",91.9690806899975,134.903797468354,53.4472398190045,54.4862850678733,133.374784810127,"PC_accumulated_wtr_yr"
"upperskeena","2021","11",252.218055555556,464,140,140,427,"SWE"
"upperskeena","2021","11",88.8063893016345,146,26.9,40.9,137.94,"Snow_Depth"
"upperskeena","2021","12",-15.2454301075269,-3.1,-30.6,-26.8,-8.8,"Air_Temp"
"upperskeena","2021","12",164.692557570363,215.525429864253,134.946329113924,136.526379746835,212.020036199095,"PC_accumulated_wtr_yr"
"upperskeena","2021","12",524.391129032258,554,467,485,551,"SWE"
"upperskeena","2021","12",151.502861035422,178.3,136.7,141.1,168.205,"Snow_Depth"
"upperskeena","2022","01",-9.82930107526882,0.6,-29.4,-26.3,-2.2,"Air_Temp"
"upperskeena","2022","01",265.366676762516,306.36886877828,215.683619909502,218.26363800905,303.286981900452,"PC_accumulated_wtr_yr"
"upperskeena","2022","01",614.412634408602,671,555,564.15,671,"SWE"
"upperskeena","2022","01",170.935483870968,196.5,150.1,154.8,190.4,"Snow_Depth"
"upperskeena","2022","02",-7.06979166666667,0.5,-22.6,-20.1,-1.6,"Air_Temp"
"upperskeena","2022","02",353.981240169144,397.09294117647,306.429321266968,310.854162895928,394.593674208145,"PC_accumulated_wtr_yr"
"upperskeena","2022","02",820.266369047619,921,670,674.55,920,"SWE"
"upperskeena","2022","02",229.148995983936,269.8,181.5,184.3,266.515,"Snow_Depth"
"upperskeena","2022","03",-5.01061827956989,1.8,-14.3,-9.285,-1.515,"Air_Temp"
"upperskeena","2022","03",446.868829367975,487.873755656108,397.109049773755,405.101692307692,483.405959276018,"PC_accumulated_wtr_yr"
"upperskeena","2022","03",964.799731182796,1010,912,921,1001.85,"SWE"
"upperskeena","2022","03",269.320576131687,284.5,254.9,258.74,281.96,"Snow_Depth"
"upperskeena","2022","04",-4.74902234636872,3.3,-17.2,-12.45,0.8,"Air_Temp"
"upperskeena","2022","04",546.403170437406,594.333574660633,487.919004524887,490.768660633484,592.69528959276,"PC_accumulated_wtr_yr"
"upperskeena","2022","04",1058.17361111111,1097,1010,1013,1096,"SWE"
"upperskeena","2022","04",285.38059914408,316.6,271.2,275.1,305.9,"Snow_Depth"
"upperskeena","2022","05",1.59341397849462,12.6,-5.1,-3.5,8.1,"Air_Temp"
"upperskeena","2022","05",620.655999367489,644.914841628959,594.370859728507,597.385171945701,642.76842081448,"PC_accumulated_wtr_yr"
"upperskeena","2022","05",1117.83333333333,1145,1069,1088.15,1143,"SWE"
"upperskeena","2022","05",258.731317204301,288.8,212.7,220.605,278.3,"Snow_Depth"
"upperskeena","2022","06",8.34888888888889,21.3,-0.3,1.5,16.305,"Air_Temp"
"upperskeena","2022","06",667.855860734037,682.763800904977,644.987330316742,646.298823529411,681.483968325791,"PC_accumulated_wtr_yr"
"upperskeena","2022","06",837.214285714286,1108,391,473,1087,"SWE"
"upperskeena","2022","06",139.26581920904,214.1,46.4,56.905,207.295,"Snow_Depth"
"upperskeena","2022","07",10.0995967741935,24.4,1.9,4,18.67,"Air_Temp"
"upperskeena","2022","07",706.554777648032,729.69294117647,682.802986425339,683.834986425339,727.705882352941,"PC_accumulated_wtr_yr"
"upperskeena","2022","07",61.6962365591398,390,0,0,323.4,"SWE"
"upperskeena","2022","07",3.20752688172043,46.5,0,0,27.97,"Snow_Depth"
"upperskeena","2022","08",12.0801075268817,23.4,3.3,5.1,20.685,"Air_Temp"
"upperskeena","2022","08",753.355643443542,787.75868226465,729.787963800905,733.832561085973,783.069936320494,"PC_accumulated_wtr_yr"
"upperskeena","2022","08",0,0,0,0,0,"SWE"
"upperskeena","2022","08",0,0,0,0,0,"Snow_Depth"
"upperskeena","2022","09",6.88986111111111,17.1,-0.4,1.99,12.305,"Air_Temp"
"upperskeena","2022","09",816.398410523121,838.860542986425,787.871451274694,789.235511312217,838.076873303167,"PC_accumulated_wtr_yr"
"upperskeena","2022","09",0,0,0,0,0,"SWE"
"upperskeena","2022","09",0,0,0,0,0,"Snow_Depth"
"upperskeena","2022","10",2.28346774193548,13.3,-11.1,-6.5,10.1,"Air_Temp"
"upperskeena","2022","10",19.0234042475552,45.1742986425339,0,0.938972850678715,43.5351900452489,"PC_accumulated_wtr_yr"
"upperskeena","2022","10",23.6209677419355,110,0,0,103,"SWE"
"upperskeena","2022","10",13.3673076923077,50.3,0,0,45.2,"Snow_Depth"
"upperskeena","2022","11",-9.35083333333333,0.8,-24.9,-21.105,-1.595,"Air_Temp"
"upperskeena","2022","11",73.2829605793823,99.5917647058824,45.2038009049775,49.4657556561087,94.6736063348417,"PC_accumulated_wtr_yr"
"upperskeena","2022","11",147.583333333333,241,110,111,238,"SWE"
"upperskeena","2022","11",57.0042735042735,117.4,30.4,36.905,107.89,"Snow_Depth"
"upperskeena","2022","12",-12.8420698924731,-1.9,-29.2,-27.27,-3.4,"Air_Temp"
"upperskeena","2022","12",129.195565489223,162.435022624434,99.6085067873304,103.647773755656,161.814959276018,"PC_accumulated_wtr_yr"
"upperskeena","2022","12",302.58064516129,381,241,246,381,"SWE"
"upperskeena","2022","12",100.90027027027,124.8,87.1,89.395,121.3,"Snow_Depth"
"upperskeena","2023","01",-5.60530726256983,0.1,-17.1,-9.45,-1.8,"Air_Temp"
"upperskeena","2023","01",169.615878790274,170.716087448357,162.459004524887,164.091226244344,170.71146788314,"PC_accumulated_wtr_yr"
"upperskeena","2023","01",460.819892473118,552,380,382.15,540,"SWE"
"upperskeena","2023","01",145.681107954545,178.8,115.4,119.1,169.285,"Snow_Depth"
"upperskeena","2023","02",-10.0135416666667,-2.4,-26.8,-21.69,-3.2,"Air_Temp"
"upperskeena","2023","02",170.761639539778,170.807120057053,170.716087448357,170.720027665749,170.803451578792,"PC_accumulated_wtr_yr"
"upperskeena","2023","02",710.595238095238,802,553,555,800,"SWE"
"upperskeena","2023","02",218.812121212121,244.1,175.2,179.295,239.605,"Snow_Depth"
"upperskeena","2023","03",-7.8633064516129,4.2,-22.1,-17.8,0.385000000000002,"Air_Temp"
"upperskeena","2023","03",170.857832459168,170.907799404879,170.807120057053,170.813234187488,170.903315709227,"PC_accumulated_wtr_yr"
"upperskeena","2023","03",852.942204301075,876,803,827,871,"SWE"
"upperskeena","2023","03",232.383424657534,247.6,217.6,219.845,244.255,"Snow_Depth"
"upperskeena","2023","04",-3.02416666666667,10.7,-9.8,-7.605,4.105,"Air_Temp"
"upperskeena","2023","04",170.957227243043,171.005625491836,170.907799404879,170.912826578792,171.001277665749,"PC_accumulated_wtr_yr"
"upperskeena","2023","04",946.529166666667,1018,877,880,1016,"SWE"
"upperskeena","2023","04",242.401685393258,264.6,219.7,222.1,262.045,"Snow_Depth"
"upperskeena","2023","05",7.45725806451613,22,-2.2,-0.3,16.87,"Air_Temp"
"upperskeena","2023","05",171.056721214136,171.106712448357,171.005625491836,171.012690709227,171.103043970096,"PC_accumulated_wtr_yr"
"upperskeena","2023","05",868.039650537634,1156,533,544,1145,"SWE"
"upperskeena","2023","05",152.623641304348,242,79.2,84.775,230.25,"Snow_Depth"
"upperskeena","2023","06",8.73027777777778,20.7,-1.7,-0.4,17.3,"Air_Temp"
"upperskeena","2023","06",171.155745842965,171.1962984458,171.106712448357,171.112283100531,171.1962984458,"PC_accumulated_wtr_yr"
"upperskeena","2023","06",222.619444444444,553,0,0,534.05,"SWE"
"upperskeena","2023","06",26.8071225071225,82.9,0,0,80.5,"Snow_Depth"
"upperskeena","2023","07",12.5483870967742,23,2.5,6,18.985,"Air_Temp"
"upperskeena","2023","07",177.94390334427,193.339457013575,171.1962984458,171.1962984458,187.639457013575,"PC_accumulated_wtr_yr"
"upperskeena","2023","07",0,0,0,0,0,"SWE"
"upperskeena","2023","07",0,0,0,0,0,"Snow_Depth"
"upperskeena","2023","08",11.6327469553451,22.4,4,6.59,18.8,"Air_Temp"
"upperskeena","2023","08",209.496615092687,221.639457013575,193.339457013575,194.767185520362,220.754841628959,"PC_accumulated_wtr_yr"
"upperskeena","2023","08",0,0,0,0,0,"SWE"
"upperskeena","2023","08",0,0,0,0,0,"Snow_Depth"
"upperskeena","2023","09",4.72388888888889,16.5,-0.6,0.6,10.505,"Air_Temp"
"upperskeena","2023","09",240.267748910675,262.766907993967,221.639457013575,222.636841628959,261.639972850679,"PC_accumulated_wtr_yr"
"upperskeena","2023","09",0,0,0,0,0,"SWE"
"upperskeena","2023","09",0,0,0,0,0,"Snow_Depth"
