"variable","datetime","gap.length"
"PC_Raw_Pipe",2016-10-03 16:00:00,4
"PC_Raw_Pipe",2016-11-08 07:00:00,5
"PC_Raw_Pipe",2016-11-08 21:00:00,8
"PC_Raw_Pipe",2016-11-19 12:00:00,4
"PC_Raw_Pipe",2016-11-25 07:00:00,7
"PC_Raw_Pipe",2016-11-25 13:00:00,5
"PC_Raw_Pipe",2016-11-26 07:00:00,5
"PC_Raw_Pipe",2016-11-27 10:00:00,15
"PC_Raw_Pipe",2017-01-16 15:00:00,5
"PC_Raw_Pipe",2017-01-22 12:00:00,23
"PC_Raw_Pipe",2017-01-23 13:00:00,21
"PC_Raw_Pipe",2017-01-24 10:00:00,16
"PC_Raw_Pipe",2017-01-26 06:00:00,8
"PC_Raw_Pipe",2017-02-02 06:00:00,4
"PC_Raw_Pipe",2017-02-02 14:00:00,7
"PC_Raw_Pipe",2017-02-03 20:00:00,13
"PC_Raw_Pipe",2017-02-04 05:00:00,4
"PC_Raw_Pipe",2017-02-04 13:00:00,7
"PC_Raw_Pipe",2017-02-05 03:00:00,5
"PC_Raw_Pipe",2017-02-05 21:00:00,15
"PC_Raw_Pipe",2017-02-07 10:00:00,36
"PC_Raw_Pipe",2017-02-08 04:00:00,8
"PC_Raw_Pipe",2017-02-08 16:00:00,6
"PC_Raw_Pipe",2017-02-21 13:00:00,6
"PC_Raw_Pipe",2017-02-22 03:00:00,9
"PC_Raw_Pipe",2017-02-22 11:00:00,5
"PC_Raw_Pipe",2017-02-23 12:00:00,13
"PC_Raw_Pipe",2017-02-24 15:00:00,20
"PC_Raw_Pipe",2017-02-25 15:00:00,20
"PC_Raw_Pipe",2017-02-26 11:00:00,4
"PC_Raw_Pipe",2017-02-27 13:00:00,15
"PC_Raw_Pipe",2017-02-28 11:00:00,17
"PC_Raw_Pipe",2017-03-03 14:00:00,5
"PC_Raw_Pipe",2017-03-04 12:00:00,6
"PC_Raw_Pipe",2017-03-05 14:00:00,16
"PC_Raw_Pipe",2017-03-06,6
"PC_Raw_Pipe",2017-03-06 13:00:00,12
"PC_Raw_Pipe",2017-03-09 16:00:00,13
"PC_Raw_Pipe",2017-03-10 06:00:00,7
"PC_Raw_Pipe",2017-03-10 14:00:00,7
"PC_Raw_Pipe",2017-09-02 13:00:00,7
"PC_Raw_Pipe",2017-09-11 11:00:00,10
"PC_Raw_Pipe",2017-10-01 02:00:00,3
"PC_Raw_Pipe",2017-10-17 05:00:00,27
"PC_Raw_Pipe",2017-10-18 07:00:00,5
