"variable","datetime","gap.length"
"PC_Raw_Pipe",2016-02-17 01:00:00,11892
"PC_Raw_Pipe",2016-02-18 15:00:00,30
"PC_Raw_Pipe",2016-02-19 13:00:00,4
"PC_Raw_Pipe",2016-02-24 16:00:00,7
"PC_Raw_Pipe",2016-04-23 18:00:00,4
"PC_Raw_Pipe",2016-07-18 20:00:00,4
"PC_Raw_Pipe",2016-09-26 17:00:00,6
"PC_Raw_Pipe",2017-10-06 04:00:00,8885
"PC_Raw_Pipe",2017-10-16 13:00:00,9
"PC_Raw_Pipe",2017-10-16 21:00:00,5
"PC_Raw_Pipe",2017-10-25 03:00:00,7
"PC_Raw_Pipe",2017-11-05 13:00:00,80
"PC_Raw_Pipe",2017-11-06 14:00:00,24
"PC_Raw_Pipe",2017-11-22 09:00:00,10
"PC_Raw_Pipe",2017-11-25 15:00:00,4
"PC_Raw_Pipe",2017-11-26 10:00:00,4
"PC_Raw_Pipe",2017-12-03 17:00:00,11
"PC_Raw_Pipe",2017-12-06 16:00:00,5
"PC_Raw_Pipe",2017-12-23 11:00:00,27
"PC_Raw_Pipe",2017-12-24 09:00:00,20
"PC_Raw_Pipe",2017-12-25 13:00:00,16
"PC_Raw_Pipe",2017-12-26 23:00:00,33
"PC_Raw_Pipe",2017-12-27 05:00:00,4
"PC_Raw_Pipe",2017-12-30 13:00:00,76
"PC_Raw_Pipe",2017-12-31 13:00:00,22
"PC_Raw_Pipe",2018-01-01 16:00:00,4
"PC_Raw_Pipe",2018-01-12 23:00:00,43
"PC_Raw_Pipe",2018-01-13 19:00:00,4
"PC_Raw_Pipe",2018-01-19 14:00:00,5
"PC_Raw_Pipe",2018-01-24 16:00:00,60
"PC_Raw_Pipe",2018-01-25 16:00:00,22
"PC_Raw_Pipe",2018-01-28 18:00:00,72
"PC_Raw_Pipe",2018-02-02 01:00:00,69
"PC_Raw_Pipe",2018-02-07 11:00:00,5
"PC_Raw_Pipe",2018-02-10 11:00:00,5
"PC_Raw_Pipe",2018-02-11 12:00:00,4
"PC_Raw_Pipe",2018-02-12 19:00:00,30
"PC_Raw_Pipe",2018-02-14,6
"PC_Raw_Pipe",2018-02-14 06:00:00,5
"PC_Raw_Pipe",2018-02-14 14:00:00,6
"PC_Raw_Pipe",2018-02-15 04:00:00,13
"PC_Raw_Pipe",2018-02-15 20:00:00,12
"PC_Raw_Pipe",2018-02-20 13:00:00,80
"PC_Raw_Pipe",2018-02-21 18:00:00,27
"PC_Raw_Pipe",2018-02-22 11:00:00,12
"PC_Raw_Pipe",2018-02-22 21:00:00,4
"PC_Raw_Pipe",2018-02-23 05:00:00,4
"PC_Raw_Pipe",2018-02-25 19:00:00,11
"PC_Raw_Pipe",2018-02-26 19:00:00,10
"PC_Raw_Pipe",2018-02-27 06:00:00,6
"PC_Raw_Pipe",2018-02-27 18:00:00,11
"PC_Raw_Pipe",2018-02-28 19:00:00,11
"PC_Raw_Pipe",2018-03-01 15:00:00,8
"PC_Raw_Pipe",2018-03-04 14:00:00,62
"PC_Raw_Pipe",2018-03-04 20:00:00,4
"PC_Raw_Pipe",2018-03-05 12:00:00,4
"PC_Raw_Pipe",2018-03-05 19:00:00,4
"PC_Raw_Pipe",2018-03-06 18:00:00,11
"PC_Raw_Pipe",2018-03-07 12:00:00,8
"PC_Raw_Pipe",2018-03-07 20:00:00,7
"PC_Raw_Pipe",2018-03-08 13:00:00,5
"PC_Raw_Pipe",2018-03-09,10
"PC_Raw_Pipe",2018-03-09 16:00:00,15
"PC_Raw_Pipe",2018-03-10 11:00:00,4
"PC_Raw_Pipe",2018-03-10 17:00:00,5
"PC_Raw_Pipe",2018-03-11 14:00:00,9
"PC_Raw_Pipe",2018-03-16 13:00:00,12
"PC_Raw_Pipe",2018-03-18 12:00:00,10
"PC_Raw_Pipe",2018-03-19 11:00:00,5
"PC_Raw_Pipe",2019-10-02 11:00:00,8796
"PC_Raw_Pipe",2019-10-25 04:00:00,6
"PC_Raw_Pipe",2019-11-16 22:00:00,6
"PC_Raw_Pipe",2019-11-29 11:00:00,56
"PC_Raw_Pipe",2019-11-30 09:00:00,6
"PC_Raw_Pipe",2019-12-01 16:00:00,10
"PC_Raw_Pipe",2020-01-03 13:00:00,10
"PC_Raw_Pipe",2020-01-13 08:00:00,20
"PC_Raw_Pipe",2020-01-16 13:00:00,76
"PC_Raw_Pipe",2020-01-17 08:00:00,18
"PC_Raw_Pipe",2020-01-19 23:00:00,8
"PC_Raw_Pipe",2020-01-31 19:00:00,5
"PC_Raw_Pipe",2020-02-05 15:00:00,4
"PC_Raw_Pipe",2020-02-11 15:00:00,4
"PC_Raw_Pipe",2020-02-17 18:00:00,4
"PC_Raw_Pipe",2020-02-19 16:00:00,4
"PC_Raw_Pipe",2020-02-26 13:00:00,4
"PC_Raw_Pipe",2020-03-13 13:00:00,4
"PC_Raw_Pipe",2020-03-14 23:00:00,33
"PC_Raw_Pipe",2020-03-15 11:00:00,5
"PC_Raw_Pipe",2020-03-16 12:00:00,5
"PC_Raw_Pipe",2020-03-18 13:00:00,6
"PC_Raw_Pipe",2020-09-01 20:00:00,4
"PC_Raw_Pipe",2020-09-25 07:00:00,5
"PC_Raw_Pipe",2020-10-01 08:00:00,9
"PC_Raw_Pipe",2020-10-09 17:00:00,5
"PC_Raw_Pipe",2020-10-11 06:00:00,30
"PC_Raw_Pipe",2020-10-12 01:00:00,15
"PC_Raw_Pipe",2020-10-13 05:00:00,14
"PC_Raw_Pipe",2020-10-13 23:00:00,4
"PC_Raw_Pipe",2020-10-15 20:00:00,34
"PC_Raw_Pipe",2020-10-16 06:00:00,9
"PC_Raw_Pipe",2020-11-02 13:00:00,5
"PC_Raw_Pipe",2020-11-26 17:00:00,4
"PC_Raw_Pipe",2020-11-30 01:00:00,5
"PC_Raw_Pipe",2020-12-07 05:00:00,10
"PC_Raw_Pipe",2021-02-08 10:00:00,4
"PC_Raw_Pipe",2021-02-09 05:00:00,4
"PC_Raw_Pipe",2021-02-09 13:00:00,5
"PC_Raw_Pipe",2021-02-13 03:00:00,83
"PC_Raw_Pipe",2021-02-13 14:00:00,6
"PC_Raw_Pipe",2021-02-13 22:00:00,5
"PC_Raw_Pipe",2021-02-14 07:00:00,4
"PC_Raw_Pipe",2021-03-24 02:00:00,4
"PC_Raw_Pipe",2021-04-12 10:00:00,4
"PC_Raw_Pipe",2021-05-08 22:00:00,4
"PC_Raw_Pipe",2021-07-23 10:00:00,65
"PC_Raw_Pipe",2021-08-05 08:00:00,4
"PC_Raw_Pipe",2021-08-15 10:00:00,4
"PC_Raw_Pipe",2021-09-07 13:00:00,61
"PC_Raw_Pipe",2021-09-09 11:00:00,19
"PC_Raw_Pipe",2021-10-01 02:00:00,108
"PC_Raw_Pipe",2021-10-07 14:00:00,7
"PC_Raw_Pipe",2021-11-09 16:00:00,4
"PC_Raw_Pipe",2021-11-25 07:00:00,9
"PC_Raw_Pipe",2021-12-01 17:00:00,4
"PC_Raw_Pipe",2021-12-13 18:00:00,6
"PC_Raw_Pipe",2021-12-14 14:00:00,7
"PC_Raw_Pipe",2021-12-14 20:00:00,5
"PC_Raw_Pipe",2021-12-19 16:00:00,6
"PC_Raw_Pipe",2021-12-20 08:00:00,4
"PC_Raw_Pipe",2021-12-20 18:00:00,8
"PC_Raw_Pipe",2021-12-28 06:00:00,93
"PC_Raw_Pipe",2021-12-28 13:00:00,4
