"variable","datetime","gap.length"
"PC_Raw_Pipe",2016-10-03 07:00:00,15
"PC_Raw_Pipe",2016-11-08 06:00:00,10
"PC_Raw_Pipe",2016-11-08 14:00:00,5
"PC_Raw_Pipe",2017-02-02 15:00:00,7
"PC_Raw_Pipe",2017-02-03 22:00:00,4
"PC_Raw_Pipe",2017-02-04 05:00:00,6
"PC_Raw_Pipe",2017-02-05,4
"PC_Raw_Pipe",2017-02-05 08:00:00,4
"PC_Raw_Pipe",2017-02-05 17:00:00,6
"PC_Raw_Pipe",2017-02-06 03:00:00,4
"PC_Raw_Pipe",2017-02-06 21:00:00,13
"PC_Raw_Pipe",2017-02-08 14:00:00,5
"PC_Raw_Pipe",2017-02-25 13:00:00,8
"PC_Raw_Pipe",2017-02-26 14:00:00,6
"PC_Raw_Pipe",2017-02-27 14:00:00,7
"PC_Raw_Pipe",2017-02-28 05:00:00,4
"PC_Raw_Pipe",2017-02-28 13:00:00,6
"PC_Raw_Pipe",2017-03-05 15:00:00,6
"PC_Raw_Pipe",2017-03-06 13:00:00,5
"PC_Raw_Pipe",2017-03-09 13:00:00,5
"PC_Raw_Pipe",2017-03-10 15:00:00,4
"PC_Raw_Pipe",2017-09-11 13:00:00,5
"PC_Raw_Pipe",2017-10-01 02:00:00,3
"PC_Raw_Pipe",2017-10-16 13:00:00,4
"PC_Raw_Pipe",2017-10-17 02:00:00,8
"PC_Raw_Pipe",2017-10-25 03:00:00,4
"PC_Raw_Pipe",2017-11-03 06:00:00,5
"PC_Raw_Pipe",2017-11-03 12:00:00,4
"PC_Raw_Pipe",2017-11-05 08:00:00,5
"PC_Raw_Pipe",2017-11-06 05:00:00,6
"PC_Raw_Pipe",2017-11-06 13:00:00,5
"PC_Raw_Pipe",2017-11-22 18:00:00,5
"PC_Raw_Pipe",2017-11-25 13:00:00,4
"PC_Raw_Pipe",2017-12-02 18:00:00,4
"PC_Raw_Pipe",2017-12-23 18:00:00,13
"PC_Raw_Pipe",2018-02-08 17:00:00,4
"PC_Raw_Pipe",2018-02-18 20:00:00,15
"PC_Raw_Pipe",2018-02-19 05:00:00,7
"PC_Raw_Pipe",2018-02-19 14:00:00,7
"PC_Raw_Pipe",2018-02-20 15:00:00,9
"PC_Raw_Pipe",2018-02-22 14:00:00,5
"PC_Raw_Pipe",2018-02-25 16:00:00,5
"PC_Raw_Pipe",2018-02-27 14:00:00,5
"PC_Raw_Pipe",2018-03-01 16:00:00,7
"PC_Raw_Pipe",2018-03-02 20:00:00,11
"PC_Raw_Pipe",2018-03-03 20:00:00,12
"PC_Raw_Pipe",2018-03-04 17:00:00,9
"PC_Raw_Pipe",2018-03-07 13:00:00,5
"PC_Raw_Pipe",2018-03-10 17:00:00,9
"PC_Raw_Pipe",2018-03-11 10:00:00,4
"PC_Raw_Pipe",2018-03-15 14:00:00,6
"PC_Raw_Pipe",2018-03-18 11:00:00,11
"PC_Raw_Pipe",2018-10-01 09:00:00,10
"PC_Raw_Pipe",2018-12-02 16:00:00,4
"PC_Raw_Pipe",2018-12-03 16:00:00,7
"PC_Raw_Pipe",2018-12-04 14:00:00,4
"PC_Raw_Pipe",2018-12-12 15:00:00,4
"PC_Raw_Pipe",2019-02-04 05:00:00,31
"PC_Raw_Pipe",2019-02-04 12:00:00,6
"PC_Raw_Pipe",2019-02-05 01:00:00,11
"PC_Raw_Pipe",2019-02-06 04:00:00,26
