"variable","datetime","gap.length"
"PC_Raw_Pipe",2015-10-02 15:00:00,14410
"PC_Raw_Pipe",2015-10-09 01:00:00,4
"PC_Raw_Pipe",2015-10-09 17:00:00,5
"PC_Raw_Pipe",2015-10-10 18:00:00,5
"PC_Raw_Pipe",2015-10-30 01:00:00,5
"PC_Raw_Pipe",2015-10-31 06:00:00,4
"PC_Raw_Pipe",2015-11-10 16:00:00,6
"PC_Raw_Pipe",2015-11-12 14:00:00,6
"PC_Raw_Pipe",2015-12-02,4
"PC_Raw_Pipe",2015-12-02 20:00:00,4
"PC_Raw_Pipe",2015-12-04 14:00:00,5
"PC_Raw_Pipe",2015-12-06 13:00:00,10
"PC_Raw_Pipe",2015-12-25 12:00:00,4
"PC_Raw_Pipe",2016-01-04 12:00:00,4
"PC_Raw_Pipe",2016-01-25 19:00:00,4
"PC_Raw_Pipe",2016-01-27 23:00:00,8
"PC_Raw_Pipe",2016-02-05 06:00:00,10
"PC_Raw_Pipe",2016-02-05 16:00:00,5
"PC_Raw_Pipe",2016-02-16 07:00:00,6
"PC_Raw_Pipe",2016-02-20 03:00:00,5
"PC_Raw_Pipe",2016-03-04,4
"PC_Raw_Pipe",2016-03-05 12:00:00,7
"PC_Raw_Pipe",2016-03-10 10:00:00,7
"PC_Raw_Pipe",2016-04-05 11:00:00,4
"PC_Raw_Pipe",2016-05-16 12:00:00,4
"PC_Raw_Pipe",2016-08-26 23:00:00,4
"PC_Raw_Pipe",2016-09-01,28
"PC_Raw_Pipe",2016-09-01 07:00:00,4
"PC_Raw_Pipe",2016-09-07 15:00:00,4
"PC_Raw_Pipe",2016-09-09 17:00:00,5
"PC_Raw_Pipe",2016-10-03 05:00:00,54
"PC_Raw_Pipe",2016-11-03 22:00:00,4
"PC_Raw_Pipe",2016-11-08 14:00:00,25
"PC_Raw_Pipe",2016-11-08 20:00:00,4
"PC_Raw_Pipe",2016-11-13 09:00:00,6
"PC_Raw_Pipe",2016-11-13 16:00:00,4
"PC_Raw_Pipe",2016-12-04 10:00:00,5
"PC_Raw_Pipe",2016-12-05 16:00:00,5
"PC_Raw_Pipe",2016-12-07,15
"PC_Raw_Pipe",2016-12-07 14:00:00,12
"PC_Raw_Pipe",2016-12-08 13:00:00,21
"PC_Raw_Pipe",2016-12-10 14:00:00,44
"PC_Raw_Pipe",2016-12-11 13:00:00,17
"PC_Raw_Pipe",2016-12-12 14:00:00,19
"PC_Raw_Pipe",2016-12-13 14:00:00,21
"PC_Raw_Pipe",2016-12-14 14:00:00,21
"PC_Raw_Pipe",2016-12-15 14:00:00,22
"PC_Raw_Pipe",2016-12-16 15:00:00,23
"PC_Raw_Pipe",2016-12-17 13:00:00,21
"PC_Raw_Pipe",2016-12-19 14:00:00,6
"PC_Raw_Pipe",2016-12-21 20:00:00,16
"PC_Raw_Pipe",2016-12-26 05:00:00,48
"PC_Raw_Pipe",2017-01-03 20:00:00,70
"PC_Raw_Pipe",2017-01-04 15:00:00,6
"PC_Raw_Pipe",2017-01-05 15:00:00,6
"PC_Raw_Pipe",2017-01-07 14:00:00,6
"PC_Raw_Pipe",2017-01-10 15:00:00,7
"PC_Raw_Pipe",2017-01-11 15:00:00,23
"PC_Raw_Pipe",2017-01-12 07:00:00,14
"PC_Raw_Pipe",2017-01-12 13:00:00,5
"PC_Raw_Pipe",2017-01-13 13:00:00,22
"PC_Raw_Pipe",2017-01-17 02:00:00,5
"PC_Raw_Pipe",2017-01-17 09:00:00,5
"PC_Raw_Pipe",2017-01-17 18:00:00,5
"PC_Raw_Pipe",2017-01-18 08:00:00,7
"PC_Raw_Pipe",2017-01-19 07:00:00,6
"PC_Raw_Pipe",2017-01-28 02:00:00,4
"PC_Raw_Pipe",2017-01-28 14:00:00,6
"PC_Raw_Pipe",2017-01-29 04:00:00,13
