"variable","datetime","gap.length"
"PC_Raw_Pipe",2018-10-01 02:00:00,86
"PC_Raw_Pipe",2019-02-03 09:00:00,4
"PC_Raw_Pipe",2019-02-05 07:00:00,45
"PC_Raw_Pipe",2019-02-06 15:00:00,31
"PC_Raw_Pipe",2019-02-07,6
"PC_Raw_Pipe",2019-02-07 16:00:00,8
"PC_Raw_Pipe",2019-02-08 15:00:00,7
"PC_Raw_Pipe",2019-02-09 06:00:00,14
"PC_Raw_Pipe",2019-02-09 17:00:00,8
"PC_Raw_Pipe",2019-02-10 15:00:00,21
"PC_Raw_Pipe",2019-02-10 23:00:00,7
"PC_Raw_Pipe",2019-02-11 20:00:00,20
"PC_Raw_Pipe",2019-02-12 10:00:00,6
"PC_Raw_Pipe",2019-02-13 13:00:00,7
"PC_Raw_Pipe",2019-02-13 20:00:00,6
"PC_Raw_Pipe",2019-02-14 02:00:00,4
"PC_Raw_Pipe",2019-02-14 11:00:00,7
"PC_Raw_Pipe",2019-02-15,4
"PC_Raw_Pipe",2019-02-17 17:00:00,14
"PC_Raw_Pipe",2019-02-18 16:00:00,11
"PC_Raw_Pipe",2019-02-20 04:00:00,6
"PC_Raw_Pipe",2019-02-20 12:00:00,7
"PC_Raw_Pipe",2019-02-20 18:00:00,5
"PC_Raw_Pipe",2019-02-21 14:00:00,13
"PC_Raw_Pipe",2019-02-22 03:00:00,4
"PC_Raw_Pipe",2019-02-22 15:00:00,5
"PC_Raw_Pipe",2019-02-24 15:00:00,8
"PC_Raw_Pipe",2019-02-24 23:00:00,5
"PC_Raw_Pipe",2019-02-26 02:00:00,15
"PC_Raw_Pipe",2019-02-26 08:00:00,4
"PC_Raw_Pipe",2019-02-26 23:00:00,13
"PC_Raw_Pipe",2019-02-27 05:00:00,5
"PC_Raw_Pipe",2019-02-27 12:00:00,4
"PC_Raw_Pipe",2019-02-27 22:00:00,9
"PC_Raw_Pipe",2019-02-28 19:00:00,5
"PC_Raw_Pipe",2019-03-01 23:00:00,10
"PC_Raw_Pipe",2019-03-02 22:00:00,9
"PC_Raw_Pipe",2019-03-04,19
"PC_Raw_Pipe",2019-03-04 22:00:00,15
"PC_Raw_Pipe",2019-03-06 01:00:00,20
"PC_Raw_Pipe",2019-03-06 11:00:00,4
"PC_Raw_Pipe",2019-03-06 23:00:00,11
"PC_Raw_Pipe",2019-03-08 03:00:00,17
"PC_Raw_Pipe",2019-03-08 22:00:00,9
"PC_Raw_Pipe",2019-03-09 20:00:00,5
"PC_Raw_Pipe",2019-03-10 21:00:00,8
"PC_Raw_Pipe",2019-03-12 23:00:00,7
"PC_Raw_Pipe",2019-10-01 15:00:00,16
"PC_Raw_Pipe",2019-11-30 06:00:00,6
"PC_Raw_Pipe",2019-11-30 16:00:00,7
"PC_Raw_Pipe",2020-01-01 14:00:00,4
"PC_Raw_Pipe",2020-01-03 16:00:00,5
"PC_Raw_Pipe",2020-01-23 17:00:00,4
"PC_Raw_Pipe",2020-03-01,7
"PC_Raw_Pipe",2020-03-09 14:00:00,7
"PC_Raw_Pipe",2020-03-11 14:00:00,7
"PC_Raw_Pipe",2020-03-12 11:00:00,4
