"variable","datetime","gap.length"
"PC_Raw_Pipe",2018-12-01 18:00:00,1541
"PC_Raw_Pipe",2018-12-04 13:00:00,4
"PC_Raw_Pipe",2018-12-16 16:00:00,4
"PC_Raw_Pipe",2018-12-17 16:00:00,5
"PC_Raw_Pipe",2018-12-20 12:00:00,4
"PC_Raw_Pipe",2018-12-24 15:00:00,6
"PC_Raw_Pipe",2019-01-22,4
"PC_Raw_Pipe",2019-01-23 14:00:00,5
"PC_Raw_Pipe",2019-02-05 19:00:00,75
"PC_Raw_Pipe",2019-02-06 19:00:00,23
"PC_Raw_Pipe",2019-02-08 13:00:00,38
"PC_Raw_Pipe",2019-02-13 04:00:00,110
"PC_Raw_Pipe",2019-02-15 12:00:00,52
"PC_Raw_Pipe",2019-02-15 18:00:00,5
"PC_Raw_Pipe",2019-02-16 19:00:00,6
"PC_Raw_Pipe",2019-02-18 06:00:00,33
"PC_Raw_Pipe",2019-02-18 20:00:00,13
"PC_Raw_Pipe",2019-02-19 02:00:00,4
"PC_Raw_Pipe",2019-02-19 15:00:00,7
"PC_Raw_Pipe",2019-02-20 10:00:00,17
"PC_Raw_Pipe",2019-02-21 15:00:00,28
"PC_Raw_Pipe",2019-02-22 04:00:00,8
"PC_Raw_Pipe",2019-02-22 13:00:00,4
"PC_Raw_Pipe",2019-02-24 14:00:00,31
"PC_Raw_Pipe",2019-02-24 20:00:00,4
"PC_Raw_Pipe",2019-02-27 20:00:00,68
"PC_Raw_Pipe",2019-02-28 04:00:00,7
"PC_Raw_Pipe",2019-03-01 18:00:00,37
"PC_Raw_Pipe",2019-03-11 03:00:00,221
"PC_Raw_Pipe",2019-03-12 02:00:00,15
"PC_Raw_Pipe",2019-03-13 12:00:00,32
"PC_Raw_Pipe",2019-03-15 13:00:00,6
"PC_Raw_Pipe",2019-03-28 06:00:00,6
"PC_Raw_Pipe",2019-04-07 20:00:00,4
"PC_Raw_Pipe",2019-04-17 08:00:00,4
"PC_Raw_Pipe",2019-04-22 20:00:00,6
"PC_Raw_Pipe",2019-06-30 19:00:00,4
"PC_Raw_Pipe",2019-09-28 05:00:00,6
"PC_Raw_Pipe",2019-10-01 02:00:00,3
"PC_Raw_Pipe",2019-10-15 20:00:00,7
"PC_Raw_Pipe",2019-10-25 04:00:00,4
"PC_Raw_Pipe",2019-11-16 16:00:00,4
"PC_Raw_Pipe",2019-11-17 08:00:00,6
"PC_Raw_Pipe",2019-11-28 12:00:00,34
"PC_Raw_Pipe",2019-11-28 21:00:00,6
"PC_Raw_Pipe",2019-11-29 08:00:00,4
"PC_Raw_Pipe",2019-11-30 01:00:00,4
"PC_Raw_Pipe",2019-11-30 12:00:00,10
