"variable","datetime","gap.length"
"PC_Raw_Pipe",2019-10-01 04:00:00,7382
"PC_Raw_Pipe",2019-11-17 02:00:00,5
"PC_Raw_Pipe",2020-01-17 13:00:00,115
"PC_Raw_Pipe",2020-01-18 14:00:00,4
"PC_Raw_Pipe",2020-02-19 17:00:00,9
"PC_Raw_Pipe",2020-02-20 16:00:00,7
"PC_Raw_Pipe",2020-02-22 14:00:00,5
"PC_Raw_Pipe",2020-02-25 15:00:00,5
"PC_Raw_Pipe",2020-03-11 14:00:00,5
"PC_Raw_Pipe",2020-03-14 20:00:00,5
"PC_Raw_Pipe",2020-03-15 16:00:00,8
"PC_Raw_Pipe",2020-03-16 13:00:00,5
"PC_Raw_Pipe",2020-03-25 13:00:00,5
"PC_Raw_Pipe",2020-04-05 13:00:00,5
"PC_Raw_Pipe",2020-04-06 12:00:00,4
"PC_Raw_Pipe",2020-04-07 14:00:00,6
"PC_Raw_Pipe",2020-05-01,9
"PC_Raw_Pipe",2020-08-05 22:00:00,5
"PC_Raw_Pipe",2020-09-23 16:00:00,4
"PC_Raw_Pipe",2020-09-25 06:00:00,6
"PC_Raw_Pipe",2020-10-01 04:00:00,5
"PC_Raw_Pipe",2020-10-09 16:00:00,5
"PC_Raw_Pipe",2020-10-13 05:00:00,4
"PC_Raw_Pipe",2020-11-04,5
"PC_Raw_Pipe",2020-11-17,6
"PC_Raw_Pipe",2020-11-17 11:00:00,6
"PC_Raw_Pipe",2021-01-02 12:00:00,4
"PC_Raw_Pipe",2021-01-26 15:00:00,5
"PC_Raw_Pipe",2021-02-28 13:00:00,4
"PC_Raw_Pipe",2021-07-22 07:00:00,10
"PC_Raw_Pipe",2021-10-01 02:00:00,3
"PC_Raw_Pipe",2021-10-21 19:00:00,10
"PC_Raw_Pipe",2021-10-25 18:00:00,4
"PC_Raw_Pipe",2021-12-22,6
"PC_Raw_Pipe",2022-02-21 13:00:00,4
"PC_Raw_Pipe",2022-02-22 12:00:00,8
"PC_Raw_Pipe",2022-02-23 11:00:00,5
"PC_Raw_Pipe",2022-02-24 17:00:00,4
"PC_Raw_Pipe",2022-02-25 15:00:00,7
"PC_Raw_Pipe",2022-04-11 12:00:00,4
"PC_Raw_Pipe",2022-10-01 02:00:00,3
"PC_Raw_Pipe",2022-10-27 11:00:00,4
"PC_Raw_Pipe",2022-10-31 22:00:00,20
"PC_Raw_Pipe",2022-11-04 01:00:00,5
"PC_Raw_Pipe",2022-11-06 20:00:00,4
"PC_Raw_Pipe",2022-11-27 08:00:00,12
"PC_Raw_Pipe",2022-11-27 18:00:00,6
"PC_Raw_Pipe",2022-11-28 14:00:00,4
"PC_Raw_Pipe",2022-11-29 01:00:00,7
"PC_Raw_Pipe",2022-11-29 08:00:00,4
"PC_Raw_Pipe",2022-11-29 14:00:00,5
"PC_Raw_Pipe",2022-11-30 15:00:00,9
"PC_Raw_Pipe",2022-12-01 17:00:00,20
"PC_Raw_Pipe",2022-12-02 01:00:00,6
"PC_Raw_Pipe",2022-12-04 04:00:00,4
"PC_Raw_Pipe",2022-12-06 01:00:00,27
"PC_Raw_Pipe",2022-12-06 17:00:00,15
"PC_Raw_Pipe",2022-12-07 02:00:00,6
"PC_Raw_Pipe",2022-12-07 14:00:00,11
"PC_Raw_Pipe",2022-12-08 13:00:00,15
"PC_Raw_Pipe",2022-12-09 01:00:00,7
"PC_Raw_Pipe",2022-12-10 04:00:00,20
"PC_Raw_Pipe",2022-12-10 09:00:00,4
"PC_Raw_Pipe",2022-12-10 21:00:00,4
"PC_Raw_Pipe",2022-12-12 08:00:00,18
"PC_Raw_Pipe",2022-12-13 01:00:00,16
"PC_Raw_Pipe",2022-12-14 04:00:00,10
"PC_Raw_Pipe",2022-12-23 09:00:00,151
"PC_Raw_Pipe",2022-12-26 06:00:00,4
"PC_Raw_Pipe",2022-12-28,6
"PC_Raw_Pipe",2022-12-28 19:00:00,4
"PC_Raw_Pipe",2023-01-01 13:00:00,16
"PC_Raw_Pipe",2023-01-04 08:00:00,4
"PC_Raw_Pipe",2023-01-04 16:00:00,7
"PC_Raw_Pipe",2023-01-12 07:00:00,4
"PC_Raw_Pipe",2023-01-18 08:00:00,7
"PC_Raw_Pipe",2023-01-18 18:00:00,9
"PC_Raw_Pipe",2023-01-19 14:00:00,4
"PC_Raw_Pipe",2023-01-21 22:00:00,10
"PC_Raw_Pipe",2023-01-22 19:00:00,19
"PC_Raw_Pipe",2023-01-28 02:00:00,4
"PC_Raw_Pipe",2023-01-29 14:00:00,35
"PC_Raw_Pipe",2023-01-31 16:00:00,48
"PC_Raw_Pipe",2023-02-04 01:00:00,4
"PC_Raw_Pipe",2023-02-06 03:00:00,11
"PC_Raw_Pipe",2023-02-08 16:00:00,31
"PC_Raw_Pipe",2023-02-09 01:00:00,8
"PC_Raw_Pipe",2023-02-12 02:00:00,53
"PC_Raw_Pipe",2023-02-19 13:00:00,164
"PC_Raw_Pipe",2023-03-05,294
"PC_Raw_Pipe",2023-03-06 12:00:00,35
"PC_Raw_Pipe",2023-03-08 14:00:00,49
"PC_Raw_Pipe",2023-03-09 12:00:00,19
"PC_Raw_Pipe",2023-03-10 10:00:00,17
"PC_Raw_Pipe",2023-03-11 14:00:00,20
"PC_Raw_Pipe",2023-03-17 19:00:00,148
"PC_Raw_Pipe",2023-03-18 01:00:00,4
"PC_Raw_Pipe",2023-03-19 08:00:00,29
"PC_Raw_Pipe",2023-03-19 14:00:00,4
"PC_Raw_Pipe",2023-03-19 22:00:00,4
"PC_Raw_Pipe",2023-03-20 19:00:00,10
"PC_Raw_Pipe",2023-03-21 05:00:00,7
"PC_Raw_Pipe",2023-03-21 12:00:00,4
"PC_Raw_Pipe",2023-03-22 01:00:00,12
"PC_Raw_Pipe",2023-03-22 19:00:00,15
"PC_Raw_Pipe",2023-03-27 20:00:00,115
"PC_Raw_Pipe",2023-03-28 12:00:00,15
"PC_Raw_Pipe",2023-03-29 22:00:00,33
"PC_Raw_Pipe",2023-03-30 09:00:00,8
"PC_Raw_Pipe",2023-05-01,59
"PC_Raw_Pipe",2023-10-02 06:00:00,31
"PC_Raw_Pipe",2023-11-19 15:00:00,49
