"variable","datetime","gap.length","year"
"Air_Temp",2017-02-07 07:00:00,6,2017
"Air_Temp",2017-05-18 08:00:00,19,2017
"Air_Temp",2017-09-10 12:00:00,693,2017
"Air_Temp",2017-10-10 07:00:00,12,2017
"Air_Temp",2017-10-20 14:00:00,31,2017
"Air_Temp",2017-12-05 04:00:00,12,2017
"Air_Temp",2018-01-17 14:00:00,31,2018
"Air_Temp",2018-01-21 09:00:00,6,2018
"Air_Temp",2018-02-14 08:00:00,13,2018
"Air_Temp",2018-04-05 11:00:00,55,2018
"Air_Temp",2018-09-09 05:00:00,362,2018
"Air_Temp",2018-09-18 07:00:00,145,2018
"Air_Temp",2018-12-07 09:00:00,7,2018
"Air_Temp",2018-12-07 16:00:00,4,2018
"Air_Temp",2018-12-12 06:00:00,6,2018
"Air_Temp",2019-02-20 01:00:00,6,2019
"Air_Temp",2019-02-25 19:00:00,5,2019
"Air_Temp",2019-03-17 14:00:00,109,2019
"Air_Temp",2019-11-09 22:00:00,6,2019
"Air_Temp",2019-12-14 12:00:00,174,2019
"Air_Temp",2019-12-26 11:00:00,9,2019
"Air_Temp",2020-02-08 03:00:00,7,2020
"Air_Temp",2020-02-14 08:00:00,13,2020
"Air_Temp",2020-12-18 12:00:00,10,2020
"Air_Temp",2021-01-04 10:00:00,86,2021
"Air_Temp",2021-02-05 06:00:00,7,2021
"Air_Temp",2021-07-22 07:00:00,10,2021
"Air_Temp",2022-08-03 04:00:00,6,2022
"Air_Temp",2023-01-05 08:00:00,8,2023
"Air_Temp",2023-01-24 09:00:00,7,2023
"Air_Temp",2023-02-02 08:00:00,4,2023
