"variable","datetime","gap.length"
"PC_Raw_Pipe",2017-10-19 13:00:00,11139
"PC_Raw_Pipe",2017-11-21 20:00:00,5
"PC_Raw_Pipe",2017-11-23,9
"PC_Raw_Pipe",2017-11-26 03:00:00,4
"PC_Raw_Pipe",2017-11-30 15:00:00,5
"PC_Raw_Pipe",2017-12-28 15:00:00,4
"PC_Raw_Pipe",2018-01-17 21:00:00,5
"PC_Raw_Pipe",2018-01-24 17:00:00,4
"PC_Raw_Pipe",2018-01-29 02:00:00,14
"PC_Raw_Pipe",2018-02-08 16:00:00,5
"PC_Raw_Pipe",2018-05-06 16:00:00,4
"PC_Raw_Pipe",2018-05-12 12:00:00,6
"PC_Raw_Pipe",2018-05-20 15:00:00,5
"PC_Raw_Pipe",2018-05-20 21:00:00,5
"PC_Raw_Pipe",2018-05-21 13:00:00,5
"PC_Raw_Pipe",2018-05-22 14:00:00,8
"PC_Raw_Pipe",2018-05-23,5
"PC_Raw_Pipe",2018-05-23 12:00:00,6
"PC_Raw_Pipe",2018-05-27 12:00:00,6
"PC_Raw_Pipe",2018-05-30 12:00:00,4
"PC_Raw_Pipe",2018-05-30 19:00:00,5
"PC_Raw_Pipe",2018-05-31 13:00:00,4
"PC_Raw_Pipe",2018-06-09 21:00:00,5
"PC_Raw_Pipe",2018-06-15 22:00:00,4
"PC_Raw_Pipe",2018-06-16 13:00:00,4
"PC_Raw_Pipe",2018-06-16 23:00:00,8
"PC_Raw_Pipe",2018-06-17 14:00:00,7
"PC_Raw_Pipe",2018-06-19 11:00:00,4
"PC_Raw_Pipe",2018-06-23 18:00:00,4
"PC_Raw_Pipe",2018-06-25 01:00:00,6
"PC_Raw_Pipe",2018-06-26 19:00:00,7
"PC_Raw_Pipe",2018-06-27 02:00:00,6
"PC_Raw_Pipe",2018-06-28 19:00:00,8
"PC_Raw_Pipe",2018-07-01 16:00:00,9
"PC_Raw_Pipe",2018-07-01 22:00:00,5
"PC_Raw_Pipe",2018-07-02 14:00:00,4
"PC_Raw_Pipe",2018-07-02 23:00:00,6
"PC_Raw_Pipe",2018-07-07 15:00:00,6
"PC_Raw_Pipe",2018-07-09 21:00:00,9
"PC_Raw_Pipe",2018-07-11 01:00:00,5
"PC_Raw_Pipe",2018-07-11 06:00:00,4
"PC_Raw_Pipe",2018-07-12 13:00:00,8
"PC_Raw_Pipe",2018-07-13 10:00:00,4
"PC_Raw_Pipe",2018-07-14 16:00:00,10
"PC_Raw_Pipe",2018-07-15 03:00:00,8
"PC_Raw_Pipe",2018-07-16 01:00:00,6
"PC_Raw_Pipe",2018-07-16 10:00:00,6
"PC_Raw_Pipe",2018-07-17,4
"PC_Raw_Pipe",2018-07-17 09:00:00,5
"PC_Raw_Pipe",2018-07-18 07:00:00,7
"PC_Raw_Pipe",2018-07-18 18:00:00,4
"PC_Raw_Pipe",2018-07-19 11:00:00,7
"PC_Raw_Pipe",2018-07-19 21:00:00,4
"PC_Raw_Pipe",2018-07-21 08:00:00,8
"PC_Raw_Pipe",2018-07-22,5
"PC_Raw_Pipe",2018-07-23 02:00:00,8
"PC_Raw_Pipe",2018-07-23 10:00:00,4
"PC_Raw_Pipe",2018-07-23 22:00:00,5
"PC_Raw_Pipe",2018-07-26 13:00:00,8
"PC_Raw_Pipe",2018-07-27 02:00:00,7
"PC_Raw_Pipe",2018-07-27 14:00:00,11
"PC_Raw_Pipe",2018-07-27 23:00:00,4
"PC_Raw_Pipe",2018-07-29 13:00:00,4
"PC_Raw_Pipe",2018-07-30 03:00:00,9
"PC_Raw_Pipe",2018-07-31 06:00:00,5
"PC_Raw_Pipe",2018-08-02 03:00:00,5
"PC_Raw_Pipe",2018-08-04 18:00:00,4
"PC_Raw_Pipe",2018-08-05 19:00:00,12
"PC_Raw_Pipe",2018-08-06 23:00:00,14
"PC_Raw_Pipe",2018-08-07 14:00:00,9
"PC_Raw_Pipe",2018-08-07 23:00:00,4
"PC_Raw_Pipe",2018-08-08 13:00:00,7
