"variable","datetime","gap.length"
"PC_Raw_Pipe",2014-10-10 18:00:00,8715
"PC_Raw_Pipe",2014-11-24 13:00:00,4
"PC_Raw_Pipe",2014-12-22 14:00:00,4
"PC_Raw_Pipe",2015-01-06 04:00:00,6
"PC_Raw_Pipe",2015-03-17 13:00:00,5
"PC_Raw_Pipe",2015-09-19 11:00:00,5
"PC_Raw_Pipe",2015-10-02 01:00:00,26
"PC_Raw_Pipe",2015-10-07 14:00:00,4
"PC_Raw_Pipe",2015-10-10 03:00:00,7
"PC_Raw_Pipe",2015-10-27 13:00:00,4
"PC_Raw_Pipe",2016-02-18 12:00:00,4
"PC_Raw_Pipe",2016-02-22 12:00:00,4
"PC_Raw_Pipe",2016-04-18 14:00:00,4
"PC_Raw_Pipe",2016-10-01 04:00:00,5
"PC_Raw_Pipe",2016-12-07 01:00:00,15
"PC_Raw_Pipe",2016-12-08 03:00:00,18
"PC_Raw_Pipe",2016-12-09 06:00:00,18
"PC_Raw_Pipe",2016-12-10 19:00:00,7
"PC_Raw_Pipe",2016-12-12,18
"PC_Raw_Pipe",2016-12-12 15:00:00,6
"PC_Raw_Pipe",2016-12-13,6
"PC_Raw_Pipe",2016-12-14 01:00:00,13
"PC_Raw_Pipe",2016-12-15,12
"PC_Raw_Pipe",2016-12-16 03:00:00,18
"PC_Raw_Pipe",2016-12-16 13:00:00,4
"PC_Raw_Pipe",2016-12-19,6
"PC_Raw_Pipe",2016-12-19 15:00:00,4
"PC_Raw_Pipe",2017-01-02,6
"PC_Raw_Pipe",2017-01-03 01:00:00,13
"PC_Raw_Pipe",2017-01-04,6
"PC_Raw_Pipe",2017-01-05,6
"PC_Raw_Pipe",2017-01-10 03:00:00,15
"PC_Raw_Pipe",2017-01-11 01:00:00,16
"PC_Raw_Pipe",2017-01-12 02:00:00,17
"PC_Raw_Pipe",2017-01-13,12
"PC_Raw_Pipe",2017-01-30 09:00:00,39
"PC_Raw_Pipe",2017-02-01,6
"PC_Raw_Pipe",2017-02-01 12:00:00,4
"PC_Raw_Pipe",2017-02-01 18:00:00,4
"PC_Raw_Pipe",2017-02-02 20:00:00,12
"PC_Raw_Pipe",2017-02-03 13:00:00,4
"PC_Raw_Pipe",2017-02-06 03:00:00,43
"PC_Raw_Pipe",2017-02-06 12:00:00,7
"PC_Raw_Pipe",2017-02-07 03:00:00,13
"PC_Raw_Pipe",2017-02-08 03:00:00,19
"PC_Raw_Pipe",2017-02-08 10:00:00,5
"PC_Raw_Pipe",2017-02-09 05:00:00,4
"PC_Raw_Pipe",2017-02-10 02:00:00,14
"PC_Raw_Pipe",2017-02-18 02:00:00,4
"PC_Raw_Pipe",2017-02-18 12:00:00,4
"PC_Raw_Pipe",2017-02-19 07:00:00,10
"PC_Raw_Pipe",2017-02-19 12:00:00,4
"PC_Raw_Pipe",2017-02-20 11:00:00,16
"PC_Raw_Pipe",2017-02-21 12:00:00,18
"PC_Raw_Pipe",2017-02-22 13:00:00,20
"PC_Raw_Pipe",2017-02-23 12:00:00,20
"PC_Raw_Pipe",2017-02-24 09:00:00,16
"PC_Raw_Pipe",2017-02-25 13:00:00,20
"PC_Raw_Pipe",2017-02-26 11:00:00,10
"PC_Raw_Pipe",2017-02-27 11:00:00,17
"PC_Raw_Pipe",2017-02-28 11:00:00,17
"PC_Raw_Pipe",2017-03-02 14:00:00,5
"PC_Raw_Pipe",2017-03-04 12:00:00,4
"PC_Raw_Pipe",2017-03-05 12:00:00,4
"PC_Raw_Pipe",2017-03-07 14:00:00,7
"PC_Raw_Pipe",2017-03-10 12:00:00,7
"PC_Raw_Pipe",2017-05-21 18:00:00,54
"PC_Raw_Pipe",2017-08-20 18:00:00,30
"PC_Raw_Pipe",2017-09-02 14:00:00,4
"PC_Raw_Pipe",2017-09-11 10:00:00,5
"PC_Raw_Pipe",2017-10-03 15:00:00,64
"PC_Raw_Pipe",2017-10-12 09:00:00,69
"PC_Raw_Pipe",2017-10-24 04:00:00,4
"PC_Raw_Pipe",2017-10-25 03:00:00,5
"PC_Raw_Pipe",2017-11-16 11:00:00,4
"PC_Raw_Pipe",2017-11-19 14:00:00,4
"PC_Raw_Pipe",2017-11-24 18:00:00,4
"PC_Raw_Pipe",2017-11-25 14:00:00,4
"PC_Raw_Pipe",2017-11-26 13:00:00,4
"PC_Raw_Pipe",2017-12-20 09:00:00,5
"PC_Raw_Pipe",2017-12-22 12:00:00,8
"PC_Raw_Pipe",2017-12-22 22:00:00,7
"PC_Raw_Pipe",2017-12-23 15:00:00,6
"PC_Raw_Pipe",2017-12-25 14:00:00,6
"PC_Raw_Pipe",2017-12-26 13:00:00,5
"PC_Raw_Pipe",2017-12-27 12:00:00,6
"PC_Raw_Pipe",2017-12-28,8
"PC_Raw_Pipe",2017-12-28 13:00:00,7
"PC_Raw_Pipe",2017-12-29 19:00:00,29
"PC_Raw_Pipe",2017-12-30 13:00:00,17
"PC_Raw_Pipe",2018-01-11 12:00:00,12
"PC_Raw_Pipe",2018-01-12 03:00:00,14
"PC_Raw_Pipe",2018-01-20 14:00:00,7
"PC_Raw_Pipe",2018-01-21 02:00:00,4
"PC_Raw_Pipe",2018-01-21 12:00:00,4
"PC_Raw_Pipe",2018-01-22,6
"PC_Raw_Pipe",2018-01-22 08:00:00,5
"PC_Raw_Pipe",2018-01-22 13:00:00,4
"PC_Raw_Pipe",2018-01-23 01:00:00,8
"PC_Raw_Pipe",2018-01-23 08:00:00,6
"PC_Raw_Pipe",2018-01-23 13:00:00,4
"PC_Raw_Pipe",2018-01-24 07:00:00,10
"PC_Raw_Pipe",2018-01-24 15:00:00,7
"PC_Raw_Pipe",2018-01-26 16:00:00,6
"PC_Raw_Pipe",2018-01-28 15:00:00,39
"PC_Raw_Pipe",2018-02-04 13:00:00,4
"PC_Raw_Pipe",2018-02-11 13:00:00,4
"PC_Raw_Pipe",2018-02-11 22:00:00,5
"PC_Raw_Pipe",2018-02-15 13:00:00,4
"PC_Raw_Pipe",2018-02-18 15:00:00,19
"PC_Raw_Pipe",2018-02-19 13:00:00,21
"PC_Raw_Pipe",2018-02-20 21:00:00,6
"PC_Raw_Pipe",2018-02-21 15:00:00,7
"PC_Raw_Pipe",2018-02-22 12:00:00,5
"PC_Raw_Pipe",2018-02-24 11:00:00,4
"PC_Raw_Pipe",2018-02-26 13:00:00,5
"PC_Raw_Pipe",2018-03-02 12:00:00,4
"PC_Raw_Pipe",2018-03-03 12:00:00,4
"PC_Raw_Pipe",2018-03-04 12:00:00,4
"PC_Raw_Pipe",2018-03-06 13:00:00,6
"PC_Raw_Pipe",2018-03-07 14:00:00,6
"PC_Raw_Pipe",2018-03-09 13:00:00,4
"PC_Raw_Pipe",2018-03-10 11:00:00,4
"PC_Raw_Pipe",2018-09-21 15:00:00,9
"PC_Raw_Pipe",2018-10-01 13:00:00,14
"PC_Raw_Pipe",2018-12-17 14:00:00,4
"PC_Raw_Pipe",2018-12-20 21:00:00,15
"PC_Raw_Pipe",2019-01-03 16:00:00,4
"PC_Raw_Pipe",2019-01-24 18:00:00,12
"PC_Raw_Pipe",2019-02-05 21:00:00,87
"PC_Raw_Pipe",2019-02-06 11:00:00,13
"PC_Raw_Pipe",2019-02-10 12:00:00,57
"PC_Raw_Pipe",2019-02-11 20:00:00,30
"PC_Raw_Pipe",2019-02-13 03:00:00,30
"PC_Raw_Pipe",2019-02-13 13:00:00,9
"PC_Raw_Pipe",2019-02-14,10
"PC_Raw_Pipe",2019-02-14 14:00:00,11
"PC_Raw_Pipe",2019-02-14 23:00:00,8
"PC_Raw_Pipe",2019-02-15 13:00:00,9
"PC_Raw_Pipe",2019-02-15 21:00:00,4
"PC_Raw_Pipe",2019-02-16 06:00:00,5
"PC_Raw_Pipe",2019-02-16 13:00:00,5
"PC_Raw_Pipe",2019-02-17 01:00:00,8
"PC_Raw_Pipe",2019-02-17 12:00:00,7
"PC_Raw_Pipe",2019-02-18 05:00:00,13
"PC_Raw_Pipe",2019-02-20 13:00:00,5
"PC_Raw_Pipe",2019-02-21 13:00:00,14
"PC_Raw_Pipe",2019-02-22 10:00:00,5
