"variable","datetime","gap.length"
"PC_Raw_Pipe",2018-11-03 11:00:00,23
"PC_Raw_Pipe",2018-11-03 22:00:00,5
"PC_Raw_Pipe",2018-11-26 06:00:00,5
"PC_Raw_Pipe",2018-12-09 11:00:00,4
"PC_Raw_Pipe",2018-12-14 17:00:00,7
"PC_Raw_Pipe",2018-12-16 07:00:00,6
"PC_Raw_Pipe",2018-12-20 10:00:00,8
"PC_Raw_Pipe",2018-12-23 06:00:00,8
"PC_Raw_Pipe",2019-01-03 05:00:00,8
"PC_Raw_Pipe",2019-01-03 13:00:00,7
"PC_Raw_Pipe",2019-01-08 08:00:00,5
"PC_Raw_Pipe",2019-01-09 22:00:00,9
"PC_Raw_Pipe",2019-02-04 19:00:00,8
"PC_Raw_Pipe",2019-02-05 16:00:00,7
"PC_Raw_Pipe",2019-02-06 02:00:00,9
"PC_Raw_Pipe",2019-02-07 15:00:00,36
"PC_Raw_Pipe",2019-02-08 04:00:00,11
"PC_Raw_Pipe",2019-02-08 14:00:00,5
"PC_Raw_Pipe",2019-02-09 13:00:00,22
"PC_Raw_Pipe",2019-02-11 21:00:00,52
"PC_Raw_Pipe",2019-02-13 16:00:00,9
"PC_Raw_Pipe",2019-02-14 07:00:00,4
"PC_Raw_Pipe",2019-02-14 15:00:00,7
"PC_Raw_Pipe",2019-02-15 16:00:00,6
"PC_Raw_Pipe",2019-02-17 16:00:00,7
"PC_Raw_Pipe",2019-02-18 15:00:00,7
"PC_Raw_Pipe",2019-02-19 13:00:00,5
"PC_Raw_Pipe",2019-02-20 13:00:00,5
"PC_Raw_Pipe",2019-02-21 15:00:00,7
"PC_Raw_Pipe",2019-02-22 15:00:00,6
"PC_Raw_Pipe",2019-02-23 12:00:00,4
"PC_Raw_Pipe",2019-02-26 01:00:00,8
"PC_Raw_Pipe",2019-02-26 08:00:00,5
"PC_Raw_Pipe",2019-02-26 20:00:00,8
"PC_Raw_Pipe",2019-02-27 16:00:00,19
"PC_Raw_Pipe",2019-02-27 23:00:00,5
"PC_Raw_Pipe",2019-03-01 04:00:00,12
"PC_Raw_Pipe",2019-03-02 03:00:00,15
"PC_Raw_Pipe",2019-03-03 02:00:00,11
"PC_Raw_Pipe",2019-03-04,7
"PC_Raw_Pipe",2019-03-04 05:00:00,4
"PC_Raw_Pipe",2019-03-06 02:00:00,39
"PC_Raw_Pipe",2019-03-07 03:00:00,19
"PC_Raw_Pipe",2019-03-08 07:00:00,19
"PC_Raw_Pipe",2019-03-08 21:00:00,4
"PC_Raw_Pipe",2019-03-10 04:00:00,18
"PC_Raw_Pipe",2019-03-10 22:00:00,9
"PC_Raw_Pipe",2019-03-12 21:00:00,6
"PC_Raw_Pipe",2019-10-02 18:00:00,43
"PC_Raw_Pipe",2019-10-16 14:00:00,4
"PC_Raw_Pipe",2020-01-03 08:00:00,5
"PC_Raw_Pipe",2020-01-03 20:00:00,6
"PC_Raw_Pipe",2020-01-07 11:00:00,6
"PC_Raw_Pipe",2020-01-15 04:00:00,24
"PC_Raw_Pipe",2020-01-16 06:00:00,25
"PC_Raw_Pipe",2020-01-17 12:00:00,23
"PC_Raw_Pipe",2020-01-19 07:00:00,9
"PC_Raw_Pipe",2020-01-23 04:00:00,4
"PC_Raw_Pipe",2020-01-31 20:00:00,10
"PC_Raw_Pipe",2020-02-17 14:00:00,5
"PC_Raw_Pipe",2020-02-18 17:00:00,8
"PC_Raw_Pipe",2020-02-19 13:00:00,5
"PC_Raw_Pipe",2020-02-20 13:00:00,5
"PC_Raw_Pipe",2020-02-23 13:00:00,4
"PC_Raw_Pipe",2020-08-20 17:00:00,4
"PC_Raw_Pipe",2020-09-23 05:00:00,4
"PC_Raw_Pipe",2020-09-23 18:00:00,4
"PC_Raw_Pipe",2020-09-25 07:00:00,5
"PC_Raw_Pipe",2020-10-01 08:00:00,9
"PC_Raw_Pipe",2020-10-09 17:00:00,4
"PC_Raw_Pipe",2020-10-30 02:00:00,4
"PC_Raw_Pipe",2020-11-16 21:00:00,5
"PC_Raw_Pipe",2020-11-24 12:00:00,5
"PC_Raw_Pipe",2020-12-18 19:00:00,9
"PC_Raw_Pipe",2021-01-01 16:00:00,6
"PC_Raw_Pipe",2021-01-02 14:00:00,5
"PC_Raw_Pipe",2021-01-11 08:00:00,4
"PC_Raw_Pipe",2021-02-09 12:00:00,8
"PC_Raw_Pipe",2021-02-09 19:00:00,6
"PC_Raw_Pipe",2021-02-10 23:00:00,13
"PC_Raw_Pipe",2021-02-12 14:00:00,9
"PC_Raw_Pipe",2021-02-13 03:00:00,7
"PC_Raw_Pipe",2021-02-20 13:00:00,4
"PC_Raw_Pipe",2021-03-05 11:00:00,4
"PC_Raw_Pipe",2021-07-22 07:00:00,10
"PC_Raw_Pipe",2021-09-17 19:00:00,5
"PC_Raw_Pipe",2021-09-30 03:00:00,4
"PC_Raw_Pipe",2021-10-01 08:00:00,9
"PC_Raw_Pipe",2021-10-21 21:00:00,9
"PC_Raw_Pipe",2021-10-25 20:00:00,6
"PC_Raw_Pipe",2021-11-03 04:00:00,4
"PC_Raw_Pipe",2021-11-04 15:00:00,4
"PC_Raw_Pipe",2021-11-11 19:00:00,4
"PC_Raw_Pipe",2021-11-12 01:00:00,4
"PC_Raw_Pipe",2021-11-17 12:00:00,11
"PC_Raw_Pipe",2021-12-20 04:00:00,4
"PC_Raw_Pipe",2021-12-20 09:00:00,4
"PC_Raw_Pipe",2021-12-27 19:00:00,68
"PC_Raw_Pipe",2021-12-28 20:00:00,5
"PC_Raw_Pipe",2021-12-29 04:00:00,7
"PC_Raw_Pipe",2021-12-29 13:00:00,8
"PC_Raw_Pipe",2021-12-30 05:00:00,14
"PC_Raw_Pipe",2021-12-30 21:00:00,6
"PC_Raw_Pipe",2021-12-31 13:00:00,12
"PC_Raw_Pipe",2022-01-01 01:00:00,10
"PC_Raw_Pipe",2022-01-06 22:00:00,4
"PC_Raw_Pipe",2022-01-08 06:00:00,13
"PC_Raw_Pipe",2022-01-11,4
"PC_Raw_Pipe",2022-02-22 10:00:00,13
"PC_Raw_Pipe",2022-02-27 17:00:00,4
"PC_Raw_Pipe",2022-03-01,30
"PC_Raw_Pipe",2022-10-28 18:00:00,667
"PC_Raw_Pipe",2022-10-31 22:00:00,10
"PC_Raw_Pipe",2022-11-01 13:00:00,9
"PC_Raw_Pipe",2022-11-02 12:00:00,18
"PC_Raw_Pipe",2022-11-03 04:00:00,14
"PC_Raw_Pipe",2022-11-04 04:00:00,22
"PC_Raw_Pipe",2022-11-07 11:00:00,9
"PC_Raw_Pipe",2022-11-08,5
"PC_Raw_Pipe",2022-12-24 03:00:00,7
"PC_Raw_Pipe",2022-12-24 12:00:00,8
"PC_Raw_Pipe",2022-12-26 09:00:00,8
"PC_Raw_Pipe",2023-02-26 17:00:00,4
"PC_Raw_Pipe",2023-04-09 16:00:00,7
"PC_Raw_Pipe",2023-10-02 05:00:00,30
"PC_Raw_Pipe",2023-11-04 03:00:00,6
"PC_Raw_Pipe",2023-11-10 23:00:00,5
"PC_Raw_Pipe",2023-12-04 19:00:00,7
"PC_Raw_Pipe",2023-12-26 01:00:00,14
"PC_Raw_Pipe",2023-12-28 01:00:00,5
"PC_Raw_Pipe",2024-01-09 02:00:00,4
"PC_Raw_Pipe",2024-01-12 06:00:00,5
"PC_Raw_Pipe",2024-01-13 19:00:00,35
"PC_Raw_Pipe",2024-01-14 03:00:00,5
"PC_Raw_Pipe",2024-01-14 12:00:00,6
"PC_Raw_Pipe",2024-01-15 13:00:00,4
"PC_Raw_Pipe",2024-01-17 18:00:00,7
"PC_Raw_Pipe",2024-01-19 14:00:00,5
"PC_Raw_Pipe",2024-01-29 23:00:00,4
