"variable","datetime","gap.length"
"PC_Raw_Pipe",2016-10-03 16:00:00,4
"PC_Raw_Pipe",2016-10-04 15:00:00,5
"PC_Raw_Pipe",2016-11-03 13:00:00,6
"PC_Raw_Pipe",2016-11-08 22:00:00,23
"PC_Raw_Pipe",2016-11-09 12:00:00,4
"PC_Raw_Pipe",2016-11-19 15:00:00,13
"PC_Raw_Pipe",2016-11-21 15:00:00,4
"PC_Raw_Pipe",2016-11-22 12:00:00,4
"PC_Raw_Pipe",2016-11-25 13:00:00,16
"PC_Raw_Pipe",2016-11-26 12:00:00,10
"PC_Raw_Pipe",2016-11-27 10:00:00,17
"PC_Raw_Pipe",2016-11-29 17:00:00,5
"PC_Raw_Pipe",2016-12-05 14:00:00,4
"PC_Raw_Pipe",2016-12-21 08:00:00,4
"PC_Raw_Pipe",2016-12-25 15:00:00,5
"PC_Raw_Pipe",2017-01-09,5
"PC_Raw_Pipe",2017-01-09 17:00:00,5
"PC_Raw_Pipe",2017-01-10 08:00:00,5
"PC_Raw_Pipe",2017-01-11 12:00:00,4
"PC_Raw_Pipe",2017-01-17,14
"PC_Raw_Pipe",2017-01-17 18:00:00,4
"PC_Raw_Pipe",2017-01-22 14:00:00,25
"PC_Raw_Pipe",2017-01-23 13:00:00,21
"PC_Raw_Pipe",2017-01-24 11:00:00,17
"PC_Raw_Pipe",2017-01-25 16:00:00,8
"PC_Raw_Pipe",2017-01-26 08:00:00,15
"PC_Raw_Pipe",2017-01-26 16:00:00,6
"PC_Raw_Pipe",2017-01-28 09:00:00,4
"PC_Raw_Pipe",2017-01-29 11:00:00,16
"PC_Raw_Pipe",2017-02-01 12:00:00,8
"PC_Raw_Pipe",2017-02-03 05:00:00,33
"PC_Raw_Pipe",2017-02-03 21:00:00,14
"PC_Raw_Pipe",2017-02-09 18:00:00,140
"PC_Raw_Pipe",2017-02-10 05:00:00,7
"PC_Raw_Pipe",2017-02-11 16:00:00,4
"PC_Raw_Pipe",2017-02-11 21:00:00,4
"PC_Raw_Pipe",2017-02-12 16:00:00,6
"PC_Raw_Pipe",2017-02-13 06:00:00,8
"PC_Raw_Pipe",2017-02-14 16:00:00,4
"PC_Raw_Pipe",2017-02-17 14:00:00,4
"PC_Raw_Pipe",2017-02-18 16:00:00,8
"PC_Raw_Pipe",2017-02-19 05:00:00,4
"PC_Raw_Pipe",2017-02-19 15:00:00,9
"PC_Raw_Pipe",2017-02-20 06:00:00,9
"PC_Raw_Pipe",2017-02-20 15:00:00,6
"PC_Raw_Pipe",2017-02-22 02:00:00,24
"PC_Raw_Pipe",2017-02-22 17:00:00,13
"PC_Raw_Pipe",2017-02-23 18:00:00,23
"PC_Raw_Pipe",2017-02-24 14:00:00,19
"PC_Raw_Pipe",2017-02-25 22:00:00,27
"PC_Raw_Pipe",2017-02-26 14:00:00,15
"PC_Raw_Pipe",2017-03-01 01:00:00,58
"PC_Raw_Pipe",2017-03-01 16:00:00,9
