"variable","datetime","gap.length","year"
"Air_Temp",2011-01-17 13:00:00,2245,2011
"Air_Temp",2012-01-16 15:00:00,1821,2012
"Air_Temp",2012-10-04 13:00:00,4856,2012
"Air_Temp",2014-01-28 11:00:00,10776,2014
"Air_Temp",2014-03-27 13:00:00,554,2014
"Air_Temp",2014-06-04 11:00:00,687,2014
"Air_Temp",2014-09-05 02:00:00,16,2014
"Air_Temp",2017-02-12 02:00:00,13,2017
"Air_Temp",2017-02-13 03:00:00,6,2017
"Air_Temp",2017-02-16 13:00:00,13,2017
"Air_Temp",2017-02-21 05:00:00,9,2017
"Air_Temp",2017-02-22 06:00:00,12,2017
"Air_Temp",2017-04-04 10:00:00,24,2017
"Air_Temp",2018-07-31 10:00:00,869,2018
"Air_Temp",2018-11-09 19:00:00,6,2018
"Air_Temp",2018-11-12 16:00:00,26,2018
"Air_Temp",2018-11-18 13:00:00,4,2018
"Air_Temp",2018-11-18 23:00:00,8,2018
"Air_Temp",2020-02-27 11:00:00,2927,2020
"Air_Temp",2020-05-31 07:00:00,44,2020
"Air_Temp",2020-06-01 01:00:00,17,2020
"Air_Temp",2020-06-01 19:00:00,14,2020
"Air_Temp",2021-03-11 15:00:00,6784,2021
"Air_Temp",2021-03-13 13:00:00,45,2021
"Air_Temp",2021-03-15 17:00:00,13,2021
"Air_Temp",2021-03-17 18:00:00,44,2021
"Air_Temp",2021-03-21,30,2021
"Air_Temp",2021-03-21 22:00:00,6,2021
"Air_Temp",2021-03-23 03:00:00,15,2021
"Air_Temp",2021-03-24,7,2021
"Air_Temp",2021-03-25 16:00:00,9,2021
"Air_Temp",2021-03-26 13:00:00,18,2021
"Air_Temp",2021-03-27,7,2021
"Air_Temp",2021-03-27 19:00:00,8,2021
"Air_Temp",2021-03-29 17:00:00,8,2021
"Air_Temp",2021-03-30 05:00:00,7,2021
"Air_Temp",2021-03-31 15:00:00,21,2021
"Air_Temp",2021-04-01 09:00:00,7,2021
"Air_Temp",2021-04-02 09:00:00,7,2021
"Air_Temp",2021-04-02 22:00:00,8,2021
"Air_Temp",2021-04-04 11:00:00,8,2021
"Air_Temp",2021-04-05 12:00:00,19,2021
"Air_Temp",2021-04-06 13:00:00,18,2021
"Air_Temp",2022-03-09 15:00:00,2377,2022
"Air_Temp",2022-05-10 15:00:00,237,2022
"Air_Temp",2022-07-13 13:00:00,198,2022
"Air_Temp",2023-01-20 21:00:00,7,2023
