"variable","datetime","gap.length"
"PC_Raw_Pipe",2016-10-01 02:00:00,2559
"PC_Raw_Pipe",2016-10-06 23:00:00,6
"PC_Raw_Pipe",2016-10-25 12:00:00,4
"PC_Raw_Pipe",2016-11-02 22:00:00,10
"PC_Raw_Pipe",2016-11-03 08:00:00,4
"PC_Raw_Pipe",2016-11-08 04:00:00,9
"PC_Raw_Pipe",2016-11-08 16:00:00,4
"PC_Raw_Pipe",2016-11-13 17:00:00,4
"PC_Raw_Pipe",2016-11-15 14:00:00,4
"PC_Raw_Pipe",2016-12-28 17:00:00,4
"PC_Raw_Pipe",2016-12-29 17:00:00,4
"PC_Raw_Pipe",2017-01-17 10:00:00,6
"PC_Raw_Pipe",2017-01-30 16:00:00,6
"PC_Raw_Pipe",2017-05-17 14:00:00,4
"PC_Raw_Pipe",2017-10-06 05:00:00,126
"PC_Raw_Pipe",2017-10-16 13:00:00,6
"PC_Raw_Pipe",2017-10-17 04:00:00,7
"PC_Raw_Pipe",2017-10-18 13:00:00,4
"PC_Raw_Pipe",2017-10-25 19:00:00,4
"PC_Raw_Pipe",2017-11-19 06:00:00,8
"PC_Raw_Pipe",2017-11-26 06:00:00,4
"PC_Raw_Pipe",2017-12-03 10:00:00,7
"PC_Raw_Pipe",2017-12-04 12:00:00,13
"PC_Raw_Pipe",2017-12-21 14:00:00,20
"PC_Raw_Pipe",2017-12-22 11:00:00,7
"PC_Raw_Pipe",2017-12-23 15:00:00,25
"PC_Raw_Pipe",2017-12-24 07:00:00,11
"PC_Raw_Pipe",2017-12-24 20:00:00,10
"PC_Raw_Pipe",2017-12-26 10:00:00,14
"PC_Raw_Pipe",2018-01-17 17:00:00,6
"PC_Raw_Pipe",2018-01-21 08:00:00,6
"PC_Raw_Pipe",2018-01-28 11:00:00,4
"PC_Raw_Pipe",2018-01-30 14:00:00,4
"PC_Raw_Pipe",2018-02-10 15:00:00,4
"PC_Raw_Pipe",2018-02-11 15:00:00,4
"PC_Raw_Pipe",2018-02-12 15:00:00,17
"PC_Raw_Pipe",2018-02-13 07:00:00,9
"PC_Raw_Pipe",2018-02-13 14:00:00,6
"PC_Raw_Pipe",2018-02-15 17:00:00,7
"PC_Raw_Pipe",2018-04-10 12:00:00,4
"PC_Raw_Pipe",2018-06-24 11:00:00,4
"PC_Raw_Pipe",2018-06-25 03:00:00,11
"PC_Raw_Pipe",2018-07-23 21:00:00,18
"PC_Raw_Pipe",2018-08-17,4
"PC_Raw_Pipe",2018-10-01 04:00:00,5
"PC_Raw_Pipe",2018-11-29 16:00:00,1061
"PC_Raw_Pipe",2018-12-09 09:00:00,5
"PC_Raw_Pipe",2018-12-14 11:00:00,4
"PC_Raw_Pipe",2019-02-06 15:00:00,4
"PC_Raw_Pipe",2019-02-10 15:00:00,4
"PC_Raw_Pipe",2019-02-11 14:00:00,9
"PC_Raw_Pipe",2019-02-13 15:00:00,4
"PC_Raw_Pipe",2019-07-04 16:00:00,4
"PC_Raw_Pipe",2019-10-02 14:00:00,39
"PC_Raw_Pipe",2019-10-09 13:00:00,4
"PC_Raw_Pipe",2019-10-17 17:00:00,4
"PC_Raw_Pipe",2019-10-28 16:00:00,7
"PC_Raw_Pipe",2020-01-03 20:00:00,5
"PC_Raw_Pipe",2020-01-07 10:00:00,4
"PC_Raw_Pipe",2020-01-15 15:00:00,12
"PC_Raw_Pipe",2020-01-19 06:00:00,4
"PC_Raw_Pipe",2020-01-23 04:00:00,4
"PC_Raw_Pipe",2020-02-03 15:00:00,9
"PC_Raw_Pipe",2020-02-04 01:00:00,4
"PC_Raw_Pipe",2020-02-18 15:00:00,4
"PC_Raw_Pipe",2020-02-19 14:00:00,4
"PC_Raw_Pipe",2020-02-20 14:00:00,7
"PC_Raw_Pipe",2020-03-04 17:00:00,4
"PC_Raw_Pipe",2020-03-05 19:00:00,4
"PC_Raw_Pipe",2020-03-09 11:00:00,7
"PC_Raw_Pipe",2020-03-15 11:00:00,11
"PC_Raw_Pipe",2020-03-16 14:00:00,4
"PC_Raw_Pipe",2020-04-30 22:00:00,9
"PC_Raw_Pipe",2020-09-23 17:00:00,4
"PC_Raw_Pipe",2020-09-25 07:00:00,4
"PC_Raw_Pipe",2020-10-15 16:00:00,366
"PC_Raw_Pipe",2020-11-04 01:00:00,5
"PC_Raw_Pipe",2020-11-17 12:00:00,4
"PC_Raw_Pipe",2020-11-27 06:00:00,4
"PC_Raw_Pipe",2020-11-27 19:00:00,5
"PC_Raw_Pipe",2020-11-30 04:00:00,5
"PC_Raw_Pipe",2021-01-01 16:00:00,7
"PC_Raw_Pipe",2021-01-11 06:00:00,4
"PC_Raw_Pipe",2021-02-11 14:00:00,4
"PC_Raw_Pipe",2021-02-12 13:00:00,4
"PC_Raw_Pipe",2021-03-12 15:00:00,4
"PC_Raw_Pipe",2021-09-09,4
"PC_Raw_Pipe",2021-09-30 01:00:00,4
"PC_Raw_Pipe",2021-10-01 02:00:00,3
"PC_Raw_Pipe",2021-10-18 18:00:00,4
"PC_Raw_Pipe",2022-01-10 11:00:00,4
"PC_Raw_Pipe",2022-01-11,5
"PC_Raw_Pipe",2022-02-22 17:00:00,7
"PC_Raw_Pipe",2022-04-08 15:00:00,5
"PC_Raw_Pipe",2022-04-11 10:00:00,5
"PC_Raw_Pipe",2022-10-01 03:00:00,4
"PC_Raw_Pipe",2022-10-31 22:00:00,21
"PC_Raw_Pipe",2022-11-10 01:00:00,8
"PC_Raw_Pipe",2022-11-28 22:00:00,7
"PC_Raw_Pipe",2022-11-30 12:00:00,8
"PC_Raw_Pipe",2022-12-01 07:00:00,16
"PC_Raw_Pipe",2022-12-04 23:00:00,5
"PC_Raw_Pipe",2022-12-07 09:00:00,13
"PC_Raw_Pipe",2022-12-09 02:00:00,7
"PC_Raw_Pipe",2022-12-09 08:00:00,4
"PC_Raw_Pipe",2022-12-12,7
"PC_Raw_Pipe",2022-12-14 11:00:00,6
"PC_Raw_Pipe",2022-12-17 01:00:00,5
"PC_Raw_Pipe",2022-12-18 14:00:00,11
"PC_Raw_Pipe",2022-12-19 03:00:00,7
"PC_Raw_Pipe",2022-12-20 02:00:00,17
"PC_Raw_Pipe",2022-12-22 01:00:00,14
"PC_Raw_Pipe",2022-12-24 11:00:00,7
"PC_Raw_Pipe",2022-12-26 07:00:00,5
"PC_Raw_Pipe",2023-01-18 05:00:00,4
"PC_Raw_Pipe",2023-01-20 17:00:00,4
"PC_Raw_Pipe",2023-02-22 11:00:00,4
"PC_Raw_Pipe",2023-02-22 20:00:00,4
"PC_Raw_Pipe",2023-11-01 22:00:00,3399
"PC_Raw_Pipe",2023-12-02 03:00:00,4
"PC_Raw_Pipe",2023-12-16 05:00:00,5
"PC_Raw_Pipe",2023-12-26,9
"PC_Raw_Pipe",2023-12-28,4
"PC_Raw_Pipe",2024-01-15 16:00:00,92
