"variable","datetime","gap.length"
"PC_Raw_Pipe",2017-10-01 05:00:00,8263
"PC_Raw_Pipe",2017-10-17 17:00:00,9
"PC_Raw_Pipe",2017-10-19,4
"PC_Raw_Pipe",2017-11-02 22:00:00,4
"PC_Raw_Pipe",2017-11-06 22:00:00,6
"PC_Raw_Pipe",2017-11-14 04:00:00,5
"PC_Raw_Pipe",2017-11-14 17:00:00,7
"PC_Raw_Pipe",2017-11-22 02:00:00,5
"PC_Raw_Pipe",2017-11-23 06:00:00,7
"PC_Raw_Pipe",2017-11-25 13:00:00,4
"PC_Raw_Pipe",2017-11-28 09:00:00,4
"PC_Raw_Pipe",2017-11-29 12:00:00,16
"PC_Raw_Pipe",2017-12-03 20:00:00,8
"PC_Raw_Pipe",2017-12-05 23:00:00,47
"PC_Raw_Pipe",2017-12-06 23:00:00,5
"PC_Raw_Pipe",2017-12-19 07:00:00,4
"PC_Raw_Pipe",2017-12-23 05:00:00,18
"PC_Raw_Pipe",2017-12-23 23:00:00,5
"PC_Raw_Pipe",2017-12-24 20:00:00,12
"PC_Raw_Pipe",2017-12-25 03:00:00,4
"PC_Raw_Pipe",2017-12-25 13:00:00,4
"PC_Raw_Pipe",2017-12-25 20:00:00,6
"PC_Raw_Pipe",2017-12-27 19:00:00,34
"PC_Raw_Pipe",2017-12-31 22:00:00,19
"PC_Raw_Pipe",2018-01-01 12:00:00,12
"PC_Raw_Pipe",2018-01-25,7
"PC_Raw_Pipe",2018-01-26 04:00:00,18
"PC_Raw_Pipe",2018-01-27 02:00:00,8
"PC_Raw_Pipe",2018-01-28 05:00:00,14
"PC_Raw_Pipe",2018-01-29 04:00:00,16
"PC_Raw_Pipe",2018-01-30 04:00:00,21
"PC_Raw_Pipe",2018-02-01 01:00:00,22
"PC_Raw_Pipe",2018-02-01 22:00:00,11
"PC_Raw_Pipe",2018-02-02 20:00:00,10
"PC_Raw_Pipe",2018-02-03 23:00:00,7
"PC_Raw_Pipe",2018-02-04 20:00:00,8
"PC_Raw_Pipe",2018-02-08 06:00:00,7
"PC_Raw_Pipe",2018-02-09,4
"PC_Raw_Pipe",2018-02-10 05:00:00,12
"PC_Raw_Pipe",2018-02-11 01:00:00,7
"PC_Raw_Pipe",2018-02-12,5
"PC_Raw_Pipe",2018-02-13,6
"PC_Raw_Pipe",2018-02-14 01:00:00,9
"PC_Raw_Pipe",2018-02-15 03:00:00,10
"PC_Raw_Pipe",2018-02-15 22:00:00,4
"PC_Raw_Pipe",2018-02-17 15:00:00,25
"PC_Raw_Pipe",2018-02-18,7
"PC_Raw_Pipe",2018-02-20 04:00:00,6
"PC_Raw_Pipe",2018-03-02 03:00:00,4
"PC_Raw_Pipe",2018-03-08 01:00:00,5
"PC_Raw_Pipe",2018-03-09 02:00:00,6
"PC_Raw_Pipe",2018-03-10 02:00:00,9
"PC_Raw_Pipe",2018-03-10 11:00:00,4
"PC_Raw_Pipe",2018-03-10 23:00:00,11
"PC_Raw_Pipe",2018-03-11 05:00:00,4
"PC_Raw_Pipe",2018-03-11 19:00:00,4
"PC_Raw_Pipe",2018-03-12 01:00:00,5
"PC_Raw_Pipe",2018-10-01 02:00:00,4733
"PC_Raw_Pipe",2018-10-01 14:00:00,9
"PC_Raw_Pipe",2018-10-31 22:00:00,6
"PC_Raw_Pipe",2018-11-02 08:00:00,4
"PC_Raw_Pipe",2018-11-04 10:00:00,9
"PC_Raw_Pipe",2018-11-27 03:00:00,15
"PC_Raw_Pipe",2018-11-27 15:00:00,6
"PC_Raw_Pipe",2018-12-04 21:00:00,4
"PC_Raw_Pipe",2018-12-05 22:00:00,4
"PC_Raw_Pipe",2018-12-09 20:00:00,4
"PC_Raw_Pipe",2018-12-30 02:00:00,9
"PC_Raw_Pipe",2019-01-03 23:00:00,11
"PC_Raw_Pipe",2019-01-13 23:00:00,4
"PC_Raw_Pipe",2019-01-21 22:00:00,5
"PC_Raw_Pipe",2019-01-23 21:00:00,4
"PC_Raw_Pipe",2019-02-05 21:00:00,6
"PC_Raw_Pipe",2019-02-06 20:00:00,20
"PC_Raw_Pipe",2019-08-02 10:00:00,4
"PC_Raw_Pipe",2019-09-15 05:00:00,8
"PC_Raw_Pipe",2019-09-15 18:00:00,4
"PC_Raw_Pipe",2019-09-17 18:00:00,6
"PC_Raw_Pipe",2019-10-01 03:00:00,4
"PC_Raw_Pipe",2019-10-08 09:00:00,6
"PC_Raw_Pipe",2019-10-08 17:00:00,7
"PC_Raw_Pipe",2019-10-09 01:00:00,7
"PC_Raw_Pipe",2019-11-17 16:00:00,7
"PC_Raw_Pipe",2019-11-24 14:00:00,7
"PC_Raw_Pipe",2019-12-04 01:00:00,6
"PC_Raw_Pipe",2020-01-07 08:00:00,5
"PC_Raw_Pipe",2020-01-20 07:00:00,7
"PC_Raw_Pipe",2020-01-21 01:00:00,5
"PC_Raw_Pipe",2020-01-23 15:00:00,6
"PC_Raw_Pipe",2020-01-24 09:00:00,7
"PC_Raw_Pipe",2020-01-29 01:00:00,5
"PC_Raw_Pipe",2020-01-30,4
"PC_Raw_Pipe",2020-01-31 22:00:00,4
"PC_Raw_Pipe",2020-02-01 07:00:00,6
"PC_Raw_Pipe",2020-02-02 20:00:00,5
"PC_Raw_Pipe",2020-02-03 20:00:00,22
"PC_Raw_Pipe",2020-02-04 09:00:00,9
"PC_Raw_Pipe",2020-02-04 20:00:00,10
"PC_Raw_Pipe",2020-02-13 05:00:00,4
"PC_Raw_Pipe",2020-02-13 23:00:00,4
"PC_Raw_Pipe",2020-02-15 03:00:00,5
"PC_Raw_Pipe",2020-02-15 22:00:00,5
"PC_Raw_Pipe",2020-02-18,7
"PC_Raw_Pipe",2020-02-18 23:00:00,7
"PC_Raw_Pipe",2020-03-09 15:00:00,6
"PC_Raw_Pipe",2020-05-29 12:00:00,1940
"PC_Raw_Pipe",2020-08-06 16:00:00,4
"PC_Raw_Pipe",2020-08-21 03:00:00,7
"PC_Raw_Pipe",2020-08-21 21:00:00,6
"PC_Raw_Pipe",2020-10-01 02:00:00,386
"PC_Raw_Pipe",2020-10-09 23:00:00,4
"PC_Raw_Pipe",2020-10-10 08:00:00,7
"PC_Raw_Pipe",2020-10-14 06:00:00,5
"PC_Raw_Pipe",2020-10-14 21:00:00,12
"PC_Raw_Pipe",2020-10-30 12:00:00,4
"PC_Raw_Pipe",2020-11-03 16:00:00,4
"PC_Raw_Pipe",2020-11-05 03:00:00,4
"PC_Raw_Pipe",2021-01-01,5
"PC_Raw_Pipe",2021-01-13 09:00:00,5
"PC_Raw_Pipe",2021-02-16 02:00:00,7
"PC_Raw_Pipe",2021-03-13 03:00:00,10
"PC_Raw_Pipe",2021-06-13 15:00:00,4
"PC_Raw_Pipe",2021-06-14 11:00:00,7
"PC_Raw_Pipe",2021-08-20 21:00:00,4
"PC_Raw_Pipe",2021-09-04 23:00:00,4
"PC_Raw_Pipe",2021-09-18 07:00:00,12
"PC_Raw_Pipe",2021-10-01 02:00:00,18
"PC_Raw_Pipe",2021-10-16 04:00:00,5
"PC_Raw_Pipe",2021-10-16 20:00:00,8
"PC_Raw_Pipe",2021-10-17 03:00:00,6
"PC_Raw_Pipe",2021-10-20 21:00:00,4
"PC_Raw_Pipe",2021-10-22 10:00:00,7
"PC_Raw_Pipe",2021-10-25 01:00:00,5
"PC_Raw_Pipe",2021-11-03 12:00:00,9
"PC_Raw_Pipe",2021-11-04 14:00:00,6
"PC_Raw_Pipe",2021-11-09 14:00:00,5
"PC_Raw_Pipe",2021-11-10 22:00:00,4
"PC_Raw_Pipe",2021-11-12 02:00:00,5
"PC_Raw_Pipe",2021-11-17 04:00:00,9
"PC_Raw_Pipe",2021-11-17 20:00:00,5
"PC_Raw_Pipe",2021-11-20 09:00:00,6
"PC_Raw_Pipe",2021-12-11 12:00:00,4
"PC_Raw_Pipe",2021-12-12 08:00:00,5
"PC_Raw_Pipe",2021-12-17 05:00:00,5
"PC_Raw_Pipe",2021-12-18 19:00:00,4
"PC_Raw_Pipe",2021-12-19 20:00:00,4
"PC_Raw_Pipe",2021-12-20 05:00:00,5
"PC_Raw_Pipe",2021-12-20 14:00:00,5
"PC_Raw_Pipe",2021-12-21 20:00:00,4
"PC_Raw_Pipe",2021-12-26 09:00:00,6
"PC_Raw_Pipe",2021-12-26 21:00:00,7
"PC_Raw_Pipe",2021-12-27 08:00:00,10
"PC_Raw_Pipe",2021-12-27 15:00:00,4
"PC_Raw_Pipe",2021-12-27 23:00:00,7
"PC_Raw_Pipe",2021-12-31 21:00:00,9
"PC_Raw_Pipe",2022-01-08 04:00:00,7
"PC_Raw_Pipe",2022-01-12 01:00:00,9
"PC_Raw_Pipe",2022-01-12 21:00:00,6
"PC_Raw_Pipe",2022-02-01 07:00:00,7
"PC_Raw_Pipe",2022-02-01 21:00:00,4
"PC_Raw_Pipe",2022-02-02 05:00:00,4
"PC_Raw_Pipe",2022-02-21 11:00:00,4
"PC_Raw_Pipe",2022-02-22 21:00:00,21
"PC_Raw_Pipe",2022-02-23 18:00:00,20
"PC_Raw_Pipe",2022-02-24 18:00:00,18
"PC_Raw_Pipe",2022-02-25 21:00:00,20
"PC_Raw_Pipe",2022-02-26 05:00:00,4
