"variable","datetime","gap.length"
"PC_Raw_Pipe",2020-12-04 10:00:00,3616
"PC_Raw_Pipe",2020-12-27 11:00:00,5
"PC_Raw_Pipe",2021-01-04,4
"PC_Raw_Pipe",2021-01-06 23:00:00,4
"PC_Raw_Pipe",2021-01-10 23:00:00,4
"PC_Raw_Pipe",2021-01-29,5
"PC_Raw_Pipe",2021-01-30 23:00:00,4
"PC_Raw_Pipe",2021-01-31 22:00:00,4
"PC_Raw_Pipe",2021-02-10 03:00:00,10
"PC_Raw_Pipe",2021-02-12 04:00:00,4
"PC_Raw_Pipe",2021-02-12 20:00:00,5
"PC_Raw_Pipe",2021-02-13 03:00:00,6
"PC_Raw_Pipe",2021-02-13 21:00:00,5
"PC_Raw_Pipe",2021-02-15 21:00:00,4
"PC_Raw_Pipe",2021-02-16 22:00:00,5
"PC_Raw_Pipe",2021-03-06 15:00:00,27
"PC_Raw_Pipe",2021-03-06 22:00:00,5
"PC_Raw_Pipe",2021-03-10 07:00:00,4
"PC_Raw_Pipe",2021-08-31 22:00:00,22
"PC_Raw_Pipe",2021-09-18 02:00:00,6
"PC_Raw_Pipe",2021-09-30 10:00:00,4
"PC_Raw_Pipe",2021-10-01 02:00:00,3
"PC_Raw_Pipe",2021-10-22,6
"PC_Raw_Pipe",2021-10-30 19:00:00,17
"PC_Raw_Pipe",2021-10-31 20:00:00,10
"PC_Raw_Pipe",2021-11-03 09:00:00,5
"PC_Raw_Pipe",2021-11-04 12:00:00,4
"PC_Raw_Pipe",2021-11-10 17:00:00,7
"PC_Raw_Pipe",2021-11-12 06:00:00,4
"PC_Raw_Pipe",2021-11-14 12:00:00,4
"PC_Raw_Pipe",2021-11-16 21:00:00,5
"PC_Raw_Pipe",2022-01-10 16:00:00,4
"PC_Raw_Pipe",2022-04-03 11:00:00,4
"PC_Raw_Pipe",2022-04-04 02:00:00,4
"PC_Raw_Pipe",2022-04-09 11:00:00,5
"PC_Raw_Pipe",2022-04-11 13:00:00,5
"PC_Raw_Pipe",2022-05-12 05:00:00,4
"PC_Raw_Pipe",2022-10-24 01:00:00,554
"PC_Raw_Pipe",2022-10-27 13:00:00,4
"PC_Raw_Pipe",2022-11-01 11:00:00,54
"PC_Raw_Pipe",2022-11-02 11:00:00,18
"PC_Raw_Pipe",2023-01-10 15:00:00,4
"PC_Raw_Pipe",2023-02-03 17:00:00,6
"PC_Raw_Pipe",2023-02-08 08:00:00,10
"PC_Raw_Pipe",2023-02-10 15:00:00,33
"PC_Raw_Pipe",2023-02-11 08:00:00,6
"PC_Raw_Pipe",2023-02-12 09:00:00,15
"PC_Raw_Pipe",2023-02-13 08:00:00,14
"PC_Raw_Pipe",2023-02-17 11:00:00,30
"PC_Raw_Pipe",2023-02-18 09:00:00,18
"PC_Raw_Pipe",2023-02-19 09:00:00,4
"PC_Raw_Pipe",2023-02-20 09:00:00,17
"PC_Raw_Pipe",2023-02-21 08:00:00,15
"PC_Raw_Pipe",2023-02-22 11:00:00,11
"PC_Raw_Pipe",2023-02-23 17:00:00,26
"PC_Raw_Pipe",2023-02-24 14:00:00,6
"PC_Raw_Pipe",2023-02-28 12:00:00,4
"PC_Raw_Pipe",2023-03-02 14:00:00,6
"PC_Raw_Pipe",2023-03-12 13:00:00,4
"PC_Raw_Pipe",2023-04-09 14:00:00,4
"PC_Raw_Pipe",2023-09-25 01:00:00,6
"PC_Raw_Pipe",2023-10-02 05:00:00,30
"PC_Raw_Pipe",2023-10-16 10:00:00,4
"PC_Raw_Pipe",2023-11-04 03:00:00,5
"PC_Raw_Pipe",2023-11-10 23:00:00,7
"PC_Raw_Pipe",2023-12-04 20:00:00,5
"PC_Raw_Pipe",2023-12-10 02:00:00,4
"PC_Raw_Pipe",2023-12-25 16:00:00,5
"PC_Raw_Pipe",2024-01-13 12:00:00,4
"PC_Raw_Pipe",2024-01-29 02:00:00,4
"PC_Raw_Pipe",2024-01-30 09:00:00,12
"PC_Raw_Pipe",2024-02-03 11:00:00,92
"PC_Raw_Pipe",2024-02-04 08:00:00,7
"PC_Raw_Pipe",2024-02-05 08:00:00,15
"PC_Raw_Pipe",2024-02-08 12:00:00,14
"PC_Raw_Pipe",2024-02-09 13:00:00,21
"PC_Raw_Pipe",2024-02-10 12:00:00,21
"PC_Raw_Pipe",2024-02-12 12:00:00,44
