"variable","datetime","gap.length"
"PC_Raw_Pipe",2021-10-03 08:00:00,1079
"PC_Raw_Pipe",2021-10-03 15:00:00,4
"PC_Raw_Pipe",2021-12-12 09:00:00,394
"PC_Raw_Pipe",2021-12-16 16:00:00,5
"PC_Raw_Pipe",2021-12-18 16:00:00,5
"PC_Raw_Pipe",2021-12-20 17:00:00,6
"PC_Raw_Pipe",2022-02-22 12:00:00,4
"PC_Raw_Pipe",2022-04-21 12:00:00,5
"PC_Raw_Pipe",2022-09-01,40
"PC_Raw_Pipe",2022-10-01 13:00:00,14
"PC_Raw_Pipe",2022-10-23 17:00:00,5
"PC_Raw_Pipe",2022-11-06 17:00:00,9
"PC_Raw_Pipe",2022-11-07 15:00:00,16
"PC_Raw_Pipe",2022-11-08 19:00:00,22
"PC_Raw_Pipe",2022-12-20 17:00:00,6
"PC_Raw_Pipe",2022-12-21 18:00:00,7
"PC_Raw_Pipe",2023-07-11 12:00:00,4415
"PC_Raw_Pipe",2023-10-01 02:00:00,3
